"relation_id","feature_id","cite_id"
190,738,"citation97"
191,1463,"citation97"
192,2188,"citation97"
193,13,"citation95"
194,738,"citation95"
195,1463,"citation95"
196,2188,"citation95"
197,13,"citation16"
198,738,"citation16"
199,1463,"citation16"
200,2188,"citation16"
201,14,"citation8"
202,739,"citation8"
203,1464,"citation8"
204,2189,"citation8"
205,14,"citation60"
206,739,"citation60"
207,1464,"citation60"
208,2189,"citation60"
209,14,"citation308"
210,739,"citation308"
211,1464,"citation308"
212,2189,"citation308"
213,14,"citation33"
214,739,"citation33"
215,1464,"citation33"
216,2189,"citation33"
217,14,"citation16"
218,739,"citation16"
219,1464,"citation16"
220,2189,"citation16"
221,14,"citation28"
222,739,"citation28"
223,1464,"citation28"
224,2189,"citation28"
225,15,"citation123"
226,740,"citation123"
227,1465,"citation123"
228,2190,"citation123"
229,15,"citation60"
230,740,"citation60"
231,1465,"citation60"
232,2190,"citation60"
233,15,"citation308"
234,740,"citation308"
235,1465,"citation308"
236,2190,"citation308"
237,15,"citation186"
238,740,"citation186"
239,1465,"citation186"
240,2190,"citation186"
241,16,"citation60"
242,741,"citation60"
243,1466,"citation60"
244,2191,"citation60"
245,16,"citation308"
246,741,"citation308"
247,1466,"citation308"
248,2191,"citation308"
249,16,"citation186"
250,741,"citation186"
251,1466,"citation186"
252,2191,"citation186"
253,17,"citation169"
254,742,"citation169"
255,1467,"citation169"
256,2192,"citation169"
257,18,"citation60"
258,743,"citation60"
259,1468,"citation60"
260,2193,"citation60"
261,18,"citation308"
262,743,"citation308"
263,1468,"citation308"
264,2193,"citation308"
265,18,"citation161"
266,743,"citation161"
267,1468,"citation161"
268,2193,"citation161"
269,18,"citation160"
270,743,"citation160"
271,1468,"citation160"
272,2193,"citation160"
273,18,"citation273"
274,743,"citation273"
275,1468,"citation273"
276,2193,"citation273"
277,18,"citation217"
278,743,"citation217"
279,1468,"citation217"
280,2193,"citation217"
281,18,"citation16"
282,743,"citation16"
283,1468,"citation16"
284,2193,"citation16"
285,19,"citation100"
286,744,"citation100"
287,1469,"citation100"
288,2194,"citation100"
289,19,"citation308"
290,744,"citation308"
291,1469,"citation308"
292,2194,"citation308"
293,19,"citation94"
294,744,"citation94"
295,1469,"citation94"
296,2194,"citation94"
297,20,"citation60"
298,745,"citation60"
299,1470,"citation60"
300,2195,"citation60"
301,20,"citation308"
302,745,"citation308"
303,1470,"citation308"
304,2195,"citation308"
305,20,"citation67"
306,745,"citation67"
307,1470,"citation67"
308,2195,"citation67"
309,20,"citation186"
310,745,"citation186"
311,1470,"citation186"
312,2195,"citation186"
313,21,"citation123"
314,746,"citation123"
315,1471,"citation123"
316,2196,"citation123"
317,21,"citation308"
318,746,"citation308"
319,1471,"citation308"
320,2196,"citation308"
321,21,"citation74"
322,746,"citation74"
323,1471,"citation74"
324,2196,"citation74"
325,22,"citation191"
326,747,"citation191"
327,1472,"citation191"
328,2197,"citation191"
329,23,"citation123"
330,748,"citation123"
331,1473,"citation123"
332,2198,"citation123"
333,23,"citation186"
334,748,"citation186"
335,1473,"citation186"
336,2198,"citation186"
337,24,"citation264"
338,749,"citation264"
339,1474,"citation264"
340,2199,"citation264"
341,24,"citation308"
342,749,"citation308"
343,1474,"citation308"
344,2199,"citation308"
345,24,"citation121"
346,749,"citation121"
347,1474,"citation121"
348,2199,"citation121"
349,24,"citation122"
350,749,"citation122"
351,1474,"citation122"
352,2199,"citation122"
353,24,"citation16"
354,749,"citation16"
355,1474,"citation16"
356,2199,"citation16"
357,24,"citation33"
358,749,"citation33"
359,1474,"citation33"
360,2199,"citation33"
361,24,"citation231"
362,749,"citation231"
