relation_id,species_id,cite_id
299,Thalassarche eremita,citation123
300,Thalassarche impavida,citation162
301,Thalassarche impavida,citation295
302,Thalassarche melanophris,citation61
303,Thalassarche melanophris,citation58
304,Thalassarche melanophris,citation60
305,Thalassarche salvini,citation123
306,Thalassarche steadi,citation191
307,Fregata andrewsi,citation162
308,Fregata andrewsi,citation197
309,Fregata aquila,citation197
310,Fregata aquila,citation271
311,Fregata ariel,citation68
312,Fregata ariel,citation162
313,Fregata ariel,citation248
314,Fregata ariel,citation16
315,Fregata magnificens,citation203
316,Fregata magnificens,citation48
317,Fregata magnificens,citation69
318,Fregata minor,citation68
319,Fregata minor,citation162
320,Fregata minor,citation248
321,Fregata minor,citation16
322,Cursorius coromandelicus,citation191
323,Cursorius cursor,citation191
324,Cursorius rufus,citation191
325,Cursorius somalensis,citation191
326,Cursorius temminckii,citation191
327,Glareola cinerea,citation191
328,Glareola lactea,citation191
329,Glareola maldivarum,citation191
330,Glareola nordmanni,citation191
331,Glareola nuchalis,citation191
332,Glareola ocularis,citation191
333,Glareola pratincola,citation191
334,Rhinoptilus bitorquatus,citation191
335,Rhinoptilus chalcopterus,citation191
336,Rhinoptilus cinctus,citation191
337,Smutsornis africanus,citation191
338,Stiltia isabella,citation191
339,Haematopus ater,citation191
340,Haematopus chathamensis,citation191
341,Haematopus fuliginosus,citation191
342,Haematopus leucopodus,citation191
343,Haematopus longirostris,citation191
344,Haematopus meadewaldoi,citation191
345,Haematopus moquini,citation191
346,Haematopus ostralegus,citation191
347,Haematopus palliatus,citation191
348,Haematopus unicolor,citation191
349,Hydrobates castro,citation292
350,Hydrobates castro,citation46
351,Hydrobates furcatus,citation60
352,Hydrobates furcatus,citation292
353,Hydrobates furcatus,citation293
354,Hydrobates furcatus,citation16
355,Hydrobates homochroa,citation2
356,Hydrobates homochroa,citation292
357,Hydrobates homochroa,citation293
358,Hydrobates homochroa,citation1
359,Hydrobates homochroa,citation16
360,Hydrobates hornbyi,citation46
361,Hydrobates leucorhous,citation56
362,Hydrobates leucorhous,citation234
363,Hydrobates leucorhous,citation3
364,Hydrobates leucorhous,citation292
365,Hydrobates leucorhous,citation293
366,Hydrobates leucorhous,citation138
367,Hydrobates leucorhous,citation16
368,Hydrobates macrodactylus,citation191
369,Hydrobates markhami,citation292
370,Hydrobates markhami,citation46
371,Hydrobates matsudairae,citation162
372,Hydrobates matsudairae,citation46
373,Hydrobates melania,citation292
374,Hydrobates melania,citation46
375,Hydrobates microsoma,citation46
376,Hydrobates monorhis,citation46
377,Hydrobates monteiroi,citation26
378,Hydrobates pelagicus,citation60
379,Hydrobates pelagicus,citation292
380,Hydrobates pelagicus,citation293
381,Hydrobates tethys,citation46
382,Hydrobates tristrami,citation292
383,Hydrobates tristrami,citation46
384,Ibidorhyncha struthersii,citation191
385,Actophilornis africanus,citation191
386,Actophilornis albinucha,citation191
387,Hydrophasianus chirurgus,citation191
388,Irediparra gallinacea,citation191
389,Jacana jacana,citation191
390,Jacana spinosa,citation191
391,Metopidius indicus,citation191
392,Microparra capensis,citation191
393,Anous minutus,citation275
394,Anous minutus,citation101
395,Anous stolidus,citation32
396,Anous stolidus,citation16
397,Anous tenuirostris,citation102
398,Anous tenuirostris,citation224
399,Chlidonias albostriatus,citation102
400,Chlidonias hybrida,citation102
401,Chlidonias hybrida,citation12
402,Chlidonias leucopterus,citation102
403,Chlidonias niger,citation80
404,Chlidonias niger,citation102
405,Chlidonias niger,citation16
406,Chlidonias niger,citation258
407,Creagrus furcatus,citation119
408,Creagrus furcatus,citation40
409,Creagrus furcatus,citation267
410,Gelochelidon macrotarsa,citation191
411,Gelochelidon nilotica,citation21
412,Gelochelidon nilotica,citation252
413,Gelochelidon nilotica,citation201
414,Gelochelidon nilotica,citation16
415,Gygis alba,citation182
416,Gygis alba,citation248
417,Gygis alba,citation16
418,Gygis microrhyncha,citation102
419,Gygis microrhyncha,citation132
420,Hydrocoloeus minutus,citation282
421,Hydrocoloeus minutus,citation87
422,Hydroprogne caspia,citation221
423,Hydroprogne caspia,citation102
424,Hydroprogne caspia,citation65
425,Hydroprogne caspia,citation16
426,Hydroprogne caspia,citation14
427,Larosterna inca,citation102
428,Larus argentatus,citation150
429,Larus argentatus,citation209
430,Larus argentatus,citation210
431,Larus argentatus,citation79
432,Larus argentatus,citation212
433,Larus argentatus,citation40
434,Larus argentatus,citation16
435,Larus argentatus,citation33
436,Larus argentatus,citation213
437,Larus argentatus,citation49
438,Larus argentatus,citation214
439,Larus argentatus,citation29
440,Larus armenicus,citation40
441,Larus atlanticus,citation40
442,Larus atricilla,citation249
443,Larus atricilla,citation246
444,Larus atricilla,citation38
445,Larus audouinii,citation40
446,Larus belcheri,citation40
447,Larus brunnicephalus,citation40
448,Larus bulleri,citation40
449,Larus cachinnans,citation191
450,Larus californicus,citation304
451,Larus californicus,citation305
452,Larus californicus,citation40
453,Larus californicus,citation16
454,Larus canus,citation40
455,Larus cirrocephalus,citation40
456,Larus crassirostris,citation40
457,Larus delawarensis,citation285
458,Larus delawarensis,citation84
459,Larus delawarensis,citation240
460,Larus delawarensis,citation40
461,Larus dominicanus,citation132
462,Larus dominicanus,citation166
463,Larus dominicanus,citation167
464,Larus dominicanus,citation40
465,Larus dominicanus,citation168
466,Larus dominicanus,citation5
467,Larus fuliginosus,citation40
468,Larus fuscus,citation114
469,Larus fuscus,citation40
470,Larus fuscus,citation214
471,Larus fuscus,citation290
472,Larus genei,citation40
473,Larus genei,citation195
474,Larus glaucescens,citation284
475,Larus glaucescens,citation283
476,Larus glaucescens,citation40
477,Larus glaucescens,citation16
478,Larus glaucescens,citation229
479,Larus glaucoides,citation40
480,Larus hartlaubii,citation40
481,Larus heermanni,citation40
482,Larus hemprichii,citation40
483,Larus hyperboreus,citation40
484,Larus ichthyaetus,citation114
485,Larus ichthyaetus,citation40
486,Larus leucophthalmus,citation40
487,Larus livens,citation47
488,Larus livens,citation40
489,Larus livens,citation202
490,Larus maculipennis,citation40
491,Larus marinus,citation56
492,Larus marinus,citation40
493,Larus marinus,citation105
494,Larus marinus,citation16
495,Larus melanocephalus,citation40
496,Larus michahellis,citation40
497,Larus modestus,citation40
498,Larus novaehollandiae,citation188
499,Larus novaehollandiae,citation123
500,Larus novaehollandiae,citation40
501,Larus occidentalis,citation20
502,Larus occidentalis,citation47
503,Larus occidentalis,citation211
504,Larus occidentalis,citation40
505,Larus occidentalis,citation16
506,Larus occidentalis,citation265
507,Larus pacificus,citation40
508,Larus philadelphia,citation40
509,Larus pipixcan,citation35
510,Larus pipixcan,citation36
511,Larus pipixcan,citation39
512,Larus pipixcan,citation16
513,Larus relictus,citation40
514,Larus ridibundus,citation40
515,Larus ridibundus,citation267
516,Larus ridibundus,citation216
517,Larus schistisagus,citation40
518,Larus scopulinus,citation132
519,Larus scopulinus,citation167
520,Larus scopulinus,citation168
521,Larus scoresbii,citation309
522,Larus serranus,citation40
523,Larus smithsonianus,citation191
524,Larus thayeri,citation40
525,Onychoprion aleuticus,citation10
526,Onychoprion aleuticus,citation192
527,Onychoprion anaethetus,citation113
528,Onychoprion anaethetus,citation132
529,Onychoprion anaethetus,citation76
530,Onychoprion anaethetus,citation77
531,Onychoprion fuscatus,citation102
532,Onychoprion fuscatus,citation16
