ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,mongolus,,Charadrius mongolus,Charadriusmongolus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,montanus,,Charadrius montanus,Charadriusmontanus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,nivosus,,Charadrius nivosus,Charadriusnivosus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,obscurus,,Charadrius obscurus,Charadriusobscurus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pallidus,,Charadrius pallidus,Charadriuspallidus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,pecuarius,,Charadrius pecuarius,Charadriuspecuarius,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,peronii,,Charadrius peronii,Charadriusperonii,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,placidus,,Charadrius placidus,Charadriusplacidus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,ruficapillus,,Charadrius ruficapillus,Charadriusruficapillus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,sanctaehelenae,,Charadrius sanctaehelenae,Charadriussanctaehelenae,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,semipalmatus,,Charadrius semipalmatus,Charadriussemipalmatus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,thoracicus,,Charadrius thoracicus,Charadriusthoracicus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,tricollaris,,Charadrius tricollaris,Charadriustricollaris,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,veredus,,Charadrius veredus,Charadriusveredus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,vociferus,,Charadrius vociferus,Charadriusvociferus,
CHARADRIIFORMES,CHARADRIIDAE,Charadrius,wilsonia,,Charadrius wilsonia,Charadriuswilsonia,
CHARADRIIFORMES,CHARADRIIDAE,Elseyornis,melanops,,Elseyornis melanops,Elseyornismelanops,Charadrius melanops melanops
CHARADRIIFORMES,CHARADRIIDAE,Erythrogonys,cinctus,,Erythrogonys cinctus,Erythrogonyscinctus,
CHARADRIIFORMES,CHARADRIIDAE,Eudromias,morinellus,,Eudromias morinellus,Eudromiasmorinellus,Charadrius morinellus
CHARADRIIFORMES,CHARADRIIDAE,Hoploxypterus,cayanus,,Hoploxypterus cayanus,Hoploxypteruscayanus,Vanellus cayanus
CHARADRIIFORMES,CHARADRIIDAE,Oreopholus,ruficollis,,Oreopholus ruficollis,Oreopholusruficollis,Eudromias ruficollis |Eudromias ruficollis ruficollis
