cite_id,citation_name,citation
citation141,Isenmann 1971,"ISENMANN, P. 1971. Contribution á l’éthologie et á l’écologie du Manchot empereur (Aptenodytes forsteri Gray) á la colonie de Pointe Géologie (Terre Adélie). L’Oiseau et la R.F.O.  41: 9-64."
citation142,Jehl 1982,"JEHL, J. R., Jr. 1982. The biology and taxonomy of Townsend’s Shearwater. Le Gerfaut 72: 121-135."
citation143,Johnsgard 1993,"JOHNSGARD, P. A. 1993. Cormorants, darters and pelicans of the world. Smithsonian Institution Press. Washington, D.C."
citation144,Johnston et al 2004,"JOHNSTON, R. B., S. M. BETTANY, R. M. OGLE, H. A. AIKMAN, G. R. TAYLOR AND M. J. IMBER. 2004. Breeding and fledging behaviour of the Chatham Taiko (Magenta Petrel) Pterodromoa magentae, and predator activity at burrows. Marine Ornithology 31: 193-197."
citation145,Jones 1993a,"JONES, I. L. 1993a. Least Auklet (Aethia pusilla). No.69 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation146,Jones 1993b,"JONES, I. L. 1993b. Crested Auklet (Aethia cristella). No. 70 in The Birds of North America (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation147,Jones and Montgomerie 1991,"JONES, I. L., AND R. MONTGOMERIE. 1991. Mating and remating of Least Auklets (Aethia pusilla) relative to ornamental traits. Behavioral Ecology 2: 249-257."
citation148,Jouventin and Mougin 1981,"JOUVENTIN, P., AND J.-L. MOUGIN. 1981. Les stratégies adaptatives des oiseaux de mer. Revue d’Ecologie (Terre & Vie) 35:217-272."
citation149,Jouventin et al 1985,"JOUVENTIN, P. J. L. MOUGIN, J. C. STAHL, AND H. WEIMERSKIRCH. 1985. Comparative biology of the burrowing petrels of the Crozet Islands. Notornis 32:157-220."
citation150,Kadlec and Drury 1968,"KADLEC, J. A., AND DRURY, W. H. 1968. Structure of the New England Herring Gull population. Ecology 49: 644-676."
citation151,Keitt et al 2003,"KEITT, B. S., B. R. TERSHY, AND D. CROLL. 2003. Breeding biology and conservation of Black-vented Shearwaters Puffinus opisthomelas. Ibis 145: 673-680."
citation152,King and Gould 1967,"KING, W. B., AND P. J. GOULD. 1967. The status of Newell’s race of the Manx Shearwater. Living Bird 6: 163-186."
citation153,Landers et al 2011,"LANDERS, T. J., M. J. RAYNER, R. A. PHILLIPS, AND M. E. HAUBER. 2011 Dynamics of seasonal movements by a trans-Pacific migrant, the Westland petrel. Condor 113: 71-79."
citation154,Langham 1974,"LANGHAM, N. P. 1974. Comparative breeding biology of the Sandwich Tern. Auk 91:255-277."
citation155,Langham 1983,"LANGHAM, N. P. 1983. Growth strategies in marine terns. Studies in Avian Biology 8: 73-83."
citation156,Lavers et al 2008,"LAVERS, J. L., I. L. JONES AND A W. DIAMOND. 2008. Age at first return and breeding of Razorbills (Alca torda) on the Gannet Islands, Labrador and Machias Seal Island, New Brunswick. Waterbirds 31: 30-34. "
citation157,Lee and Haney 1996,"LEE, D. S., AND J. C. HANEY. 1996. Manx Shearwater (Puffinus puffinus). No. 257 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation158,Lee and Walsh-McGehee 1998,"LEE, D. S., AND M. WALSH-McGEHEE. 1998. White-tailed Tropicbird (Phaethon lepturus). No. 353 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation159,Lewis et al 2006,"LEWIS, S. L. S. WANLESS, D. A. ELSTON, M. D. SHULTZ, E. MACKLEY, M. DUTOIT, J. G. UNDERHILL, AND M. P. HARRIS. Determinants of quality in a long-lived colonial species. Journal of animal Ecology 75: 1304-1312."
citation160,Manuwal 1974,"MANUWAL, D. A. 1974. The natural history of Cassin’s Auklet (Ptychoramphus aleuticus). Condor 76: 421-431."
citation161,Manuwal and Thoresen 1993,"MANUWAL, D. A., AND A. C. THORESEN. 1993. Cassin’s Auklet (Ptychoramphus aleuticus). No. 50 in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, DC.: The America Ornithologists’ Union."
citation162,Marchant and Higgins 1990,"MARCHANT, S., AND P. J. HIGGINS. 1990. Handbook of Australian, New Zealand & Antarctic Birds, Vol. 1. Oxford Univ. Press, Australia."
citation163,Martinez 1992,"MARTINEZ, I. 1992. Order Sphenisciformes. Pages 140-160 in Handbook of Birds of the World (J. A. del Hoyo, A. Elliott and J. Sargatal, eds). Lynx Editions, Barcelona."
citation164,Massey et al 1992,"MASSEY, B. W., D. W. BRADLEY, AND J. L. ATWOOD. 1992. Demography of a California Least Tern colony including effects of the 1982-1983 El Nino. Condor 94: 976-983."
citation165,Megyesi and O'Daniel 1997,"MEGYESI, J. L., AND D. L. O’DANIEL. 1997. Bulwer’s Petrel (Bulweria bulwerii). No. 281 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation166,Mills 1973,"MILLS, J. A.  1973.  The influence of age and pair-bond on the breeding biology of the Red-billed Gull Larus novaehollandiae scopulinus. Journal of Animal Ecology 42:147."
citation167,Mills 1989,"MILLS, J. A. 1989. Red-billed Gull. Pages 387-404 in Lifetime reproduction in birds (I. Newton, ed.). Academic Press, London."
citation168,Mills et al 1996,"MILLS, J. A., J. W. YARRALL AND D. A. MILLS. 1996. Causes and consequences of mate fidelity in red-billed gulls. Pages 286-304 in Partnerships in Birds. The Study of Monogamy (J.M. Black, ed.). Oxford University Press, Oxford."
citation169,Montevecchi and Kirk 1996,"MONTEVECCHI, W. A., AND D. A. KIRK 1996. Great Auk (Pinguinus impennis). No. 260 in The Birds of North America (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation170,Montevecchi et al 1984,"MONTEVECCHI, W. A., R. E. RICKLEFS, I. R. KIRKHAM AND D. GABALDON. 1984. Growth energetics of nestling Northern Gannets (Sula bassanus). Auk 101: 334-341."
citation171,Monticelli 2008,"MONTICELLI, D. 2007. Modeling temporal variability in first-winter survival in species with staggered annual return to their breeding areas: a case study of tropical roseate terns at Aride Island, Seychelles, Indian Ocean. Paper presented at the 31st annual meeting of the Waterbird Society, Barcelona Spain."
citation172,Mostello et al 2000,"MOSTELLO, C. S., N. A. PALASIA AND R. B. CLAPP. 2000. Gray-backed Tern (Sterna lunata). No. 525 in The Birds of North America (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation173,Mougin 1967,"MOUGIN, J.-L. 1967. Etude ecologique des deux especes de fulmars le Fulmar Atlantique (F. glacialis) et le Fulmar Antarctique (F. glacialoides). Oiseau Review Fr. Ornithologie 37: 57-103."
citation174,Mougin 1989,"MOUGIN, J.-L. 1989. Données préliminaires sur la structure et la dynamique de la population de Pétrels de Bulwer Bulweria bulwerii de l’île Selvagem Grande (30°09’N, 15°52’W). Compte-rendus de l’Académie des Sciences de Paris 308:103-106."
citation175,Mougin 1990,"MOUGIN, J.-L. 1990. La fidélité au partenaire et au nid chez le Pétrel de Bulwer Bulweria bulwerii de l’île Selvagem Grande (30°09’N, 15°52’W). L’Oiseau et la R. F. O. 60:224-232."
citation176,Mougin et al 1987a,"MOUGIN, J.-L., B. DESPIN, C. JOUANIN AND F. ROUX. 1987a. La fidélité au partenaire et au nid chez le Puffin cendré, Calonectris diomedea borealis, de l’île Selvagem Grande. Gerfaut 77:353-369."
citation177,Mougin et al 1987b,"MOUGIN, J.-L., C. JOUANIN AND F. ROUX. 1987b. Structure et dynamique de la population de Puffins cendrés Calonectris diomedea borealis de l’île Selvagem Grande (30°09’N, 15°52’W). L’Oiseau et la R. F. O. 57:201-225."
citation178,Mougin et al 1988a,"MOUGIN, J.-L., C. JOUANIN AND F. ROUX. 1988a. Les différences d’âge et d’expérience entre partenaires chez le Puffin cendré Calonectris diomedea borealis de l’île Selvagem Grande (30°09’N, 15°52’W). L’Oiseau et la R. F. O. 58:113-119."
citation179,Mougin et al 1988b,"MOUGIN, J.-L., C. JOUANIN AND F. ROUX. 1988b. L’influence des voisins dans la nidification du Puffin cendré Calonectris diomedea. Comptes-rendus de l’Académie des Sciences de Paris (III) 307:195-198."
citation180,Mundkur 1992,"MUNDKUR, T. 1992. Breeding by one-year-old Indian River Terns. Colonial Waterbirds 15: 144-147."
citation181,Nagulu 1984,"NAGULU, V. 1984. Biology of spot-billed pelican, Pelecanus phillippensis, at Nelapattu, India. Ph.D. thesis. "
citation182,Neithammer and Patrick 1998,"NEITHAMMER, K. R., AND L. B. PATRICK-CASTILAW. 1998. White Tern (Gygis alba). No 371 in The Birds of  North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc. Philadelphia, PA."
citation183,Nelson 1978,"NELSON, J. B. 1978. The Sulidae: gannets and boobies. Oxford University Press. Oxford, UK."
citation184,Nelson 1997,"NELSON, S. K. 1997. Marbled Murrelet (Brachyramphus marmortus). No. 276  in The Birds of  North America, )A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C. "
citation185,Nelson and Hamer 1995,"NELSON, S. K., AND T. E. HAMER 1995. Nesting biology and behavior of the Marbled Murrelet. Pp. 57-68 in Ecology and conservation of the Marbled Murrelet (C. J. Ralph, G. L. Hunt, M. G. Raphael, and J. F. Piatt, eds.). U.S.D.A. Forest Service Technical Report, PSW-152, Albany, CA. "
citation186,Nettleship 1996,"NETTLESHIP, D. N. 1996. Family Alcidae (auks). Pages 678-722 in Handbook of the birds of the world (J. del Hoyo, A. Elliott, and J. Sargatal, eds.). Vol. 3. Lynx Edicions, Barcelona, Spain."
citation187,Nettleship and Hunt 1988,"NETTLESHIP, D. N., AND G. L. HUNT, JR. 1988. Reproductive biology of seabirds at high latitudes in the northern and southern hemispheres. Proceedings of the International Ornithological Congress 19: 1141-1219."
citation188,Nichols 1974,"NICHOLS, C. 1974. Double-brooding in a Western Australian population of the Silver Gull, Larus novae-hollandiae. Australian Journal of Zoology 22: 63-70."
citation189,Nisbet 1989,"NISBET, I. C. T. 1989. Status and biology of the northeastern population of the Roseate Terns (Sterna dougllii): a literature survey and update: 1981-1989. U.S. Fish Wildlife Service, Contract Report 50181-88-8105, Newton Corner, MA."
citation190,Nisbet I.C.T. unpubl.,"NISBET, I. C. T. Unpublished."
citation191,None,None
citation192,North 1997,"NORTH, M. R. 1997. Aleutian Tern (Sterna aleutica). No. 291 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation193,O'Donald 1983,"O’DONALD, P. 1983. The Arctic Skua: a study of the ecology and evolution of a seabird. Cambridge University Press, Cambridge."
citation194,Olsen and Larsson 1997,"OLSEN, K. M., AND H. LARSSON. 1997. Skuas and jaegers. Yale University Press, New Haven. "
citation195,Oro 2002,"ORO, D. 2002. Breeding biology and population dynamics of Slender-billed Gulls at the Ebro Delta (Northwestern Mediterranean). Waterbirds 25: 67-77."
citation196,Oro et al 2004,"ORO, D., A. BEROLERO, A. M. VILALTA and M. A. LOPEZ. 2004. The biology of  the Little Tern in the Ebro Delta (northwestern Mediterranean). Waterbirds 27: 434-440."
citation197,Orta 1992,"ORTA, J. 1992. Family Phaethontidae (Tropicbirds), pages 280-289; Family Phalacrocoracidae (Cormorants), pages 326-353; Family Fregatidae (Frigatebirds), pages 362-374. In Handbook of Birds of the World, Vol. 1. (J. del Hoyo, A. Elliott, and J. Sargatal, eds). Lynx Edicions, Barcelona. "
citation198,Ospina-Alvarez 2014,"OSPINA-ALVAREZ, A. 2014. Breeding ecology of Brown Booby on Gorgona Island, eastern tropical Pacific Ocean. Notornis 61: 10-18."
citation199,Palmer 1962,"PALMER, R. S., (Ed). 1962. Handbook of North American birds. Vol. 1: loons through flamingos. Yale Univ. Press, New Haven, CT."
citation200,Parker et al 2004,"PARKER, N., E. CAM, D. B. LANK AND F. COOKE.  2004. Post-fledging survival of marbled murrelets Brachyramphus marmoratus estimated with radio-marked juveniles in desolation sound, British Columbia.  Marine Ornithology 31: 207-212. "
citation201,Parnell et al 1995,"PARNELL, J. F., R. M. ERWIN AND K. C. MOLINA. 1995. Gull-billed Tern (Sterna nilotica). No. 140 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia and The American Ornithologists’ Union, Washington, D.C."
citation202,Patten 1996,"PATTEN, M. A. 1996. Yellow-footed Gull (Larus livens). No. 243 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Washington, D.C."
citation203,Pennycuick 1983,"PENNYCUICK, C. J. 1983. Thermal soaring compared in three dissimilar tropical bird species, Fregata magnificens, Pelecanus occidentalis and Coryagyps atratus. Journal of Experimental Biology 102: 307-325."
citation204,Petersen 1981,"PETERSEN, A. E. 1981. Breeding biology and feeding ecology of Black Guillemots. Unpublished Ph.D. thesis, University of Oxford."
citation205,Petry et al 2000,"PETRY, M. V., L. BUGONI, AND V. S. FONSECA. 2000. Occurrence of the Cape Verde Shearwater Calonectris edwardsii on the Brazilian coast. Bulletin of the British Ornithological Club 120: 198-200."
citation206,Phillips and Furness 1998,"PHILLIPS, R. A., AND R. W. FURNESS 1998. Polymorphism, mating preferences and sexual selection in the Arctic Skua. Journal of Zoology, London 245: 245-252."
citation207,Phillips and Hamer 2000,"PHILLIPS, R. A., AND K. C. HAMER. 2000. Growth and provisioning strategies of Northern Fulmars Fulmaris glacialis. Ibis 142: 435-445."
citation208,Piatt et al 1990,"PIATT, J., B. ROBERTS AND S. HATCH. 1990. Colony attendance and population monitoring of Least and Crested Auklets at St. Lawrence Island, Alaska. Condor 92: 97-106."
citation209,Pierotti 1979,"PIEROTTI, R. J. 1979. The reproductive behaviour and ecology of the Herring Gull in Newfoundland. Ph.D. dissertation, Dalhousie Univ., Halifax, Nova Scotia."
citation210,Pierotti 1982,"PIEROTTI, R. J. 1982. Habitat selection and its effect on reproductive output in the Herring Gull in Newfoundland. Ecology 63:854-868."
citation211,Pierotti and Annett 1995,"PIEROTTI, R. J., AND C. A. ANNETT. 1995. Western Gull (Larus occidentalis). No. 174 in The Birds of North America,(A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Union, Washington, D.C."
citation212,Pierotti and Good 1994,"PIEROTTI, R. J., AND T. P. GOOD. 1994. Herring Gull (Larus argentatus). No. 124 in The Birds of North America,(A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation213,Pons and Migot 1995,"PONS, J. M., AND P. MIGOT. 1995. Life-history strategy of the herring gull: changes in survival and fecundity in a population subjected to various feeding conditions. Journal of Animal Ecology 64: 592-599."
citation214,Poole et al 1998,"POOLE, J., S. SMITH, C. M. PERRINS, T. R. BIRKHEAD, AND K. R. THOMPSON. 1998. Seabird monitoring on Skomer Island in 1996. JNCC Report no. 277. Peterborough: JNCC."
citation215,Potts 1969,"POTTS, G. R. 1969. The influence of eruptive movements, age, population size and other factors on the survival of the shag (Phalacrocorax aristotelis). Journal of Animal Ecology 38: 53-102."
citation216,Pr&#233;vot-Julliard et al 1998,"PR&#201;VOT-JULLIARD, A-C., J. D. LEBRETON, AND R. PRADEL. 1998. Re-evaluation of adult survival of Black-headed Gulls (Larus ridibundus) in the presence of recapture heterogeneity. Auk 115: 85-95."
citation217,PSG Bull 29:2 2002,"PACIFIC SEABIRD GROUP BULLETIN. 2002. Regional Reports: Northern California, Farallon Islands. Vol 29 (2) pg. 117."
citation218,PSG Bull 35:1 pg 9,PACIFIC SEABIRD GROUP BULLETIN. 2009. Beck’s Petrel not extinct. Vol 35 (1) pg. 9.
citation219,Pyle et al 2011,"PYLE, P., A. J. WELCH, AND R. C. FLEISCHER. 2011. A new species of shearwater (Puffinus) recorded from Midway Atoll, Northwestern Hawaiian Islands. Condor 113: 518–527."
citation220,Pyrovetsi 1989,"PYROVETSI, M. 1989. Foraging trips of White Pelicans (Pelecanus onocrotalus) breeding on Lake Mikri Prespa, Greece. Colonial Waterbirds 12: 43-50."
citation221,Quinn 1990,"QUINN, J. S. 1990. Sexual size dimorphism and parental care patterns in a monomorphic and a dimorphic larid. Auk 107: 260-274."
citation222,Ramos 2002,"RAMOS, J. A. 2002. Spatial patterns of breeding parameters in tropical roseate terns differ from temperate seabirds. Waterbirds 25: 285-294."
citation223,Ramos et al 2003,"RAMOS, J. A., M. ZITA, E. SOLA, AND L. R. MONTEIRO. 2003. Reproductive measures and chick provisioning of Cory’a Shearwters Calonectris diomedea borealis in the Azores. Bird Study 50: 47-54."
citation224,Ramos et al 2004,"RAMOS, J. A., A. M. MAUL, J. BOWLER, D. MONTICELLI AND C. PACHECO. 2004. Laying date, chick provisioning, and breeding success of Lesser Noddies on Aride Island, Seychelles. Condor 106: 887-895."
citation225,Ramos et al 2005,"RAMOS, J. A., J. BOWLER, M. BETTS, C. PACHECO, J. AGOMBAR, I. BULLOCK, AND D. MONTICELLI. 2005. Productivity of White-tailed Tropicbirds on Aride Island, Seychelles. Waterbirds 28: 405-410."
citation226,Ramos et al 2009,"RAMOS, J. A., J. P. GRANADIERO, R. A. PHILLIPS, AND P. ATRY. 2009. Flight morphology and foraging behavior of male and female Cory’s Shearwaters. Condor 111: 424-432."
citation227,Ratcliffe et al 2002,"RATCLIFFE, N., P. CATRY, K. C. HAMER, N. I. KLOMP, AND R. W. FURNESS. 2002. The effect of age and year on the survival of breeding adult Great Skuas Catharacta skua in Shetland. Ibis 144: 384-392."
citation228,Reid 1968,"REID, B. 1968. An interpretation of the age structure and breeding status of an Adelie Penguin population. Notornis 15: 193-197."
citation229,Reid 1987,"REID, W.V. 1987. The cost of reproduction in the glaucous-winged gull. Oecologia 74: 458-467."
citation230,Reilly and Balmford 1974,"REILLY, P. N., AND P. BALMFORD. 1974. A breeding study of the Little Penguin (Eudyptula minor) in Australia. Pages 161-188 in The Biology of Penguins (B. Stonehouse, ed.). MacMillan and Co., London."
citation231,Reynolds et al 2011,"REYNOLDS, T. J., M. P. HARRIS, R. KING, R. L. SWANN, D. J. JARDINE, M. FREDERIKSEN AND S. WANLESS. Among-colony synchrony in the survival of Common Guillemos Uria aalge reflects shared wintering areas. Ibis 153: 818-831."
citation232,Richdale 1957,"RICHDALE, L. E. 1957. A population study of penguins. Oxford University Press, Cambridge, England."
citation233,Richdale 1963,"RICHDALE, L. E. 1963. Biology of the Sooty Shearwater. Proceedings of the London Zoological Society 141: 1-117."
citation234,Ricklefs et al 1986,"RICKLEFS, R. E., D. D. ROBY AND J. B. WILLIAMS. 1986. Daily energy expenditure by adult Leach’s Storm-Petrels during the nesting cycle. Physiological Zoology 59:649-660."
citation235,Robbins C,ROBBINS C. personal communication
citation236,Robinson and Hamer 2000,"ROBINSON, J. A., AND K. C. HAMER. 2000.  Brood size and food provisioning in Common Terns Sterna hirundo and Arctic Terns Sterna paradisaea: consequences for chick growth. Ardea 88: 51-60."
citation237,Robinson et al 2001,"ROBINSON, J. A., K. C. HAMER, AND L. S. CHIVERS. 2001. Contrasting brood sizes in Common and Arctic Terns: the roles of food provisioning rates and parental brooding. Condor 103: 108-117."
citation238,Roby and Brink 1986,"ROBY, D. D., AND K. L. BRINK 1986. Decline of breeding Least Auklets on St. George Island, Alaska. Journal Field Ornithology. 57: 57-59."
citation239,Rothery et al 2002,"ROTHERY, P., M. P. HARRIS, S. WANLESS, AND D. N. SHAW. 2002. Colony size, adult survival rates, productivity and population projections of Black-legged Kittiwakes Rissa tridactyla on Fair Isle. Atlantic Seabirds 4: 17-28."
citation240,Ryder 1993,"RYDER, J. P. 1993. Ring-billed Gull. No. 33 in The Birds of North America, (A. Poole and F. Gill, eds.) Philadelphia: The Academy of Natural Sciences; Washington, DC: The American Ornithologists’ Union."
citation241,Sagar and Warham 1993,"SAGAR, P. M., AND J. WARHAM. 1993. A long-lived Southern Buller’s Mollymawk (Diomedea bulleri bulleri) with a small egg. Notornis 40:303-304."
citation242,Sagar and Warham 1997,"SAGAR, P. M., AND J. WARHAM. 1997. Breeding biology of Southern Buller’s Albatrosses at The Snares, New Zealand. Pages 92-98 in The albatross biology and conservation (G. Robertson, and R. Gales, eds.). Surrey Beatty and Sons, Chipping Norton. Pages 92-98."
citation243,Scarton 2008,"SCARTON, F. 2008. Population trend, colony size and distribution of Little Terns in the lagoon of Venice (Italy) between 1989 and 203. Waterbirds 31: 35-41."
citation244,Schaffner 1982,"SCHAFFNER, F. C. 1982. Aspects of the reproductive ecology of the Elegant Tern (Sterna elegans) at San Diego Bay. Master’s thesis, San Diego State University, San Diego."
citation245,Schreiber 1976,"SCHREIBER, R. W. 1976. Growth and development of nestling Brown Pelicans. Bird-banding 47: 19-39."
citation246,Schreiber and Schreiber 1980,"SCHREIBER, E. A., AND R. W. SCHREIBER. 1980. Breeding biology of Laughing Gulls in Florida. Part II: nesting parameters. Journal Field Ornithology. 51:340-355."
citation247,Schreiber and Schreiber 1993,"SCHREIBER, E. A., AND R. W. SCHREIBER. 1993. The Red-tailed Tropicbird(Phaethon rubricauda). No 43. in The Birds of North America, (A. Poole and F. Gill, eds.). Philadelphia: the Academy of Natural Sciences; Washington, D.C.: the American Ornithologists’ Union."
citation248,Schreiber E.A. unpubl.,"SCHREIBER, E. A. Unpublished."
citation249,Schreiber et al 1979,"SCHREIBER, E. A., R. W. SCHREIBER AND J. J. DINSMORE. 1979. Breeding biology of Laughing Gulls in Florida. Part I: nesting, egg, and incubation parameters. Bird Banding 50: 304-355."
citation250,Schreiber et al 1996,"SCHREIBER, E. A., R. W. SCHREIBER AND G. A. SCHENK. 1996. The Red-footed Booby (Sula sula). No. 241 in The birds of North America, (A. Poole and F. Gill, eds.). Philadelphia, the Academy of Natural Sciences; Washington, D.C., the American Ornithologists Union."
citation251,Schreiber et al 2004,"SCHREIBER, E.A., P. F. DOHERTY, JR., AND G. A. SCHENK. 2004. Dispersal and survival rates of adult and juvenile Red-tailed Tropicbirds (Phaethon rubricauda) exposed to potential contaminants. Animal Biodiversity and Conservation 27: 1-11."
citation252,Sears 1978,"SEARS, H. F. 1978. Breeding behavior of the Gull-billed Tern. Ph.D. dissertation, Univ. North Carolina, Chapel Hill."
citation253,Serventy 1967,"SERVENTY, D. L. 1967. Aspects of the population ecology of the Short-tailed Shearwater, Puffinus tenuirostris. Pp. 165-190 in Proceedings of the XIV International Ornithological Congress.   "
citation254,Seto and O'Daniel 1999,"SETO, N. W. H., AND D. O. O’DANIEL. 1999. Bonin Petrel (Pterodroma hypoleuca). No. 385 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation255,Seto et al 2001,"SETO, N. W. H., N. HOFFMAN, AND B CASLER. 2001. Rat eradication on Midway Atoll: a success story with petrels and shearwaters. Pacific Seabirds 28:52-53. Abstract."
citation256,Shaffer et al 2001,"SHAFFER, S. A., H. WEIMERSKIRCH, AND D. P. COSTA. 2001. Funstional significance of sexual dimorphism in wandering albatross, Diomedea exulans. Functional Ecology 15: 203-210."
citation257,Shealer 1999,"SHEALER, D. 1999. Sandwich Tern (Sterna sandvicensis). No. 405 in The Birds of North America,  (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation258,Shealer unpubl.,"SHEALER, D. Unpublished."
citation259,Sidhu et al 2007,"SIDHU, LEESA, A., E. A. CATCHPOLE, AND P. DANN. 2007. Mark-recapture-recovery modeling and age-related survival in Little Penguins (Eudyptula minor). Auk 124: 815-827."
citation260,Siegel-Causey and Hunt 1986,"SIEGEL-CAUSEY, D., C., AND G. L. HUNT. 1986. Breeding-site selection and colony formation in Double-crested and Pelagic cormorants. Auk 103:230-234."
citation261,Simons 1984,"SIMONS, T. R. 1984. Biology and behavior of the endangered Hawaiian Dark-rumped Petrel. Journal Wildlife Management. 48.(4): 1065-1076. "
citation262,Simons 1985,"SIMONS, T. R. 1985. Biology and behavior of the endangered Hawaiian Dark-rumped Petrel. Condor 87: 229-245."
citation263,Simons and Hodges 1998,"SIMONS, T. R., AND C. N. HODGES. 1998. Dark-rumped Petrel (Pteordroma phaeopygia). No. 345 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc. Philadelphia, PA."
citation264,Southern et al 1965,"SOUTHERN, H. N., R. CARRICK AND W. G. POTTER. 1965. The natural history of a population of guillemots (Uria aalge Pont.). Journal Animal Ecology 34: 649-665."
citation265,Spear et al 1987,"SPEAR, L. B., T. M. PENNIMAN, J. F. PENNIMAN, H. R. CARTER, AND D. G. AINLEY. 1987. Survivorship and mortality factors in a population of western gulls. Studies in Avian Biology 10: 44-56."
citation266,Spendelow et al 1995,"SPENDELOW, J. A., J. D. NICHOLS, I. C. T. NISBET, H. HAYS AND G. D. CORMONS. 1995. Estimating annual survival and movement rates of adults within a metapopulation of Roseate Terns. Ecology 76: 2415-2428. "
citation267,Stenhouse et al 2001,"STENHOUSE, I. J., H. G. GILCHRIST AND W. A. MONTEVECCHI.  2001. Reproductive biology of Sabine’s Gull in the Canadian Arctic. Condor 103: 98-107."
citation268,Stenhouse et al 2004,"STENHOUSE, I., G. J. ROBERTSON AND H. G. GILCHRIST. 2004. Recoveries and survival rate of Ivory Gulls banded at Nunavut, Canada, 1971-1999. Waterbirds 27: 486-492."
citation269,Stonehouse 1962,"STONEHOUSE, B. 1962. The Tropic Birds (Genus Phaethon) of Ascension Island. Ibis 103b: 124-482."
citation270,Stonehouse 1975,"STONEHOUSE, B., (Ed). 1975. Biology of Penguins. Macmillan, London."
citation271,Stonehouse and Stonehouse 1963,"STONEHOUSE, B., AND S. STONEHOUSE 1963. The frigatebird Fregata aquila of Ascension Island. Ibis 103b 409-422."
citation272,Swatschek et al 1994,"SWATSCHEK, I., D. RISTOW AND M. WINK. 1994. Mate fidelity and parentage in Cory’s Shearwater Calonectris diomedea-field studies and DNA fingerprinting. Molecular Ecology 3:259-262."
citation273,Sydeman et al 1996,"SYDEMAN, W. J., P. PYLE, S. D. EMSLIE AND E. B. MCLAREN. 1996. Causes and consequences of long-term partnerships in Cassin’s Auklets. Pages 211-222 in Partnerships in birds-The study of monogamy (J. M. Black, ed.). Oxford University Press, Oxford. "
citation274,Szostek et al 2014,"SZOSTEK, K. L., P. H. BECKER, B. C. MEYER, S. R. SUDMANN, AND H. ZINTL. 2014. Colony size and not nest density drives reproductive output in the Common Tern Sterna hirundo. Ibis 156:  48-59."
citation275,Tarburton 1987,"TARBURTON, M. K. 1987. Some recent observations on seabirds breeding in Fiji. Notornis 25: 303-316."
citation276,Taylor 1962,"TAYLOR, R. H. 1962.  The Adelie Penguin, Pygoscelis adeliae, at Cape Royds. Ibis 104: 176-204."
citation277,Telfair and Morrison 1995,"TELFAIR, R. C. II, AND M. L. MORRISON. 1995. Neotropic Cormorant (Phalacrocorax brasilianus). No. 137 in The Birds of North America, (A. Poole and F. Gill, eds). The Academy of Natural Sciences, Philadelphia, and The American Ornithologists’ Union, Washington, D.C."
citation278,Thibault 1994,"THIBAULT, J.-C. 1994. Nest-site tenacity and mate fidelity in relation to breeding success in Cory’s Shearwater Calonectris diomedea. Bird Study 41:25-28."
citation279,Thompson et al 1997,"THOMPSON, B. C., J. A. JACKSON, J. BURGER, L. A. HILL, E. M. KIRSCH AND J. L. ATWOOD. 1997. Least Tern (Sterna antillarum). No. 290 in The Birds of North America (A. Poole and F. Gill, eds.) The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
