cite_id,citation_name,citation
citation11,Baird 1994,"BAIRD, P. H. 1994. Black-legged Kittiwake (Rissa tridactyla). No.92 in The Birds of  North America, (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union."
citation12,Bakaria et al 2002,"BAKARIA, F., H. RIZI, N ZIANE, Y. CHABI AND J. BANBURA. 2002. Breeding ecology of Whiskered Terns  in Algeria, North Africa. Waterbirds 25: 56-62."
citation13,Barbraud et al 2014,"BARBRAUD, C., A. BOOTH, G. A. TAYLOR, AND S. M. WAUGH. 2014. Survivorship in flesh-footed shearwaters Puffinus carneipes. Marine Ornithology 42: 91-97."
citation14,Barlow and Dowding 2002,"BARLOW, M. L., AND J. E. DOWDING. 2002. Breeding biology of Caspian terns (Sterna caspia) at a colony near Invercargill, New Zealand. Notornis 49: 76-90.  "
citation15,Barrat 1976,"BARRAT, A. 1976. Quelques aspects de la biologie et de l’&#233;cologie du Manchot Royal (Aptenodytes patagonica) des L'isles Crozet. Com. Nat. Fran&#231;ais Rech. Antarct. 40: 9-52."
citation16,BBL,"BIRD BANDING LABORATORY. Patuxent Wildlife Research Center, U.S. Geological Survey."
citation17,Beadell et al 2003,"BEADELL, J. S., E. A. SCHREIBER, R. W. SCHREIBER, G. A. SCHENK, P. F. DOHERTY, JR. 2003. Survival of Brown Boobies (Sula leucogaster) at Johnston Atoll: a long-term study. Auk 120: 811-817. "
citation18,Beck and Brown 1972,"BECK, J. R., AND D. W. BROWN. 1972. The biology of Wilson’s storm petrel, Oceanites oceanicus (Kuhl), at Signy Island, South Orkney Islands. Scientific reports of the British Antarctic Survey, no. 69."
citation19,Beissinger 1995,"BEISSINGER, S.R. 1995. Population trends of the Marbled Murrelet projected from demographic analyses. In: Ecology and Conservation of the Marbled Murrelet. Ralph, C.J., Hunt Jr., G.L., Raphael, M.G. & Piatt, J.F. (Eds.). USDA Forest Service General Technical Report PSW-GTR-152. pp. 385-393."
citation20,Bellose 1983,"BELLOSE, C. A. 1983. The breeding biology and ecology of a small mainland colony of Western Gulls. Master’s thesis, California State Univ., San Jose."
citation21,Bent 1921,"BENT, A. C. 1921. Life histories of North American gulls and terns. U.S. National Museum Bulletin 113."
citation22,Birdlife,Birdlife International Fact sheets
citation23,Boekelheide and Ainley 1989,"BOEKELHEIDE, R. J., AND D. G. AINLEY. 1989. Age, resource availability, and breeding effort in Brandt’s Cormorant. Auk 106: 389-401."
citation24,Boekelheide et al 1990,"BOEKELHEIDE, R. J., D. G. AINLEY, S. H. MORRELL AND T. J. LEWIS. 1990. "
citation25,Boersma 1976,"BOERSMA, P.D. 1976. An ecological and behavioral study of the Galapagos Penguin. Living Bird 15: 43-93."
citation26,Bolton et al 2008,"BOLTON, M., A.L. SMITH, E. G&#211;MEZ-D&#205;AZ, V.L. FRIESEN, R. MEDEROS, J. BRIED, J.L. ROSCALES, AND R.W. FURNESS. 2008. Montero's Storm-petrel Oceanodroma monteiroi: a new species from the Azores. Ibis 150: 717-727"
citation27,Bretagnolle and Attie 1991,"BRETAGNOLLE, V., AND C. ATTIÉ.  1991. Status of Barau’s Petrel (Pterdroma baraui): colony sites, breeding population and taxonomic affinities. Colonial Waterbirds 14: 25-33. "
citation28,Breton and Diamond 2014,"BRETON, A. R., AND A. W. DIAMOND. 2014. Annual survival of adult Atlantic Puffins Fratercula arctica is positively correlated with Herring Clupea harengus availability. Ibis 156: 35-47."
citation29,Breton et al 2008,"BRETON, A. R. , G. A. FOX AND J. W. CHARDINE. 2008. Survival of adult Herring gulls (Larus argentatus) from a Lake Ontario colony over two decades of environmental change. Waterbirds 31: 15-23."
citation30,Brooke 1978,"BROOKE, M. de L. 1978. Weights and measurements of the Manx Shearwater Puffinus puffinus. Journal Zoology London. 186: 359-374."
