brid,species_id,breeding_distribution_id,breeding_distribution,cite_id,username,dt
204,Thalassarche carteri,2,SP,citation311,grant,7/17/2016
205,Thalassarche cauta,1,Tm,citation311,grant,7/17/2016
206,Thalassarche chlororhynchos,1,Tm,citation311,grant,7/17/2016
207,Thalassarche chlororhynchos,2,SP,citation311,grant,7/17/2016
208,Thalassarche chrysostoma,1,Tm,citation311,grant,7/17/2016
209,Thalassarche chrysostoma,2,SP,citation311,grant,7/17/2016
210,Thalassarche eremita,1,Tm,citation311,grant,7/17/2016
211,Thalassarche impavida,1,Tm,citation311,grant,7/17/2016
212,Thalassarche melanophris,1,SP,citation311,grant,7/17/2016
213,Thalassarche salvini,1,Tm,citation311,grant,7/17/2016
214,Thalassarche steadi,1,unknown,citation311,grant,7/17/2016
215,Dromas ardeola,1,unknown,citation311,grant,7/17/2016
216,Fregata andrewsi,1,Tr,citation311,grant,7/17/2016
217,Fregata aquila,1,STr,citation311,grant,7/17/2016
218,Fregata ariel,1,Tr,citation311,grant,7/17/2016
219,Fregata magnificens,1,Tr,citation311,grant,7/17/2016
220,Fregata minor,1,Tr,citation311,grant,7/17/2016
221,Cursorius coromandelicus,1,unknown,citation311,grant,7/17/2016
222,Cursorius cursor,1,unknown,citation311,grant,7/17/2016
223,Cursorius rufus,1,unknown,citation311,grant,7/17/2016
224,Cursorius somalensis,1,unknown,citation311,grant,7/17/2016
225,Cursorius temminckii,1,unknown,citation311,grant,7/17/2016
226,Glareola cinerea,1,unknown,citation311,grant,7/17/2016
227,Glareola lactea,1,unknown,citation311,grant,7/17/2016
228,Glareola maldivarum,1,unknown,citation311,grant,7/17/2016
229,Glareola nordmanni,1,unknown,citation311,grant,7/17/2016
230,Glareola nuchalis,1,unknown,citation311,grant,7/17/2016
231,Glareola ocularis,1,unknown,citation311,grant,7/17/2016
232,Glareola pratincola,1,unknown,citation311,grant,7/17/2016
233,Rhinoptilus bitorquatus,1,unknown,citation311,grant,7/17/2016
234,Rhinoptilus chalcopterus,1,unknown,citation311,grant,7/17/2016
235,Rhinoptilus cinctus,1,unknown,citation311,grant,7/17/2016
236,Smutsornis africanus,1,unknown,citation311,grant,7/17/2016
237,Stiltia isabella,1,unknown,citation311,grant,7/17/2016
238,Haematopus ater,1,unknown,citation311,grant,7/17/2016
239,Haematopus chathamensis,1,unknown,citation311,grant,7/17/2016
240,Haematopus fuliginosus,1,unknown,citation311,grant,7/17/2016
241,Haematopus leucopodus,1,unknown,citation311,grant,7/17/2016
242,Haematopus longirostris,1,unknown,citation311,grant,7/17/2016
243,Haematopus meadewaldoi,1,unknown,citation311,grant,7/17/2016
244,Haematopus moquini,1,unknown,citation311,grant,7/17/2016
245,Haematopus ostralegus,1,unknown,citation311,grant,7/17/2016
246,Haematopus palliatus,1,unknown,citation311,grant,7/17/2016
247,Haematopus unicolor,1,unknown,citation311,grant,7/17/2016
248,Hydrobates castro,1,Tm-Tr,citation311,grant,7/17/2016
249,Hydrobates furcatus,1,Tm,citation311,grant,7/17/2016
250,Hydrobates homochroa,1,STr,citation311,grant,7/17/2016
251,Hydrobates hornbyi,1,STr,citation311,grant,7/17/2016
252,Hydrobates leucorhous,1,Tm,citation311,grant,7/17/2016
253,Hydrobates leucorhous,2,STr,citation311,grant,7/17/2016
254,Hydrobates macrodactylus,1,unknown,citation311,grant,7/17/2016
255,Hydrobates markhami,1,Tr,citation311,grant,7/17/2016
256,Hydrobates matsudairae,1,STr,citation311,grant,7/17/2016
257,Hydrobates melania,1,STr,citation311,grant,7/17/2016
258,Hydrobates microsoma,1,STr,citation311,grant,7/17/2016
259,Hydrobates monorhis,1,Tm-Tr,citation311,grant,7/17/2016
260,Hydrobates monteiroi,1,Tr,citation311,grant,7/17/2016
261,Hydrobates pelagicus,1,Tm,citation311,grant,7/17/2016
262,Hydrobates pelagicus,2,STr,citation311,grant,7/17/2016
263,Hydrobates tethys,1,Tr,citation311,grant,7/17/2016
264,Hydrobates tristrami,1,STr,citation311,grant,7/17/2016
265,Ibidorhyncha struthersii,1,unknown,citation311,grant,7/17/2016
266,Actophilornis africanus,1,unknown,citation311,grant,7/17/2016
267,Actophilornis albinucha,1,unknown,citation311,grant,7/17/2016
268,Hydrophasianus chirurgus,1,unknown,citation311,grant,7/17/2016
269,Irediparra gallinacea,1,unknown,citation311,grant,7/17/2016
270,Jacana jacana,1,unknown,citation311,grant,7/17/2016
271,Jacana spinosa,1,unknown,citation311,grant,7/17/2016
272,Metopidius indicus,1,unknown,citation311,grant,7/17/2016
273,Microparra capensis,1,unknown,citation311,grant,7/17/2016
274,Anous minutus,1,STr,citation311,grant,7/17/2016
275,Anous minutus,2,Tr,citation311,grant,7/17/2016
276,Anous stolidus,1,Tr,citation311,grant,7/17/2016
277,Anous tenuirostris,1,STr,citation311,grant,7/17/2016
278,Anous tenuirostris,2,Tr,citation311,grant,7/17/2016
279,Chlidonias albostriatus,1,Tm,citation311,grant,7/17/2016
280,Chlidonias hybrida,1,Tm-Tr,citation311,grant,7/17/2016
281,Chlidonias leucopterus,1,Tm,citation311,grant,7/17/2016
282,Chlidonias niger,1,Tm,citation311,grant,7/17/2016
283,Creagrus furcatus,1,Tr,citation311,grant,7/17/2016
284,Gelochelidon macrotarsa,1,unknown,citation311,grant,7/17/2016
285,Gelochelidon nilotica,1,Tm-Tr,citation311,grant,7/17/2016
286,Gygis alba,1,STr,citation311,grant,7/17/2016
287,Gygis alba,2,Tr,citation311,grant,7/17/2016
288,Gygis microrhyncha,1,unknown,citation311,grant,7/17/2016
289,Hydrocoloeus minutus,1,SP,citation311,grant,7/17/2016
290,Hydrocoloeus minutus,2,Tm,citation311,grant,7/17/2016
291,Hydroprogne caspia,1,Tm,citation311,grant,7/17/2016
292,Hydroprogne caspia,2,STr,citation311,grant,7/17/2016
293,Larosterna inca,1,Tr,citation311,grant,7/17/2016
294,Larus argentatus,1,SP,citation311,grant,7/17/2016
295,Larus argentatus,2,Tm,citation311,grant,7/17/2016
296,Larus armenicus,1,unknown,citation311,grant,7/17/2016
297,Larus atlanticus,1,unknown,citation311,grant,7/17/2016
298,Larus atricilla,1,Tm-Tr,citation311,grant,7/17/2016
299,Larus audouinii,1,STr,citation311,grant,7/17/2016
300,Larus audouinii,2,Tr,citation311,grant,7/17/2016
301,Larus belcheri,1,STr,citation311,grant,7/17/2016
302,Larus belcheri,2,Tr,citation311,grant,7/17/2016
