trtid,species_id,variable,value,comments,cite_id,username,dt
119,Charadrius dubius,hatchling type,,,citation311,grant,17/07/2016
120,Charadrius falklandicus,hatchling type,,,citation311,grant,17/07/2016
121,Charadrius forbesi,hatchling type,,,citation311,grant,17/07/2016
122,Charadrius hiaticula,hatchling type,,,citation311,grant,17/07/2016
123,Charadrius javanicus,hatchling type,,,citation311,grant,17/07/2016
124,Charadrius leschenaultii,hatchling type,,,citation311,grant,17/07/2016
125,Charadrius marginatus,hatchling type,,,citation311,grant,17/07/2016
126,Charadrius melodus,hatchling type,,,citation311,grant,17/07/2016
127,Charadrius modestus,hatchling type,,,citation311,grant,17/07/2016
128,Charadrius mongolus,hatchling type,,,citation311,grant,17/07/2016
129,Charadrius montanus,hatchling type,,,citation311,grant,17/07/2016
130,Charadrius nivosus,hatchling type,,,citation311,grant,17/07/2016
131,Charadrius obscurus,hatchling type,,,citation311,grant,17/07/2016
132,Charadrius pallidus,hatchling type,,,citation311,grant,17/07/2016
133,Charadrius pecuarius,hatchling type,,,citation311,grant,17/07/2016
134,Charadrius peronii,hatchling type,,,citation311,grant,17/07/2016
135,Charadrius placidus,hatchling type,,,citation311,grant,17/07/2016
136,Charadrius ruficapillus,hatchling type,,,citation311,grant,17/07/2016
137,Charadrius sanctaehelenae,hatchling type,,,citation311,grant,17/07/2016
138,Charadrius semipalmatus,hatchling type,,,citation311,grant,17/07/2016
139,Charadrius thoracicus,hatchling type,,,citation311,grant,17/07/2016
140,Charadrius tricollaris,hatchling type,,,citation311,grant,17/07/2016
141,Charadrius veredus,hatchling type,,,citation311,grant,17/07/2016
142,Charadrius vociferus,hatchling type,,,citation311,grant,17/07/2016
143,Charadrius wilsonia,hatchling type,,,citation311,grant,17/07/2016
144,Elseyornis melanops,hatchling type,,,citation311,grant,17/07/2016
145,Erythrogonys cinctus,hatchling type,,,citation311,grant,17/07/2016
146,Eudromias morinellus,hatchling type,,,citation311,grant,17/07/2016
147,Hoploxypterus cayanus,hatchling type,,,citation311,grant,17/07/2016
148,Oreopholus ruficollis,hatchling type,,,citation311,grant,17/07/2016
149,Peltohyas australis,hatchling type,,,citation311,grant,17/07/2016
150,Phegornis mitchellii,hatchling type,,,citation311,grant,17/07/2016
151,Pluvialis apricaria,hatchling type,,,citation311,grant,17/07/2016
152,Pluvialis dominica,hatchling type,,,citation311,grant,17/07/2016
153,Pluvialis fulva,hatchling type,,,citation311,grant,17/07/2016
154,Pluvialis squatarola,hatchling type,,,citation311,grant,17/07/2016
155,Thinornis cucullatus,hatchling type,,,citation311,grant,17/07/2016
156,Thinornis novaeseelandiae,hatchling type,,,citation311,grant,17/07/2016
157,Vanellus albiceps,hatchling type,,,citation311,grant,17/07/2016
158,Vanellus armatus,hatchling type,,,citation311,grant,17/07/2016
159,Vanellus chilensis,hatchling type,,,citation311,grant,17/07/2016
160,Vanellus cinereus,hatchling type,,,citation311,grant,17/07/2016
161,Vanellus coronatus,hatchling type,,,citation311,grant,17/07/2016
162,Vanellus crassirostris,hatchling type,,,citation311,grant,17/07/2016
163,Vanellus duvaucelii,hatchling type,,,citation311,grant,17/07/2016
164,Vanellus gregarius,hatchling type,,,citation311,grant,17/07/2016
165,Vanellus indicus,hatchling type,,,citation311,grant,17/07/2016
166,Vanellus leucurus,hatchling type,,,citation311,grant,17/07/2016
167,Vanellus lugubris,hatchling type,,,citation311,grant,17/07/2016
168,Vanellus macropterus,hatchling type,,,citation311,grant,17/07/2016
169,Vanellus malarbaricus,hatchling type,,,citation311,grant,17/07/2016
170,Vanellus melanocephalus,hatchling type,,,citation311,grant,17/07/2016
171,Vanellus melanopterus,hatchling type,,,citation311,grant,17/07/2016
172,Vanellus miles,hatchling type,,,citation311,grant,17/07/2016
173,Vanellus novaehollandiae,hatchling type,,,citation311,grant,17/07/2016
174,Vanellus resplendens,hatchling type,,,citation311,grant,17/07/2016
175,Vanellus senegallus,hatchling type,,,citation311,grant,17/07/2016
176,Vanellus spinosus,hatchling type,,,citation311,grant,17/07/2016
177,Vanellus superciliosus,hatchling type,,,citation311,grant,17/07/2016
178,Vanellus tectus,hatchling type,,,citation311,grant,17/07/2016
179,Vanellus tricolor,hatchling type,,,citation311,grant,17/07/2016
180,Vanellus vanellus,hatchling type,,,citation311,grant,17/07/2016
181,Chionis albus,hatchling type,,,citation311,grant,17/07/2016
182,Chionis minor,hatchling type,,,citation311,grant,17/07/2016
183,Diomedea amsterdamensis,hatchling type,SP,,citation311,grant,17/07/2016
184,Diomedea antipodensis,hatchling type,SP,,citation311,grant,17/07/2016
185,Diomedea dabbenena,hatchling type,SP,,citation311,grant,17/07/2016
186,Diomedea epomophora,hatchling type,SP,,citation311,grant,17/07/2016
187,Diomedea exulans,hatchling type,SP,,citation311,grant,17/07/2016
188,Diomedea sanfordi,hatchling type,SP,,citation311,grant,17/07/2016
189,Phoebastria albatrus,hatchling type,SP,,citation311,grant,17/07/2016
190,Phoebastria immutabilis,hatchling type,SP,,citation311,grant,17/07/2016
191,Phoebastria irrorata,hatchling type,SP,,citation311,grant,17/07/2016
192,Phoebastria nigripes,hatchling type,SP,,citation311,grant,17/07/2016
193,Phoebetria fusca,hatchling type,SP,,citation311,grant,17/07/2016
194,Phoebetria palpebrata,hatchling type,SP,,citation311,grant,17/07/2016
195,Thalassarche bulleri,hatchling type,SP,,citation311,grant,17/07/2016
