iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
168,Vanellus macropterus,CR,D,2013,unknown,,,,
169,Vanellus malarbaricus,LC,,2012,stable,,,,
170,Vanellus melanocephalus,LC,,2012,unknown,,,,
171,Vanellus melanopterus,LC,,2012,decreasing,,,,
172,Vanellus miles,LC,,2014,increasing,,,,
173,Vanellus novaehollandiae,LC,,2014,increasing,,,,
174,Vanellus resplendens,LC,,2012,stable,,,,
175,Vanellus senegallus,LC,,2012,stable,,,,
176,Vanellus spinosus,LC,,2012,increasing,,,,
177,Vanellus superciliosus,LC,,2012,unknown,,,,
178,Vanellus tectus,LC,,2012,unknown,,,,
179,Vanellus tricolor,LC,,2012,unknown,,,,
180,Vanellus vanellus,LC,,2012,decreasing,,,,
181,Chionis albus,LC,,2012,stable,,,,
182,Chionis minor,LC,,2012,decreasing,,,,
183,Diomedea amsterdamensis,CR,B2ab(v); C2a(ii),2013,decreasing,,,,
184,Diomedea antipodensis,VU,D2,2012,decreasing,,,,
185,Diomedea dabbenena,CR,A4ade,2013,decreasing,,,,
186,Diomedea epomophora,VU,D2,2012,stable,,,,
187,Diomedea exulans,VU,A4bd,2012,decreasing,,,,
188,Diomedea sanfordi,EN,"A4bc;B2ab(iii,v)",2013,decreasing,,,,
189,Phoebastria albatrus,VU,D2,2012,increasing,,,,
190,Phoebastria immutabilis,NT,,2013,stable,,,,
191,Phoebastria irrorata,CR,B2ab(v),2014,decreasing,,,,
192,Phoebastria nigripes,NT,,2014,increasing,,,,
193,Phoebetria fusca,EN,A4bd,2012,decreasing,,,,
194,Phoebetria palpebrata,NT,,2012,decreasing,,,,
195,Thalassarche bulleri,NT,,2012,stable,,,,
196,Thalassarche carteri,EN,A4bde,2012,decreasing,,,,
197,Thalassarche cauta,NT,,2012,unknown,,,,
198,Thalassarche chlororhynchos,EN,A4bd;B2ab(v),2012,decreasing,,,,
199,Thalassarche chrysostoma,EN,A4bd,2013,decreasing,,,,
200,Thalassarche eremita,VU,D2,2012,increasing,,,,
201,Thalassarche impavida,VU,D2,2012,increasing,,,,
202,Thalassarche melanophris,NT,,2014,decreasing,,,,
203,Thalassarche salvini,VU,D2,2012,unknown,,,,
204,Thalassarche steadi,NT,,2013,decreasing,,,,
205,Dromas ardeola,LC,,2012,stable,,,,
206,Fregata andrewsi,CR,"B2ab(ii,iii,v)",2013,decreasing,,,,
207,Fregata aquila,VU,D2,2012,unknown,,,,
208,Fregata ariel,LC,,2012,decreasing,,,,
209,Fregata magnificens,LC,,2012,increasing,,,,
210,Fregata minor,LC,,2012,decreasing,,,,
211,Cursorius coromandelicus,LC,,2012,stable,,,,
212,Cursorius cursor,LC,,2012,stable,,,,
213,Cursorius rufus,LC,,2012,decreasing,,,,
214,Cursorius somalensis,LC,,2012,stable,,,,
215,Cursorius temminckii,LC,,2012,stable,,,,
216,Glareola cinerea,LC,,2012,unknown,,,,
217,Glareola lactea,LC,,2012,unknown,,,,
218,Glareola maldivarum,LC,,2012,decreasing,,,,
219,Glareola nordmanni,NT,,2012,decreasing,,,,
220,Glareola nuchalis,LC,,2012,decreasing,,,,
221,Glareola ocularis,VU,C2a(ii),2012,decreasing,,,,
222,Glareola pratincola,LC,,2012,decreasing,,,,
223,Rhinoptilus bitorquatus,CR,C2a(ii),2013,decreasing,,,,
224,Rhinoptilus chalcopterus,LC,,2012,stable,,,,
225,Rhinoptilus cinctus,LC,,2012,stable,,,,
226,Smutsornis africanus,LC,,2012,stable,,,,
227,Stiltia isabella,LC,,2012,stable,,,,
228,Haematopus ater,LC,,2014,unknown,,,,
229,Haematopus chathamensis,EN,D,2012,increasing,,,,
230,Haematopus fuliginosus,LC,,2012,stable,,,,
231,Haematopus leucopodus,LC,,2012,stable,,,,
232,Haematopus longirostris,LC,,2012,unknown,,,,
233,Haematopus meadewaldoi,EX,,2012,,,,,
234,Haematopus moquini,NT,,2012,increasing,,,,
235,Haematopus ostralegus,LC,,2014,decreasing,,,,
236,Haematopus palliatus,LC,,2012,stable,,,,
237,Haematopus unicolor,LC,,2013,increasing,,,,
238,Hydrobates castro,LC,,2013,decreasing,,,,
239,Hydrobates furcatus,LC,,2012,increasing,,,,
240,Hydrobates homochroa,EN,A2ce+3ce,2013,decreasing,,,,
241,Hydrobates hornbyi,DD,,2012,unknown,,,,
242,Hydrobates leucorhous,LC,,2012,stable,,,,
243,Hydrobates macrodactylus,CR,D,2012,unknown,,,,
244,Hydrobates markhami,DD,,2012,unknown,,,,
245,Hydrobates matsudairae,VU,D2,2014,unknown,,,,
246,Hydrobates melania,LC,,2013,decreasing,,,,
247,Hydrobates microsoma,LC,,2012,decreasing,,,,
248,Hydrobates monorhis,NT,,2014,stable,,,,
249,Hydrobates monteiroi,VU,D1+2,2013,stable,,"[250,300]",,
250,Hydrobates pelagicus,LC,,2012,decreasing,,,,
251,Hydrobates tethys,LC,,2013,decreasing,,,,
252,Hydrobates tristrami,NT,,2012,stable,,,,
253,Ibidorhyncha struthersii,LC,,2012,unknown,,,,
254,Actophilornis africanus,LC,,2012,stable,,,,
255,Actophilornis albinucha,NT,,2012,decreasing,,,,
256,Hydrophasianus chirurgus,LC,,2012,decreasing,,,,
257,Irediparra gallinacea,LC,,2012,unknown,,,,
258,Jacana jacana,LC,,2012,stable,,,,
259,Jacana spinosa,LC,,2012,unknown,,,,
260,Metopidius indicus,LC,,2012,unknown,,,,
261,Microparra capensis,LC,,2012,unknown,,,,
262,Anous minutus,LC,,2012,stable,,,,
263,Anous stolidus,LC,,2012,stable,,,,
264,Anous tenuirostris,LC,,2012,stable,,,,
265,Chlidonias albostriatus,EN,A2bce+3bce+4bce,2012,decreasing,,,,
266,Chlidonias hybrida,LC,,2012,stable,,,,
267,Chlidonias leucopterus,LC,,2012,stable,,,,
268,Chlidonias niger,LC,,2012,decreasing,,,,
269,Creagrus furcatus,LC,,2012,unknown,,,,
270,Gelochelidon macrotarsa,LC,,2014,unknown,,,,
271,Gelochelidon nilotica,LC,,2014,decreasing,,,,
272,Gygis alba,LC,,2012,stable,,,,
273,Gygis microrhyncha,LC,,2012,stable,,,,
274,Hydrocoloeus minutus,LC,,2012,increasing,,,,
275,Hydroprogne caspia,LC,,2012,increasing,,,,
276,Larosterna inca,NT,,2012,decreasing,,,,
277,Larus argentatus,LC,,2014,decreasing,,,,
278,Larus armenicus,LC,,2014,unknown,,,,
279,Larus atlanticus,NT,,2013,stable,,,,
280,Larus atricilla,LC,,2012,increasing,,,,
281,Larus audouinii,NT,,2012,stable,,,,
282,Larus belcheri,LC,,2012,increasing,,,,
283,Larus brunnicephalus,LC,,2013,stable,,,,
284,Larus bulleri,EN,A2ce+3ce+4ce,2012,decreasing,,,,
285,Larus cachinnans,LC,,2014,stable,,,,
286,Larus californicus,LC,,2012,decreasing,,,,
287,Larus canus,LC,,2012,unknown,,,,
288,Larus cirrocephalus,LC,,2012,stable,,,,
289,Larus crassirostris,LC,,2012,stable,,,,
290,Larus delawarensis,LC,,2012,increasing,,,,
291,Larus dominicanus,LC,,2012,increasing,,,,
292,Larus fuliginosus,VU,D1,2012,increasing,,,,
293,Larus fuscus,LC,,2012,increasing,,,,
294,Larus genei,LC,,2012,increasing,,,,
295,Larus glaucescens,LC,,2012,increasing,,,,
296,Larus glaucoides,LC,,2012,stable,,,,
297,Larus hartlaubii,LC,,2012,increasing,,,,
298,Larus heermanni,NT,,2012,increasing,,,,
299,Larus hemprichii,LC,,2012,decreasing,,,,
300,Larus hyperboreus,LC,,2012,stable,,,,
301,Larus ichthyaetus,LC,,2012,decreasing,,,,
302,Larus leucophthalmus,NT,,2012,stable,,,,
303,Larus livens,LC,,2012,stable,,,,
304,Larus maculipennis,LC,,2012,increasing,,,,
305,Larus marinus,LC,,2012,increasing,,,,
306,Larus melanocephalus,LC,,2012,stable,,,,
307,Larus michahellis,LC,,2014,increasing,,,,
308,Larus modestus,LC,,2012,decreasing,,,,
309,Larus novaehollandiae,LC,,2014,increasing,,,,
310,Larus occidentalis,LC,,2012,increasing,,,,
311,Larus pacificus,LC,,2012,stable,,,,
312,Larus philadelphia,LC,,2012,increasing,,,,
313,Larus pipixcan,LC,,2012,increasing,,,,
314,Larus relictus,VU,D2,2012,decreasing,,,,
315,Larus ridibundus,LC,,2012,decreasing,,,,
316,Larus schistisagus,LC,,2012,unknown,,,,
