feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
160,Alle alle,tail,,,,mm,,,,citation311,grant,7/15/2016
161,Alle alle,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
162,Alle alle,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
163,Alle alle,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
164,Alle alle,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
165,Alle alle,egg mass,31,,,g,,,,citation311,grant,7/15/2016
166,Alle alle,incubation period,29,,,d,,,,citation311,grant,7/15/2016
167,Alle alle,fledging period,27.5,,,d,,,,citation311,grant,7/15/2016
168,Alle alle,reproductive success,,,,%,,,,citation311,grant,7/15/2016
169,Alle alle,hatching success,,,,%,,,,citation311,grant,7/15/2016
170,Alle alle,fledging success,,,,%,,,,citation311,grant,7/15/2016
171,Alle alle,max growth,6.5,,,g/d,,,,citation311,grant,7/15/2016
172,Alle alle,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
173,Alle alle,post fledge care,0,,,d,,,,citation311,grant,7/15/2016
174,Alle alle,fledgling mass,110,,,g,,,,citation311,grant,7/15/2016
175,Alle alle,ratio fledgling to adult,70,,,%,,,,citation311,grant,7/15/2016
176,Alle alle,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
177,Alle alle,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
178,Alle alle,first year survival,,,,%,,,,citation311,grant,7/15/2016
179,Alle alle,second year survival,,,,%,,,,citation311,grant,7/15/2016
180,Alle alle,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
181,Alle alle,age first breed,5,,,yrs,,,,citation311,grant,7/15/2016
182,Alle alle,migration distance,,,,km,,,,citation311,grant,7/15/2016
183,Alle alle,wingspan,,,,cm,,,,citation311,grant,7/15/2016
184,Alle alle,max age,,,,yrs,,,,citation311,grant,7/15/2016
185,Alle alle,annual survival,,,,%,,,,citation311,grant,7/15/2016
186,Alle alle,foraging distance,,,,km,,,,citation311,grant,7/15/2016
187,Brachyramphus brevirostris,female mass,,"[0.224,0.243]",,Kg,,,,citation311,grant,7/15/2016
188,Brachyramphus brevirostris,male mass,,"[0.224,0.243]",,Kg,,,,citation311,grant,7/15/2016
189,Brachyramphus brevirostris,culmen,,,,mm,,,,citation311,grant,7/15/2016
190,Brachyramphus brevirostris,tarsus,,,,mm,,,,citation311,grant,7/15/2016
191,Brachyramphus brevirostris,tail,,,,mm,,,,citation311,grant,7/15/2016
192,Brachyramphus brevirostris,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
193,Brachyramphus brevirostris,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
194,Brachyramphus brevirostris,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
195,Brachyramphus brevirostris,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
196,Brachyramphus brevirostris,egg mass,34,,,g,,,,citation311,grant,7/15/2016
197,Brachyramphus brevirostris,incubation period,30,,ca,d,,,,citation311,grant,7/15/2016
