feature_id,species_id,female_mass_mean,female_mass_upper,female_mass_lower,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,clutch_interval,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,citation,username,dt
172,Vanellusmiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
173,Vanellusnovaehollandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
174,Vanellusresplendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
175,Vanellussenegallus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
176,Vanellusspinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
177,Vanellussuperciliosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
178,Vanellustectus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
179,Vanellustricolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
180,Vanellusvanellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
181,Chionisalbus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
182,Chionisminor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
183,Thalassarchebulleri,2.78,,,,3.12,,,,1,,,,,,69,72,,,140,167,,,,,,0,,,,5,,,+,NS,,205,213,,30,,,+,91.3,,,,,,,,grant,27/06/2016
184,Phoebetriafusca,2.4,,,,2.7,,,,1,,,,B,,69,72,,,140,167,,,,,,0,,,,5,,,+,NS,,205,213,,30,,,+,91.3,,,,,,,,grant,27/06/2016
185,Thalassarchemelanophris,3.22,,,,3.92,,,,1,,,,,,65,72,,,116,125,,70,,,,,,,,(7-11),7,11,,"NS,OS",,216,240,,,,,,92,,,,,,,,grant,27/06/2016
186,Thalassarcheimpavida,2.7,,,,3.1,,,,1,,,,,,,,,,,,,,,,,0,,,,10,,,,OS,,,,,,,,,94.5,,,,,,,,grant,27/06/2016
187,Thalassarchechrysostoma,,3,3.6,,,3.4,3.7,,1,,,,,,69,78,,141,,,c,63,,,,,,,,(7-13),7,13,,OS,,180,218,,30,,,+,95,,,,,,,,grant,27/06/2016
188,Phoebastriairrorata,3.5,,,,3.5,,,,1,,,,,60,,,,167,,,,,,,,0,,,,8.3,,,,,,230,240,,40,,,c,95,,,,,,,,grant,27/06/2016
189,Phoebastriaimmutabilis,2.85,,,,3.23,,,,1,,,,,65,,,,165,,,,,,,,,,,weeks,8,8,9,,OS,,195,202,,53,,,c,95,,,,,,,,grant,27/06/2016
190,Diomedeaexulans,,6,11,,,6,11,,1,,,,,,75,83,,278,,,,56,,,,0,,,,9,7,11,,OS,311,,,,35,,,,96,,,,,,,,grant,27/06/2016
191,Diomedeaepomophora,,8,10,,,8,10,,1,,,,SP,,78,80,,241,,,,83,,,,0,,,,(7-11),7,11,,OS,,,,,58,,,+,97,,,,,,,,grant,27/06/2016
192,Phoebetriapalpebrata,,2.8,3.1,,,2.8,3.1,,1,,,,,,66,69,,,140,157,,45,,,,,,,,7,,,,OS,218,,,,,,,,97.3,,,,,,,,grant,27/06/2016
193,Diomedeaamsterdamensis,,4.8,8,,,4.8,8,,1,,,,,79,,,,235,,,,,,,,,,,,,,,,,300,,,,40,,,c,,94,95,,,,,,grant,27/06/2016
194,Phoebastrianigripes,3,,,,3.4,,,,1,,,,,,64,65,,145.6,,,,,,,,40,,,,4,,,,OS,,193,227,,41,,,,,,,,,,,,grant,27/06/2016
195,Thalassarchechlororhynchos,2.5,,,,,2.4,2.9,,1,,,,,,71,78,,120,,,c,60,,,,,,,,9,,,c,OS,,200,256,,37,,,+,,,,,,,,,grant,27/06/2016
196,Thalassarchecauta,,3.4,3.8,,,4,4.4,,1,,,,,,68,75,,120,,,c,,,,,0,,,,,,,,"NS,OS",,212,256,,,,,,,,,,,,,,grant,27/06/2016
197,Phoebastriaalbatrus,,,,,,,,,1,,,,,49,,,,180,,,c,,,,,,,,,,,,,,,213,229,,,,,,,,,,,,,,grant,27/06/2016
198,Thalassarchecarteri,,,,,,,,,1,,,,,,7,78,,130,,,c,,,,,,,,,9,,,c,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
199,Diomedeasanfordi,,,,,,,,,1,,,,,79,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
200,Diomedeaantipodensis,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
201,Diomedeadabbenena,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
202,Thalassarcheeremita,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
203,Thalassarchesalvini,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
204,Thalassarchesteadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
205,Dromasardeola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
206,Fregataariel,,0.78,1.11,,,0.78,1.11,,1,,,,B,50,,,plus minus,,145,179,,,,,,,140,180,,,,,,OS,,175,195,,28,,,,,,,,,,,,grant,27/06/2016
207,Fregataminor,,1.1,1.89,,,0.9,1.35,,1,,,,B,56,51,60,,,160,169,,,,,,,158,428,,(3-7),3,7,,OS,198,,,,35,,,,,,,,,,,,grant,27/06/2016
208,Fregatamagnificens,1.67,,,,1.28,,,,1,,,,B,29,58,60,,165,,,,15,,,,150,,,,(5-7),5,7,,OS,229,,,,,,,,,,,,,,,,grant,27/06/2016
209,Fregataaquila,1.25,,,,1.25,,,,1,,,,B,,43,51,,180,,,?,,,,,,90,120,,,,,,OS,,196,201,,,,,,,,,,,,,,grant,27/06/2016
210,Fregataandrewsi,1.55,,,,1.4,,,,1,,,,B,,46,54,,177,,,,,,,,,120,200,,,,,,"NS,OS",,205,230,,,,,,,,,,,,,,grant,27/06/2016
211,Cursoriuscoromandelicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
212,Cursoriuscursor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
213,Cursoriusrufus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
214,Cursoriussomalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
215,Cursoriustemminckii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
216,Glareolacinerea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
217,Glareolalactea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
218,Glareolamaldivarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
219,Glareolanordmanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
220,Glareolanuchalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
221,Glareolaocularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
222,Glareolapratincola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
223,Rhinoptilusbitorquatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
224,Rhinoptiluschalcopterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
225,Rhinoptiluscinctus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
226,Smutsornisafricanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
227,Stiltiaisabella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
228,Haematopusater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
229,Haematopuschathamensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
230,Haematopusfuliginosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
231,Haematopusleucopodus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
232,Haematopuslongirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
233,Haematopusmeadewaldoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
234,Haematopusmoquini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
235,Haematopusostralegus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
236,Haematopuspalliatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
237,Haematopusunicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
238,Hydrobatesleucorhous,,0.04,0.05,,,0.04,0.05,,1,,,,,43.3,37,50,,,56,79,,1.6,,,,0,,,,(3-6),3,6,,OS,,45,48,,36,,,,,79,93,,,,,,grant,27/06/2016
239,Hydrobateshomochroa,0.039,,,,0.039,,,,1,,,,,44.8,42,59,,84.4,72,119,,,,,,0,,,,,,,,"NS,OS",,,,,8,,,,,,,,,,,,grant,27/06/2016
240,Hydrobatesfurcatus,0.06,,,,0.06,,,,1,,,,,40,,,,58,,,,1.5,,,,,,,,,,,,OS,,,,,17,,,,,,,,,,,,grant,27/06/2016
241,Hydrobatesmicrosoma,0.02,,,,0.02,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,grant,27/06/2016
242,Hydrobatesmatsudairae,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,grant,27/06/2016
243,Hydrobatestristrami,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,OS,56,,,,,,,,,,,,,,,,grant,27/06/2016
244,Hydrobatescastro,,,,,,,,,1,,,,,42,,,,,64,78,,,,,,,,,,,,,,,,44,46,,,,,,,,,,,,,,grant,27/06/2016
245,Hydrobatesmonorhis,,0.038,0.04,,,0.038,0.04,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,44,46,,,,,,,,,,,,,,grant,27/06/2016
246,Hydrobatesmelania,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,46,51,,,,,,,,,,,,,,grant,27/06/2016
247,Hydrobatespelagicus,0.03,,,,0.03,,,,1,,,,,41,,,,66,,,,0.8,,,,0,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
248,Hydrobatestethys,,,,,,,,,1,,,,,,,,,76,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
249,Hydrobateshornbyi,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
250,Hydrobatesmarkhami,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
251,Hydrobatesmacrodactylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
252,Hydrobatesmonteiroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
253,Ibidorhynchastruthersii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
254,Actophilornisafricanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
255,Actophilornisalbinucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
256,Hydrophasianuschirurgus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
257,Irediparragallinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
258,Jacanajacana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
259,Jacanaspinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
260,Metopidiusindicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
261,Microparracapensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
262,Thalasseussandvicensis,,0.14,0.3,,,0.14,0.3,,1,1,2,,,24,23,29,,28,27,29,,9.8,,,,,30,120,,4,3,4,,NS,,86,105,,23.5,,,,75,,,,,,,,grant,27/06/2016
263,Anousminutus,,0.098,0.144,,,0.098,0.144,,1,,,,D,34,31,39,,,48,60,,,,,,,30,60,,3,2,4,,NS+,,66,72,,25,,,,75,,,,,,,,grant,27/06/2016
264,Larusdominicanus,0.83,,,,1.05,,,,2.4,,,,,28,,,,61,,,,,,,,,41,54,,4,,,,NS,,152,169,,,,,,81,,,,,,,,grant,27/06/2016
265,Larusoccidentalis,1.01,0.08,1.12,,1.01,0.8,1.2,,3,1,3,,,,30,32,,47.5,45,50,,,,,,,30,90,,(4-6),4,6,,NS,,132,144,,28,,,,90,,,,,,,,grant,27/06/2016
266,Sternaparadisaea,0.11,0.08,0.127,,0.11,0.08,0.127,,1.8,1,2,,,23,22,27,,,20,24,,7,,,,7,,,+,3,,,+,NS,,76,85,,34,,,,90,,,,,,,,grant,27/06/2016
267,Larusargentatus,1.044,,,,1.226,,,,3,1,3,,,,30,32,,47.5,45,50,,33,,,,45,,,+,(4-5),4,5,,NS,,135,149,,32,,,,91,,,,,,,,grant,27/06/2016
268,Creagrusfurcatus,,0.55,0.74,,,0.63,0.78,,1,,,,,32,29,38,,,60,70,,46,,,,30,,,+,5,2,6,,OS,,,,,,,,,97,,,,,,,,grant,27/06/2016
269,Sternadougallii,0.11,0.088,0.139,,0.11,0.088,0.139,,2,1,4,,,23.3,21,24,,26,22,30,,7,,,,,7,14,,3,2,4,,NS,,72,80,,25,,,,,74,91,,,,,,grant,27/06/2016
270,Onychoprionanaethetus,0.131,0.093,0.167,,0.131,0.093,0.167,,1,,,,,29,26,33,,60,55,65,,,,,,,20,44,,4,2,5,,"NS,OS",,76,81,,18,,,,,78,83,,,,,,grant,27/06/2016
271,Laruscalifornicus,0.556,,,,0.657,,,,2,2,4,,,35,23,27,,48,42,60,,,,,,,,,yes,(3-4),3,4,,NS,,121,140,,25,,,,,79,92,,,,,,grant,27/06/2016
272,Sternulaantillarum,,0.036,0.057,,,0.036,0.057,,2,2,3,,,22,19,25,,20,17,21,,,,,,,26,56,,3 (2),,,,NS,51,,,,24,,,,,80,93,,,,,,grant,27/06/2016
273,Sternahirundo,0.13,0.097,0.146,,0.13,0.097,0.146,,2.4,1,4,,,24,22,28,,26,,,,8,,,,21,,,+,3.2,2,4,,NS,,72,83,,25,,,,,81,89,,,,,,grant,27/06/2016
274,Larusglaucescens,0.946,,,,1.18,,,,2,1,4,,,,25,28,,,40,53,,,,,,21,,,,5.4,4,7,,NS,,132,146,,24,,,,,83,87,,,,,,grant,27/06/2016
275,Hydroprognecaspia,0.662,,,,0.649,,,,2,1,3,,,27,25,28,,40,35,45,,,,,,90,,,+,3,2,4,,NS,,127,146,,30,,,,,87,91,,,,,,grant,27/06/2016
276,Rissatridactyla,0.4,0.3,0.5,,0.4,0.3,0.5,,2,1,3,,,26.2,25,28,,41.5,34,58,,20,,,,,,,yes,(3-5),3,5,,NS,104,,,,18,,,,,88,93,,,,,,grant,27/06/2016
277,Laruspipixcan,,0.26,0.28,,,0.26,0.28,,3,2,4,,,24.5,23,26,,,35,40,,,,,,7,,,+,(2-3),2,3,,NS,,85,106,,10,,,,,,,,,,,,grant,27/06/2016
278,Gelochelidonnilotica,,0.15,0.29,,,0.15,0.29,,3,1,5,,,22.5,22,23,,31.5,28,35,,,,,,60,,,,5,,,,ns,,85,103,,15.8,,,,,,,,,,,,grant,27/06/2016
279,Chlidoniasniger,0.063,,,,0.064,,,,2.6,1,4,,,20.5,19,23,,22,20,25,,,,,,40,,,,2,2,3,,NS,,57,65,,17,,,,,,,,,,,,grant,27/06/2016
280,Onychoprionfuscatus,0.18,0.14,0.24,,0.18,0.14,0.24,,1,,,,,29,26,33,,60,,,c,,,,,17,,,+,3,3,7,,NS,,57,65,,17,,,,,,,,,,,,grant,27/06/2016
281,Rissabrevirostris,0.38,,,,0.4,,,,1,1,2,,,,25,32,,,37,45,,,,,,,,,yes,,,,,OS,90,,,,19,,,,,,,,,,,,grant,27/06/2016
282,Larusatricilla,0.289,,,,0.327,,,,2.8,2,3,,,24.5,35,50,,42.5,35,50,,,,,,,14,30,,(3-4),3,4,,NS,,102,107,,19,,,,,,,,,,,,grant,27/06/2016
283,Pagophilaeburnea,,0.448,0.687,,,0.448,0.687,,1,1,2,,,,24,26,,,30,35,,,,,,,,,yes,(2-3),2,3,,NS,,108,120,,19,,,,,,,,,,,,grant,27/06/2016
284,Rynchopsniger,0.25,0.23,0.29,,0.35,0.3,0.37,,4,1,6,,,22.9,21,26,,29,28,30,,,,,,14,,,+,3,,,,NS,,107,127,,20,,,,,,,,,,,,grant,27/06/2016
285,Sternastriata,,,,,,,,,,1,2,,,,,,,,29,35,,,,,,,90,180,,2,,,,,,,,,20,,,,,,,,,,,,grant,27/06/2016
286,Sternulaalbifrons,,0.05,0.06,,,0.05,0.06,,,2,3,,,,21,24,,,20,24,,,,,,,,,,3 (2),,,,,,47,55,,21,,,,,,,,,,,,grant,27/06/2016
287,Thalasseusmaximus,,0.32,0.5,,,0.32,0.5,,1,,,,,,25,31,,30,,,,,,,,200,,,+,(3-4),3,4,,NS,,100,135,,24,,,,,,,,,,,,grant,27/06/2016
288,Laruscanus,,0.29,0.55,,,0.29,0.55,,3,1,3,,,,24,26,,,30,35,,,,,,,,,brief,3 (2),,,,,,394,586,,24,,,,,,,,,,,,grant,27/06/2016
289,Larusfuscus,0.83,0.55,1.2,,0.83,0.55,1.2,,2.7,1,3,,,,24,28,,,30,40,,,,,,,,,yes,,,,,,,124,127,,26,,,,,,,,,,,,grant,27/06/2016
290,Onychoprionlunatus,,0.09,0.14,,,0.099,0.165,,1,,,,,30,29,32,,,38,49,,,,,,,,,yes,(4-5),4,5,,NS+,,73,76,,26,,,,,,,,,,,,grant,27/06/2016
291,Larusmarinus,1.488,,,,1.829,,,,2.8,2,3,,,,26,32,,,45,55,,,,,,,20,40,,(4-5),4,5,,"NS,OS",169,,,,27,,,,,,,,,,,,grant,27/06/2016
292,Anousstolidus,0.167,,,,0.178,,,,1,,,,D,34.5,33,36,,45,40,56,,6,,,,,30,100,,3,3,7,,NS+,,75,86,,27,,,,,,,,,,,,grant,27/06/2016
293,Larusdelawarensis,0.471,,,,0.566,,,,3,2,4,,,25.5,23,29,,,35,40,,24,,,,,,,no?,3,3,4,,NS,,121,127,,32,,,,,,,,,,,,grant,27/06/2016
294,Larusridibundus,,0.19,0.32,,,0.19,0.32,,2.6,1,3,,,,22,26,,35,,,,,,,,,,,,(2-3),2,3,,NS,,94,110,,32,,,,,,,,,,,,grant,27/06/2016
295,Gygisalba,,0.08,0.16,,,0.08,0.16,,1,,,,D,35.6,33,41,,18.6,31,67,,,,,,,35,60,,"5, 3+",,,,"NS,Os",73,,,,37,,,,,,,,,,,,grant,27/06/2016
296,Sternulabalaenarum,0.046,,,,0.046,,,,1,,,,,,18,22,,20,,,,,,,,75,,,,,,,,,51,,,,,,,,,,,,,,,,grant,27/06/2016
297,Larusbelcheri,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,grant,27/06/2016
298,Larusarmenicus,,0.95,1.05,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,grant,27/06/2016
299,Laruscirrocephalus,,0.25,0.33,,,0.25,0.33,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,100,105,,,,,,,,,,,,,,grant,27/06/2016
300,Thalasseusbergii,,0.32,0.4,,,0.32,0.4,,,1,2,,,,25,30,,,35,41,,,,,,80,,,+,,,,,NS,,100,130,,,,,,,,,,,,,,grant,27/06/2016
301,Larusgenei,,0.22,0.35,,,0.22,0.35,,,2,3,,,22,,,,,30,37,,,,,,,,,,(2-3),2,3,,,,102,110,,,,,,,,,,,,,,grant,27/06/2016
302,Rynchopsalbicollis,,,,,,,,,3,2,4,,,21,,,c,,,,,,,,,,,,,,,,,,,102,114,,,,,,,,,,,,,,grant,27/06/2016
303,Larusleucophthalmus,,0.27,0.41,,,0.27,0.41,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,110,115,,,,,,,,,,,,,,grant,27/06/2016
304,Larusheermanni,,0.37,0.64,,,0.37,0.64,,,1,2,,,,,,,45,,,,,,,,,,,,4,,,,,,117,124,,,,,,,,,,,,,,grant,27/06/2016
305,Larusglaucoides,,0.56,0.86,,,0.56,0.86,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,125,130,,,,,,,,,,,,,,grant,27/06/2016
306,Laruscrassirostris,,0.43,0.64,,,0.43,0.64,,,2,3,,,,24,25,,,35,40,,,,,,,,,,,,,,,,126,128,,,,,,,,,,,,,,grant,27/06/2016
307,Larusatlanticus,,0.9,0.96,,,0.9,0.96,,,2,3,,,,,,,,,,,,,,,,,,yes,,,,,,,130,140,,,,,,,,,,,,,,grant,27/06/2016
308,Larusschistisagus,,1.05,1.69,,,1.05,1.69,,3,1,4,,,,28,30,,,40,45,,,,,,,,,,,,,,,,132,148,,,,,,,,,,,,,,grant,27/06/2016
309,Laruspacificus,,0.9,1.18,,,0.9,1.18,,3,,,,,,23,26,,,,,,,,,,,,,,,,,,,,137,157,,,,,,,,,,,,,,grant,27/06/2016
310,Laruscachinnans,,0.8,1.5,,,0.8,1.5,,2.7,1,3,,,,26,29,,,42,49,,,,,,,,,,,,,,,,140,155,,,,,,,,,,,,,,grant,27/06/2016
311,Larushyperboreus,,1.07,1.82,,,1.07,1.82,,,2,3,,,,26,30,,49,,,,,,,,26,,,+,,,,,,,142,152,,,,,,,,,,,,,,grant,27/06/2016
312,Laruslivens,1.32,1.1,1.4,,1.32,1.1,1.4,,2.7,1,4,,,28,24,30,,37,30,45,,,,,,,30,90,,(4-5),4,5,,NS,,142,155,,,,,,,,,,,,,,grant,27/06/2016
313,Larusichthyaetus,,0.9,2,,,0.9,2,,2.9,1,3,,,25,,,,,,,,,,,,40,,,,(4-5),4,5,,,,155,170,,,,,,,,,,,,,,grant,27/06/2016
314,Sternulanereis,0.057,,,,0.057,,,,1.7,1,2,,,,20,25,,,,,,,,,,,,,,,,,,,,45,51,,,,,,,,,,,,,,grant,27/06/2016
315,Procelsternacerulea,0.045,0.041,0.069,,0.045,0.041,0.069,,1,,,,,,,,,,,,,,,,,,,,,1,,,?,,,46,60,,,,,,,,,,,,,,grant,27/06/2016
316,Procelsternaalbivitta,,,,,,,,,1,,,,,,,,,,32,45,,,,,,,,,,,,,,,,46,60,,,,,,,,,,,,,,grant,27/06/2016
317,Sternulasaundersi,,0.04,0.05,,,0.04,0.05,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,50,55,,,,,,,,,,,,,,grant,27/06/2016
318,Chlidoniasalbostriatus,,0.097,0.12,,,0.097,0.12,,1,,,,,35,,,c,55,,,c,,,,,,,,,,,,,,,58,63,,,,,,,,,,,,,,grant,27/06/2016
319,Chlidoniasleucopterus,0.066,0.042,0.079,,0.066,0.042,0.079,,2.8,2,3,,,,18,22,,,20,25,,,,,,,,,,2,,,,,,58,67,,,,,,,,,,,,,,grant,27/06/2016
320,Chlidoniashybrida,,0.06,0.101,,,0.06,0.101,,,2,3,,,,18,20,,23,,,,,,,,,,,yes,,,,,,,64,70,,,,,,,,,,,,,,grant,27/06/2016
321,Sternaforsteri,,0.13,0.19,,,0.13,0.19,,2.8,2,3,,,,23,26,,,,,,,,,,,,,,,,,,,,73,82,,,,,,,,,,,,,,grant,27/06/2016
322,Sternavittata,0.15,,,,0.15,,,,1,1,2,,,,23,25,,,27,32,,,,,,,,,,,,,,,,74,79,,,,,,,,,,,,,,grant,27/06/2016
323,Onychoprionaleuticus,0.12,0.08,0.14,,0.12,0.08,0.14,,2,1,3,,,22.5,20,27,,28,25,31,,,,,,14,,,+,3,,,+,NS+,,75,80,,,,,,,,,,,,,,grant,27/06/2016
324,Sternatrudeaui,,0.15,0.16,,,0.15,0.16,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,76,70,,,,,,,,,,,,,,grant,27/06/2016
325,Thalasseuselegans,0.26,0.2,0.33,,0.26,0.2,0.33,,1,,,,,26,23,33,,35,,,,,,,,120,,,,3,,,,"NS,OS",,76,81,,,,,,,,,,,,,,grant,27/06/2016
326,Sternarepressa,,0.113,0.142,,,0.113,0.142,,,2,3,,,,,,,,,,,,,,,,,,yes,,,,,,,78,83,,,,,,,,,,,,,,grant,27/06/2016
