Order,Family,Genus,Species,Synonyms,Common_names
CHARADRIIFORMES,LARIDAE,Larus,hemprichii,,"Sooty Gull, Hemprich's Gull"
CHARADRIIFORMES,LARIDAE,Larus,hyperboreus,,Glaucous Gull
CHARADRIIFORMES,LARIDAE,Larus,ichthyaetus,,"Pallas's Gull, Great Black-headed Gull"
CHARADRIIFORMES,LARIDAE,Larus,leucophthalmus,,White-eyed Gull
CHARADRIIFORMES,LARIDAE,Larus,livens,,Yellow-footed Gull
CHARADRIIFORMES,LARIDAE,Larus,maculipennis,,Brown-hooded Gull
CHARADRIIFORMES,LARIDAE,Larus,marinus,,"Great Black-backed Gull, Greater Black-backed Gull"
CHARADRIIFORMES,LARIDAE,Larus,melanocephalus,,Mediterranean Gull
CHARADRIIFORMES,LARIDAE,Larus,michahellis,,Yellow-legged Gull
CHARADRIIFORMES,LARIDAE,Larus,modestus,,"Grey Gull, Gray Gull"
CHARADRIIFORMES,LARIDAE,Larus,novaehollandiae,Larus scopulinus,Silver Gull
CHARADRIIFORMES,LARIDAE,Larus,occidentalis,,Western Gull
CHARADRIIFORMES,LARIDAE,Larus,pacificus,,Pacific Gull
CHARADRIIFORMES,LARIDAE,Larus,philadelphia,,Bonaparte's Gull
CHARADRIIFORMES,LARIDAE,Larus,pipixcan,Leucophaeus pipixcan pipixcan,Franklin's Gull
CHARADRIIFORMES,LARIDAE,Larus,relictus,,Relict Gull
CHARADRIIFORMES,LARIDAE,Larus,ridibundus,Chroicocephalus ridibundus ridibundus,"Black-headed Gull, Common Black-headed Gull"
CHARADRIIFORMES,LARIDAE,Larus,schistisagus,,Slaty-backed Gull
CHARADRIIFORMES,LARIDAE,Larus,scoresbii,Gabianus scoresbii|Larus scoresbii|Larus scoresbii|Leucophaeus scoresbii,Dolphin Gull
CHARADRIIFORMES,LARIDAE,Larus,serranus,,Andean Gull
CHARADRIIFORMES,LARIDAE,Larus,smithsonianus,,"Arctic Herring Gull, American Herring Gull"
CHARADRIIFORMES,LARIDAE,Larus,thayeri,,Thayer's Gull
CHARADRIIFORMES,LARIDAE,Onychoprion,aleuticus,Onychoprion aleuticus|Sterna aleutica,Aleutian Tern
CHARADRIIFORMES,LARIDAE,Onychoprion,anaethetus,Onychoprion anaethetus|Onychoprion anaethetus subspecies anaethetus|Sterna anaethetus,Bridled Tern
CHARADRIIFORMES,LARIDAE,Onychoprion,fuscatus,Onychoprion fuscata subspecies fuscata|Onychoprion fuscatus|Sterna fuscata,Sooty Tern
CHARADRIIFORMES,LARIDAE,Onychoprion,lunatus,Onychoprion lunatus|Sterna lunata,"Grey-backed Tern, Gray-backed Tern, Spectacled Tern"
CHARADRIIFORMES,LARIDAE,Pagophila,eburnea,,Ivory Gull
CHARADRIIFORMES,LARIDAE,Phaetusa,simplex,,Large-billed Tern
CHARADRIIFORMES,LARIDAE,Procelsterna,albivitta,,"Grey Noddy, Gray Noddy"
CHARADRIIFORMES,LARIDAE,Procelsterna,cerulea,,Blue Noddy
CHARADRIIFORMES,LARIDAE,Rhodostethia,rosea,,Ross's Gull
CHARADRIIFORMES,LARIDAE,Rissa,brevirostris,,Red-legged Kittiwake
CHARADRIIFORMES,LARIDAE,Rissa,tridactyla,,"Black-legged Kittiwake, Kittiwake"
CHARADRIIFORMES,LARIDAE,Rynchops,albicollis,,Indian Skimmer
CHARADRIIFORMES,LARIDAE,Rynchops,flavirostris,,African Skimmer
