species_id,breeding_distribution,bd2
Pelecanus rufescens,STr,Tr
Pelecanus thagus,unknown,
Phaethon aethereus,STr,Tr
Phaethon lepturus,STr,Tr
Phaethon rubricauda,STr,Tr
Microcarbo africanus,STr,Tr
Microcarbo coronatus,Tm,
Microcarbo melanoleucos,Tm,STr
Microcarbo niger,STr,Tr
Microcarbo pygmaeus,Tm,STr
Phalacrocorax bransfieldensis,P,SP
Phalacrocorax georgianus,SP,
Phalacrocorax aristotelis,Tm,
Phalacrocorax atriceps,SP,
Phalacrocorax auritus,Tm,STr
Phalacrocorax bougainvilliorum,Tm,Str
Phalacrocorax brasilianus,STr,Tr
Phalacrocorax campbelli,Tm,
Phalacrocorax capensis,STr,
Phalacrocorax capillatus,STr,
Phalacrocorax carbo,Tm,STr
Phalacrocorax carunculatus,Tm,
Phalacrocorax chalconotus,Tm,
Phalacrocorax colensoi,Tm,
Phalacrocorax featherstoni,Tm,
Phalacrocorax fuscescens,Tm,
Phalacrocorax fuscicollis,STr,Tr
Phalacrocorax gaimardi,STr,Tr
Phalacrocorax harrisi,Tr,
Phalacrocorax magellanicus,Tm,
Phalacrocorax neglectus,Tm,STr
Phalacrocorax nigrogularis,STr,
Phalacrocorax onslowi,Tm,
Phalacrocorax pelagicus,Tm,
Phalacrocorax penicillatus,Tm,STr
Phalacrocorax perspicillatus,unknown,
Phalacrocorax punctatus,Tm,
Phalacrocorax ranfurlyi,Tm,
Phalacrocorax sulcirostris,Tm,STr
Phalacrocorax urile,Tm,
Phalacrocorax varius,Tm,
Phalacrocorax verrucosus,P,SP
Pluvianellus socialis,unknown,
Pluvianus aegyptius,unknown,
Aphrodroma brevirostris,Tm,SP
Ardenna bulleri,STr,
Ardenna carneipes,STr,
Ardenna creatopus,STr,
Ardenna gravis,Tm,STr
Ardenna grisea,Tm,
Ardenna pacifica,STr,Tr
Ardenna tenuirostris,STr,
Bulweria bifax,unknown,
Bulweria bulwerii,STr,Tr
Bulweria fallax,Tr,
Calonectris borealis,Tm,STr
Calonectris diomedea,Tm,STr
Calonectris edwardsii,STr,
