species_id,nest_locations,nl,
Thalassarche chrysostoma,O,,
Thalassarche eremita,unknown,,
Thalassarche impavida,unknown,,
Thalassarche melanophris,O,Sl,
Thalassarche salvini,unknown,,
Thalassarche steadi,unknown,,
Dromas ardeola,unknown,,
Fregata andrewsi,T,,
Fregata aquila,O,,
Fregata ariel,T,,
Fregata magnificens,T,,
Fregata minor,T,,
Cursorius coromandelicus,unknown,,
Cursorius cursor,unknown,,
Cursorius rufus,unknown,,
Cursorius somalensis,unknown,,
Cursorius temminckii,unknown,,
Glareola cinerea,unknown,,
Glareola lactea,unknown,,
Glareola maldivarum,unknown,,
Glareola nordmanni,unknown,,
Glareola nuchalis,unknown,,
Glareola ocularis,unknown,,
Glareola pratincola,unknown,,
Rhinoptilus bitorquatus,unknown,,
Rhinoptilus chalcopterus,unknown,,
Rhinoptilus cinctus,unknown,,
Smutsornis africanus,unknown,,
Stiltia isabella,unknown,,
Haematopus ater,unknown,,
Haematopus chathamensis,unknown,,
Haematopus fuliginosus,unknown,,
Haematopus leucopodus,unknown,,
Haematopus longirostris,unknown,,
Haematopus meadewaldoi,unknown,,
Haematopus moquini,unknown,,
Haematopus ostralegus,unknown,,
Haematopus palliatus,unknown,,
Haematopus unicolor,unknown,,
Hydrobates castro,Cr,Bu,
Hydrobates furcatus,Bu,Cr,
Hydrobates homochroa,Cr,,
Hydrobates hornbyi,unknown,,
Hydrobates leucorhous,Bu,Cr,
Hydrobates macrodactylus,unknown,,
Hydrobates markhami,unknown,,
Hydrobates matsudairae,Bu,,
Hydrobates melania,Bu, Cr,
Hydrobates microsoma,Cr,,
Hydrobates monorhis,Bu,,
Hydrobates monteiroi,Cr,Bu,
Hydrobates pelagicus,Cr,,
Hydrobates tethys,Cr,Un,
Hydrobates tristrami,Bu,Cr,
Ibidorhyncha struthersii,unknown,,
Actophilornis africanus,unknown,,
Actophilornis albinucha,unknown,,
Hydrophasianus chirurgus,unknown,,
Irediparra gallinacea,unknown,,
Jacana jacana,unknown,,
Jacana spinosa,unknown,,
Metopidius indicus,unknown,,
Microparra capensis,unknown,,
Anous minutus,O,Cr,T
Anous stolidus,T,O,
Anous tenuirostris,T,,
Chlidonias albostriatus,O,,
Chlidonias hybrida,F,,
Chlidonias leucopterus,unknown,,
Chlidonias niger,F,,
Creagrus furcatus,O,Cl,
Gelochelidon macrotarsa,unknown,,
Gelochelidon nilotica,O,,
Gygis alba,T,,
Gygis microrhyncha,unknown,,
Hydrocoloeus minutus,O,F,
Hydroprogne caspia,O,,
Larosterna inca,Cl,Cr,
Larus argentatus,Cl,O,
Larus armenicus,unknown,,
Larus atlanticus,O,,
Larus atricilla,O,F,
Larus audouinii,O,,
Larus belcheri,O,,
Larus brunnicephalus,unknown,,
Larus bulleri,unknown,,
Larus cachinnans,unknown,,
Larus californicus,O,,
Larus canus,O,,
Larus cirrocephalus,O,F,
Larus crassirostris,O,,
Larus delawarensis,O,,
Larus dominicanus,O,,
Larus fuliginosus,O,,
Larus fuscus,O,Cl,
Larus genei,O,,
Larus glaucescens,O,,
Larus glaucoides,Cl,O,
Larus hartlaubii,unknown,,
Larus heermanni,O,,
Larus hemprichii,O,,
Larus hyperboreus,O,,
Larus ichthyaetus,unknown,,
Larus leucophthalmus,O,,
Larus livens,O,,
Larus maculipennis,unknown,,
Larus marinus,O,,
Larus melanocephalus,O,,
Larus michahellis,unknown,,
Larus modestus,O,,
Larus novaehollandiae,unknown,,
Larus occidentalis,O,Sl,
Larus pacificus,O,,
Larus philadelphia,T,,
Larus pipixcan,F,,
Larus relictus,O,,
Larus ridibundus,O,F,
Larus schistisagus,unknown,,
Larus scopulinus,O,,
Larus scoresbii,O,,
Larus serranus,O,,
Larus smithsonianus,unknown,,
Larus thayeri,Cl,,
Onychoprion aleuticus,O,,
Onychoprion anaethetus,Cr,Un,O
Onychoprion fuscatus,O,,
Onychoprion lunatus,O,,
Pagophila eburnea,O,Cl,
Phaetusa simplex,O,,
Procelsterna albivitta,unknown,,
Procelsterna cerulea,Cl,S,Cr
Rhodostethia rosea,O,,
Rissa brevirostris,Cl,,
Rissa tridactyla,Cl,,
Rynchops albicollis,unknown,,
Rynchops flavirostris,unknown,,
Rynchops niger,O,,
Saundersilarus saundersi,O,,
Sterna acuticauda,O,,
Sterna aurantia,O,,
Sterna dougallii,O,,
Sterna forsteri,O,F,
Sterna hirundinacea,O,,
Sterna hirundo,O,,
Sterna paradisaea,O,,
Sterna repressa,O,,
Sterna striata,O,,
Sterna sumatrana,O,,
Sterna trudeaui,F,,
Sterna virgata,O,,
Sterna vittata,O,,
Sternula albifrons,O,,
Sternula antillarum,O,,
Sternula balaenarum,O,,
Sternula lorata,O,,
Sternula nereis,unknown,,
Sternula saundersi,unknown,,
Sternula superciliaris,O,,
Thalasseus bengalensis,unknown,,
Thalasseus bergii,unknown,,
Thalasseus bernsteini,unknown,,
Thalasseus elegans,O,,
Thalasseus maximus,unknown,,
Thalasseus sandvicensis acuflavida,O,,
