fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
263,CHARADRIIFORMES,LARIDAE,Anous,minutus,Anous minutus,Anousminutus,,Black Noddy,,,,,,LC,,2012,stable,"STr,Tr","O,Cr,T",SP
264,CHARADRIIFORMES,LARIDAE,Larus,dominicanus,Larus dominicanus,Larusdominicanus,,Kelp Gull, Southern Black-backed Gull,,,,,LC,,2012,increasing,P-Tm,O,SP
265,CHARADRIIFORMES,LARIDAE,Larus,occidentalis,Larus occidentalis,Larusoccidentalis,,Western Gull,,,,,,LC,,2012,increasing,"Tm,STr","O,SI",SP
266,CHARADRIIFORMES,LARIDAE,Sterna,paradisaea,Sterna paradisaea,Sternaparadisaea,,Arctic Tern,,,,,,LC,,2012,decreasing,"P,SP",O,SP
267,CHARADRIIFORMES,LARIDAE,Larus,argentatus,Larus argentatus,Larusargentatus,,European Herring Gull,,,,,,LC,,2014,decreasing,"SP,Tm","CI,O",SP
268,CHARADRIIFORMES,LARIDAE,Creagrus,furcatus,Creagrus furcatus,Creagrusfurcatus,,Swallow-tailed Gull,,,,,,LC,,2012,unknown,Tr,"O,CI",SP
269,CHARADRIIFORMES,LARIDAE,Sterna,dougallii,Sterna dougallii,Sternadougallii,,Roseate Tern,,,,,,LC,,2012,unknown,"Tm,Tr",O,SP
270,CHARADRIIFORMES,LARIDAE,Onychoprion,anaethetus,Onychoprion anaethetus,Onychoprionanaethetus,Onychoprion anaethetus|Onychoprion anaethetus subspecies anaethetus|Sterna anaethetus,Bridled Tern,,,,,,LC,,2012,unknown,"STr,Tr","CR,Un,O",SP
271,CHARADRIIFORMES,LARIDAE,Larus,californicus,Larus californicus,Laruscalifornicus,,California Gull,,,,,,LC,,2012,decreasing,Tm,O,SP
272,CHARADRIIFORMES,LARIDAE,Sternula,antillarum,Sternula antillarum,Sternulaantillarum,Sterna antillarum|Sternula antillarum,Least Tern,,,,,,LC,,2012,decreasing,Tm-Tr,O,SP
273,CHARADRIIFORMES,LARIDAE,Sterna,hirundo,Sterna hirundo,Sternahirundo,,Common Tern,,,,,,LC,,2012,decreasing,SP-Tm,O,SP
274,CHARADRIIFORMES,LARIDAE,Larus,glaucescens,Larus glaucescens,Larusglaucescens,,Glaucous-winged Gull,,,,,,LC,,2012,increasing,"SP,Tm",O,SP
275,CHARADRIIFORMES,LARIDAE,Hydroprogne,caspia,Hydroprogne caspia,Hydroprognecaspia,Hydroprogne caspia|Hydroprogne caspia|Hydroprogne caspia|Sterna caspia,Caspian Tern,,,,,,LC,,2012,increasing,"Tm,STr",O,SP
276,CHARADRIIFORMES,LARIDAE,Rissa,tridactyla,Rissa tridactyla,Rissatridactyla,,Black-legged Kittiwake, Kittiwake,,,,,LC,,2012,decreasing,"SP,Tm",CI,SP
277,CHARADRIIFORMES,LARIDAE,Larus,pipixcan,Larus pipixcan,Laruspipixcan,Leucophaeus pipixcan pipixcan,Franklin's Gull,,,,,,LC,,2012,increasing,Tm,F,SP
278,CHARADRIIFORMES,LARIDAE,Gelochelidon,nilotica,Gelochelidon nilotica,Gelochelidonnilotica,,Common Gull-billed Tern,,,,,,LC,,2014,decreasing,Tm-Tr,O,P
279,CHARADRIIFORMES,LARIDAE,Chlidonias,niger,Chlidonias niger,Chlidoniasniger,,Black Tern,,,,,,LC,,2012,decreasing,Tm,F,SP
280,CHARADRIIFORMES,LARIDAE,Onychoprion,fuscatus,Onychoprion fuscatus,Onychoprionfuscatus,Onychoprion fuscata subspecies fuscata|Onychoprion fuscatus|Sterna fuscata,Sooty Tern,,,,,,LC,,2012,unknown,Tr,O,SP
281,CHARADRIIFORMES,LARIDAE,Rissa,brevirostris,Rissa brevirostris,Rissabrevirostris,,Red-legged Kittiwake,,,,,,VU,A2ac+3c+4ac,2013,decreasing,"SP,Tm",CI,SP
282,CHARADRIIFORMES,LARIDAE,Larus,atricilla,Larus atricilla,Larusatricilla,Leucophaeus atricilla atricilla,Laughing Gull,,,,,,LC,,2012,increasing,Tm-Tr,"O,F",SP
283,CHARADRIIFORMES,LARIDAE,Pagophila,eburnea,Pagophila eburnea,Pagophilaeburnea,,Ivory Gull,,,,,,NT,,2012,decreasing,"P,SP","O,CI",SP
284,CHARADRIIFORMES,LARIDAE,Rynchops,niger,Rynchops niger,Rynchopsniger,Rhynchops niger niger,Black Skimmer,,,,,,LC,,2012,decreasing,Tr,O,SP
285,CHARADRIIFORMES,LARIDAE,Sterna,striata,Sterna striata,Sternastriata,,White-fronted Tern,,,,,,LC,,2013,decreasing,STr,O,SP
286,CHARADRIIFORMES,LARIDAE,Sternula,albifrons,Sternula albifrons,Sternulaalbifrons,Sterna albifrons|Sternula albifrons|Sternula albifrons,Little Tern,,,,,,LC,,2012,decreasing,Tm-Tr,O,SP
287,CHARADRIIFORMES,LARIDAE,Thalasseus,maximus,Thalasseus maximus,Thalasseusmaximus,Sterna maxima|Thalasseus maximus|Thalasseus maximus,Royal Tern,,,,,,LC,,2012,stable,"Tm,STr",,SP
288,CHARADRIIFORMES,LARIDAE,Larus,canus,Larus canus,Laruscanus,,Mew Gull, Common Gull,,,,,LC,,2012,unknown,"SP,Tm",O,SP
289,CHARADRIIFORMES,LARIDAE,Larus,fuscus,Larus fuscus,Larusfuscus,,Lesser Black-backed Gull,,,,,,LC,,2012,increasing,"SP,Tm","O,CI",SP
290,CHARADRIIFORMES,LARIDAE,Onychoprion,lunatus,Onychoprion lunatus,Onychoprionlunatus,Onychoprion lunatus|Sterna lunata,Grey-backed Tern, Gray-backed Tern, Spectacled Tern,,,,LC,,2012,unknown,"STr,Tr",O,SP
291,CHARADRIIFORMES,LARIDAE,Larus,marinus,Larus marinus,Larusmarinus,,Great Black-backed Gull, Greater Black-backed Gull,,,,,LC,,2012,increasing,"SP,Tm",O,SP
292,CHARADRIIFORMES,LARIDAE,Anous,stolidus,Anous stolidus,Anousstolidus,,Brown Noddy, Common Noddy,,,,,LC,,2012,stable,Tr,"T,O",SP
293,CHARADRIIFORMES,LARIDAE,Larus,delawarensis,Larus delawarensis,Larusdelawarensis,,Ring-billed Gull,,,,,,LC,,2012,increasing,Tm,O,SP
294,CHARADRIIFORMES,LARIDAE,Larus,ridibundus,Larus ridibundus,Larusridibundus,Chroicocephalus ridibundus ridibundus,Black-headed Gull, Common Black-headed Gull,,,,,LC,,2012,decreasing,"SP,Tm","O,F",SP
295,CHARADRIIFORMES,LARIDAE,Gygis,alba,Gygis alba,Gygisalba,,Common White Tern, Fairy Tern, Common White-Tern, Angel Tern, White Tem, White Tern,LC,,2012,stable,"STr,Tr",T,SP
296,CHARADRIIFORMES,LARIDAE,Sternula,balaenarum,Sternula balaenarum,Sternulabalaenarum,Sterna balaenarum,Damara Tern,,,,,,NT,,2012,stable,"STr,Tr",O,SP
297,CHARADRIIFORMES,LARIDAE,Larus,belcheri,Larus belcheri,Larusbelcheri,,Belcher's Gull, Belcher's Gull,,,,,LC,,2012,increasing,"STr,Tr",O,SP
298,CHARADRIIFORMES,LARIDAE,Larus,armenicus,Larus armenicus,Larusarmenicus,,Armenian Gull,,,,,,LC,,2014,unknown,,,SP
299,CHARADRIIFORMES,LARIDAE,Larus,cirrocephalus,Larus cirrocephalus,Laruscirrocephalus,,Grey-headed Gull, Grey-hooded Gull, Gray-hooded Gull,,,,LC,,2012,stable,"STr,Tr","O,F",SP
300,CHARADRIIFORMES,LARIDAE,Thalasseus,bergii,Thalasseus bergii,Thalasseusbergii,Sterna bergii|Thalasseus bergii|Thalasseus bergii,Greater Crested Tern, Crested Tern, Greater Crested Tern, Great Crested-Tern, Swift Tern,,LC,,2012,stable,"STr,Tr",,SP
301,CHARADRIIFORMES,LARIDAE,Larus,genei,Larus genei,Larusgenei,,Slender-billed Gull,,,,,,LC,,2012,increasing,Tm-Tr,O,SP
302,CHARADRIIFORMES,LARIDAE,Rynchops,albicollis,Rynchops albicollis,Rynchopsalbicollis,,Indian Skimmer,,,,,,VU,A2cde+3cde+4cde,2013,decreasing,Tr,,
303,CHARADRIIFORMES,LARIDAE,Larus,leucophthalmus,Larus leucophthalmus,Larusleucophthalmus,,White-eyed Gull,,,,,,NT,,2012,stable,Tr,O,SP
304,CHARADRIIFORMES,LARIDAE,Larus,heermanni,Larus heermanni,Larusheermanni,,Heermann's Gull,,,,,,NT,,2012,increasing,STr,O,SP
305,CHARADRIIFORMES,LARIDAE,Larus,glaucoides,Larus glaucoides,Larusglaucoides,,Iceland Gull,,,,,,LC,,2012,stable,"SP,Tm","CI,O",SP
306,CHARADRIIFORMES,LARIDAE,Larus,crassirostris,Larus crassirostris,Laruscrassirostris,,Black-tailed Gull,,,,,,LC,,2012,stable,"Tm,STr",O,SP
307,CHARADRIIFORMES,LARIDAE,Larus,atlanticus,Larus atlanticus,Larusatlanticus,,Olrog's Gull,,,,,,NT,,2013,stable,,O,SP
308,CHARADRIIFORMES,LARIDAE,Larus,schistisagus,Larus schistisagus,Larusschistisagus,,Slaty-backed Gull,,,,,,LC,,2012,unknown,Tm,,SP
309,CHARADRIIFORMES,LARIDAE,Larus,pacificus,Larus pacificus,Laruspacificus,,Pacific Gull,,,,,,LC,,2012,stable,"Tm,STr",O,SP
310,CHARADRIIFORMES,LARIDAE,Larus,cachinnans,Larus cachinnans,Laruscachinnans,,Caspian Gull,,,,,,LC,,2014,stable,,,SP
311,CHARADRIIFORMES,LARIDAE,Larus,hyperboreus,Larus hyperboreus,Larushyperboreus,,Glaucous Gull,,,,,,LC,,2012,stable,,O,SP
312,CHARADRIIFORMES,LARIDAE,Larus,livens,Larus livens,Laruslivens,,Yellow-footed Gull,,,,,,LC,,2012,stable,STr,O,SP
313,CHARADRIIFORMES,LARIDAE,Larus,ichthyaetus,Larus ichthyaetus,Larusichthyaetus,,Pallas's Gull, Great Black-headed Gull,,,,,LC,,2012,decreasing,Tm,,SP
314,CHARADRIIFORMES,LARIDAE,Sternula,nereis,Sternula nereis,Sternulanereis,Sterna nereis|Sternula nereis subspecies nereis,Fairy Tern,,,,,,VU,C1,2012,decreasing,"STr,Tr",,SP
315,CHARADRIIFORMES,LARIDAE,Procelsterna,cerulea,Procelsterna cerulea,Procelsternacerulea,,Blue Noddy,,,,,,LC,,2014,stable,,"CI,S,Cr",SP
316,CHARADRIIFORMES,LARIDAE,Procelsterna,albivitta,Procelsterna albivitta,Procelsternaalbivitta,,Grey Noddy, Gray Noddy,,,,,LC,,2014,stable,"STr,Tr",,SP
317,CHARADRIIFORMES,LARIDAE,Sternula,saundersi,Sternula saundersi,Sternulasaundersi,Sterna saundersi,Saunders's Tern, Saunders' Little Tern,,,,,LC,,2012,decreasing,,,SP
318,CHARADRIIFORMES,LARIDAE,Chlidonias,albostriatus,Chlidonias albostriatus,Chlidoniasalbostriatus,Chlidonias albostriatus|Chlidonias albostriatus|Chlidonias albostriatus|Sterna albostriata,Black-fronted Tern,,,,,,EN,A2bce+3bce+4bce,2012,decreasing,"STr,Tr",T,SP
319,CHARADRIIFORMES,LARIDAE,Chlidonias,leucopterus,Chlidonias leucopterus,Chlidoniasleucopterus,,White-winged Tern, White-winged Black Tern,,,,,LC,,2012,stable,Tm,,SP
320,CHARADRIIFORMES,LARIDAE,Chlidonias,hybrida,Chlidonias hybrida,Chlidoniashybrida,Chlidonias hybridus hybridus|Chlidonias hybridus hybridus|Chlidonias hybridus hybridus|Chlidonias hybridus hybridus,Whiskered Tern,,,,,,LC,,2012,stable,Tm-Tr,F,SP
321,CHARADRIIFORMES,LARIDAE,Sterna,forsteri,Sterna forsteri,Sternaforsteri,,Forster's Tern,,,,,,LC,,2012,increasing,"Tm,STr","O,F",SP
322,CHARADRIIFORMES,LARIDAE,Sterna,vittata,Sterna vittata,Sternavittata,,Antarctic Tern,,,,,,LC,,2013,unknown,"STr,P",O,SP
323,CHARADRIIFORMES,LARIDAE,Onychoprion,aleuticus,Onychoprion aleuticus,Onychoprionaleuticus,Onychoprion aleuticus|Sterna aleutica,Aleutian Tern,,,,,,LC,,2012,stable,SP,O,SP
324,CHARADRIIFORMES,LARIDAE,Sterna,trudeaui,Sterna trudeaui,Sternatrudeaui,,Snowy-crowned Tern,,,,,,LC,,2012,stable,"Tm,STr",F,SP
325,CHARADRIIFORMES,LARIDAE,Thalasseus,elegans,Thalasseus elegans,Thalasseuselegans,Sterna elegans|Thalasseus elegans|Thalasseus elegans,Elegant Tern,,,,,,NT,,2012,stable,STr,O,SP
326,CHARADRIIFORMES,LARIDAE,Sterna,repressa,Sterna repressa,Sternarepressa,,White-cheeked Tern,,,,,,LC,,2012,decreasing,Tr,0,SP
327,CHARADRIIFORMES,LARIDAE,Larus,philadelphia,Larus philadelphia,Larusphiladelphia,,Bonaparte's Gull,,,,,,LC,,2012,increasing,"SP,Tm",T,SP
328,CHARADRIIFORMES,LARIDAE,Sterna,aurantia,Sterna aurantia,Sternaaurantia,,River Tern,,,,,,NT,,2012,decreasing,,,SP
329,CHARADRIIFORMES,LARIDAE,Xema,sabini,Xema sabini,Xemasabini,Larus sabini |Larus sabini sabini|Larus sabini sabini|Larus sabini sabini,Sabine's Gull,,,,,,LC,,2012,stable,,,
330,CHARADRIIFORMES,LARIDAE,Sterna,hirundinacea,Sterna hirundinacea,Sternahirundinacea,,South American Tern,,,,,,LC,,2012,decreasing,Tm-Tr,O,SP
331,CHARADRIIFORMES,LARIDAE,Thalasseus,bengalensis,Thalasseus bengalensis,Thalasseusbengalensis,Sterna bengalensis|Thalasseus bengalensis,Lesser Crested Tern, Lesser Crested-Tern,,,,,LC,,2012,stable,"STr,Tr",,SP
332,CHARADRIIFORMES,LARIDAE,Larus,hartlaubii,Larus hartlaubii,Larushartlaubii,,Hartlaub's Gull, Hartlaub's Gull,,,,,LC,,2012,increasing,STr,,SP
333,CHARADRIIFORMES,LARIDAE,Rhodostethia,rosea,Rhodostethia rosea,Rhodostethiarosea,,Ross's Gull,,,,,,LC,,2012,unknown,,O,SP
334,CHARADRIIFORMES,LARIDAE,Larus,novaehollandiae,Larus novaehollandiae,Larusnovaehollandiae,Larus scopulinus,Silver Gull,,,,,,LC,,2014,increasing,"Tm,STr",,SP
335,CHARADRIIFORMES,LARIDAE,Larus,melanocephalus,Larus melanocephalus,Larusmelanocephalus,,Mediterranean Gull,,,,,,LC,,2012,stable,"Tm,STr",O,SP
336,CHARADRIIFORMES,LARIDAE,Rynchops,flavirostris,Rynchops flavirostris,Rynchopsflavirostris,,African Skimmer,,,,,,NT,,2012,decreasing,"STr,Tr",,SP
337,CHARADRIIFORMES,LARIDAE,Sterna,virgata,Sterna virgata,Sternavirgata,,Kerguelen Tern,,,,,,NT,,2012,stable,Tm,O,SP
338,CHARADRIIFORMES,LARIDAE,Larus,scoresbii,Larus scoresbii,Larusscoresbii,Gabianus scoresbii|Larus scoresbii|Larus scoresbii|Leucophaeus scoresbii,Dolphin Gull,,,,,,LC,,2012,stable,Tm,O,SP
339,CHARADRIIFORMES,LARIDAE,Larus,relictus,Larus relictus,Larusrelictus,,Relict Gull,,,,,,VU,D2,2012,decreasing,Tm,O,SP
340,CHARADRIIFORMES,LARIDAE,Hydrocoloeus,minutus,Hydrocoloeus minutus,Hydrocoloeusminutus,Larus minutus,Little Gull,,,,,,LC,,2012,increasing,"SP,Tm","O,F",SP
341,CHARADRIIFORMES,LARIDAE,Larus,fuliginosus,Larus fuliginosus,Larusfuliginosus,,Lava Gull,,,,,,VU,D1,2012,increasing,Tr,O,SP
342,CHARADRIIFORMES,LARIDAE,Larus,audouinii,Larus audouinii,Larusaudouinii,,Audouin's Gull,,,,,,NT,,2012,stable,"STr,Tr",O,SP
343,CHARADRIIFORMES,LARIDAE,Larosterna,inca,Larosterna inca,Larosternainca,,Inca Tern,,,,,,NT,,2012,decreasing,Tr,"CI,Cr",SP
344,CHARADRIIFORMES,LARIDAE,Phaetusa,simplex,Phaetusa simplex,Phaetusasimplex,,Large-billed Tern,,,,,,LC,,2012,stable,"STr,Tr",O,SP
345,CHARADRIIFORMES,LARIDAE,Sterna,sumatrana,Sterna sumatrana,Sternasumatrana,,Black-naped Tern,,,,,,LC,,2012,unknown,Tr,O,SP
346,CHARADRIIFORMES,LARIDAE,Larus,modestus,Larus modestus,Larusmodestus,,Grey Gull, Gray Gull,,,,,LC,,2012,decreasing,STr,O,SP
347,CHARADRIIFORMES,LARIDAE,Larus,hemprichii,Larus hemprichii,Larushemprichii,,Sooty Gull, Hemprich's Gull,,,,,LC,,2012,decreasing,Tr,O,SP
348,CHARADRIIFORMES,LARIDAE,Sternula,lorata,Sternula lorata,Sternulalorata,Sterna lorata,Peruvian Tern,,,,,,EN,C2a(i),2012,decreasing,Tr,O,SP
349,CHARADRIIFORMES,LARIDAE,Larus,brunnicephalus,Larus brunnicephalus,Larusbrunnicephalus,,Brown-headed Gull,,,,,,LC,,2013,stable,Tm,,SP
350,CHARADRIIFORMES,LARIDAE,Gygis,microrhyncha,Gygis microrhyncha,Gygismicrorhyncha,,Little White Tern, Little White-Tern,,,,,LC,,2012,stable,,,sp
351,CHARADRIIFORMES,LARIDAE,Larus,serranus,Larus serranus,Larusserranus,,Andean Gull,,,,,,LC,,2012,unknown,"STr,Tr",O,SP
352,CHARADRIIFORMES,LARIDAE,Sternula,superciliaris,Sternula superciliaris,Sternulasuperciliaris,Sterna superciliaris|Sternula superciliaris,Yellow-billed Tern,,,,,,LC,,2012,stable,"STr,Tr",O,SP
353,CHARADRIIFORMES,LARIDAE,Sterna,acuticauda,Sterna acuticauda,Sternaacuticauda,,Black-bellied Tern,,,,,,EN,A2cde+3cde+4cde,2012,decreasing,"STr,Tr",O,SP
354,CHARADRIIFORMES,LARIDAE,Saundersilarus,saundersi,Saundersilarus saundersi,Saundersilarussaundersi,Larus saundersi,Saunders's Gull, Chinese Black-headed Gull,,,,,VU,A3cde+4cde,2012,decreasing,O,,
355,CHARADRIIFORMES,LARIDAE,Anous,tenuirostris,Anous tenuirostris,Anoustenuirostris,,Lesser Noddy, Sooty Noddy,,,,,LC,,2012,stable,,,
356,CHARADRIIFORMES,LARIDAE,Larus,bulleri,Larus bulleri,Larusbulleri,,Black-billed Gull,,,,,,EN,A2ce+3ce+4ce,2012,decreasing,Tm,,SP
357,CHARADRIIFORMES,LARIDAE,Larus,maculipennis,Larus maculipennis,Larusmaculipennis,,Brown-hooded Gull,,,,,,LC,,2012,increasing,"SP,Tm",,SP
358,CHARADRIIFORMES,LARIDAE,Gelochelidon,macrotarsa,Gelochelidon macrotarsa,Gelochelidonmacrotarsa,,Australian Gull-billed Tern,,,,,,LC,,2014,unknown,,,
359,CHARADRIIFORMES,LARIDAE,Larus,michahellis,Larus michahellis,Larusmichahellis,,Yellow-legged Gull,,,,,,LC,,2014,increasing,,,
360,CHARADRIIFORMES,LARIDAE,Larus,smithsonianus,Larus smithsonianus,Larussmithsonianus,,Arctic Herring Gull, American Herring Gull,,,,,LC,,2014,decreasing,,,
361,CHARADRIIFORMES,LARIDAE,Larus,thayeri,Larus thayeri,Larusthayeri,,Thayer's Gull,,,,,,LC,,2012,increasing,,,
362,CHARADRIIFORMES,LARIDAE,Thalasseus,bernsteini,Thalasseus bernsteini,Thalasseusbernsteini,Sterna bernsteini,Chinese Crested Tern, Chinese Crested-Tern,,,,,CR,"C2a(i,ii); D",2013,decreasing,,,SP
363,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,oceanicus,Oceanites oceanicus,Oceanitesoceanicus,,Wilson's Storm-petrel, Wilson's Storm-Petrel, Wilson's Storm Petrel,,,,LC,,2012,stable,"P,SP","Bu,Cr",SP
364,PROCELLARIIFORMES,OCEANITIDAE,Garrodia,nereis,Garrodia nereis,Garrodianereis,Oceanites nereis nereis,Grey-backed Storm-petrel, Grey-backed Storm Petrel, Gray-backed Storm-Petrel, Grey-backed Storm-Petrel,,,LC,,2012,decreasing,Tm,Un,SP
365,PROCELLARIIFORMES,OCEANITIDAE,Pelagodroma,marina,Pelagodroma marina,Pelagodromamarina,,White-faced Storm-petrel, White-faced Storm-Petrel, White-faced Storm Petrel,,,,LC,,2012,decreasing,STr,Bu,SP
366,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,grallaria,Fregetta grallaria,Fregettagrallaria,,White-bellied Storm-petrel, White-bellied Storm-Petrel, White-bellied Storm Petrel,,,,LC,,2012,decreasing,STr,"Cr,Bu",SP
367,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,tropica,Fregetta tropica,Fregettatropica,,Black-bellied Storm-petrel, Black-bellied Storm-Petrel, Black-bellied Storm Petrel,,,,LC,,2012,decreasing,"SP,Tm",Cr,SP
368,PROCELLARIIFORMES,OCEANITIDAE,Nesofregetta,fuliginosa,Nesofregetta fuliginosa,Nesofregettafuliginosa,,Polynesian Storm-petrel, Polynesian Storm-Petrel, Polynesian Storm Petrel, White-throated Storm Petrel,,,EN,C2a(i),2012,decreasing,"STr,,Tr","Un,Cr",SP
369,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,gracilis,Oceanites gracilis,Oceanitesgracilis,,White-vented Storm-petrel, White-vented Storm Petrel, Elliot's Storm-Petrel, White-vented Storm-Petrel,,,DD,,2012,stable,"STr,Tr",,SP
370,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,maoriana,Fregetta maoriana,Fregettamaoriana,Oceanites maorianus,New Zealand Storm-petrel , New Zealand Storm Petrel,,,,,CR,D,2013,unknown,,,
371,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,pincoyae,Oceanites pincoyae,Oceanitespincoyae,,Pincoya Storm-petrel,,,,,,DD,,2014,unknown,,,
372,CHARADRIIFORMES,PEDIONOMIDAE,Pedionomus,torquatus,Pedionomus torquatus,Pedionomustorquatus,,Plains-wanderer,,,,,,EN,C2a(ii),2012,decreasing,,,
,,,,,,,,,,,,,,,,,,,,
373,PELECANIFORMES,PELECANIDAE,Pelecanus,occidentalis,Pelecanus occidentalis,Pelecanusoccidentalis,,Brown Pelican,,,,,,LC,,2012,increasing,"Tm,STr","O,T",A
374,PELECANIFORMES,PELECANIDAE,Pelecanus,erythrorhynchos,Pelecanus erythrorhynchos,Pelecanuserythrorhynchos,,American White Pelican,,,,,,LC,,2012,increasing,Tm,O,
375,PELECANIFORMES,PELECANIDAE,Pelecanus,conspicillatus,Pelecanus conspicillatus,Pelecanusconspicillatus,,Australian Pelican,,,,,,LC,,2012,stable,"Tm,STr",O,A
376,PELECANIFORMES,PELECANIDAE,Pelecanus,rufescens,Pelecanus rufescens,Pelecanusrufescens,,Pink-backed Pelican,,,,,,LC,,2012,stable,"STr,Tr","O,T",A
377,PELECANIFORMES,PELECANIDAE,Pelecanus,crispus,Pelecanus crispus,Pelecanuscrispus,,Dalmatian Pelican,,,,,,VU,A2ce+3ce+4ce,2012,decreasing,"Tm,STr",O,A
378,PELECANIFORMES,PELECANIDAE,Pelecanus,philippensis,Pelecanus philippensis,Pelecanusphilippensis,,Spot-billed Pelican, Grey Pelican,,,,,NT,,2012,decreasing,"STr,Tr",T,A
379,PELECANIFORMES,PELECANIDAE,Pelecanus,onocrotalus,Pelecanus onocrotalus,Pelecanusonocrotalus,,Great White Pelican, White Pelican,,,,,LC,,2012,unknown,Tm-Tr,O,A
380,PELECANIFORMES,PELECANIDAE,Pelecanus,thagus,Pelecanus thagus,Pelecanusthagus,,Peruvian Pelican,,,,,,NT,,2012,increasing,,,
381,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,lepturus,Phaethon lepturus,Phaethonlepturus,,White-tailed Tropicbird,,,,,,LC,,2012,decreasing,"STr,Tr","Un,Cr",SA
382,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,aethereus,Phaethon aethereus,Phaethonaethereus,,Red-billed Tropicbird,,,,,,LC,,2013,decreasing,"STr, Tr","Un,Cr",SA
383,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,rubricauda,Phaethon rubricauda,Phaethonrubricauda,,Red-tailed Tropicbird,,,,,,LC,,2013,stable,"STr,Tr","Un,Cr",SA
,,,,,,,,,,,,,,,,,,,,
384,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,penicillatus,Phalacrocorax penicillatus,Phalacrocoraxpenicillatus,,Brandt's Cormorant, Townsend's Cormorant, Pencilled Cormorant, Brown Cormorant, Tufted Cormorant,,LC,,2012,decreasing,"Tm,STr",O,A
385,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,harrisi,Phalacrocorax harrisi,Phalacrocoraxharrisi,Nannopterum harrisi harrisi|Nannopterum harrisi harrisi,Flightless Cormorant, Galapagos Cormorant,,,,,VU,D2,2013,stable,Tr,O,A
386,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,carbo,Phalacrocorax carbo,Phalacrocoraxcarbo,,Great Cormorant, Black Shag, Cormorant, White-breasted Cormorant,,,LC,,2012,increasing,"Tm,STr","O,T,CL",A
387,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,aristotelis,Phalacrocorax aristotelis,Phalacrocoraxaristotelis,,European Shag, Shag,,,,,LC,,2012,decreasing,Tm,"CI,O",A
388,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,brasilianus,Phalacrocorax brasilianus,Phalacrocoraxbrasilianus,,Neotropical Cormorant,,,,,,LC,,2012,increasing,"STr,Tr","T,O",A
389,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,pelagicus,Phalacrocorax pelagicus,Phalacrocoraxpelagicus,,Pelagic Cormorant, Resplendent cormorant, Baird's cormorant, Pelagic shag, Kenyon's Shag,,LC,,2012,decreasing,Tm,"O,Cr",A
390,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,auritus,Phalacrocorax auritus,Phalacrocoraxauritus,,Double-crested Cormorant,,,,,,LC,,2012,increasing,"Tm,STr","O,CI,T",A
391,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,gaimardi,Phalacrocorax gaimardi,Phalacrocoraxgaimardi,,Red-legged Cormorant,,,,,,NT,,2012,decreasing,"STr, Tr",CI,A
392,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,magellanicus,Phalacrocorax magellanicus,Phalacrocoraxmagellanicus,,Rock Shag, Magellan Cormorant,,,,,LC,,2012,unknown,Tm,CI,A
393,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,colensoi,Phalacrocorax colensoi,Phalacrocoraxcolensoi,Leucocarbo colensoi colensoi,Auckland Shag, Auckland Island Shag,,,,,VU,D2,2012,stable,Tm,"O,CI",A
394,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,campbelli,Phalacrocorax campbelli,Phalacrocoraxcampbelli,Leucocarbo campbelli campbelli,Campbell Shag,,,,,,VU,D2,2012,stable,Tm,"O,CI,Cr",A
395,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,capensis,Phalacrocorax capensis,Phalacrocoraxcapensis,,Cape Cormorant,,,,,,EN,A2bc+3bc+4bc,2013,decreasing,STr,"CI,O,T",A
396,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,verrucosus,Phalacrocorax verrucosus,Phalacrocoraxverrucosus,,Kerguelen Shag,,,,,,LC,,2014,unknown,"P,SP",CI,A
397,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,urile,Phalacrocorax urile,Phalacrocoraxurile,,Red-faced Cormorant,,,,,,LC,,2012,decreasing,Tm,"CI,SI",A
398,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,neglectus,Phalacrocorax neglectus,Phalacrocoraxneglectus,,Bank Cormorant,,,,,,EN,A2ace+3ce+4ace,2013,decreasing,,"O,CI",A
