fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
53,PELECANIFORMES,ARDEIDAE,Botaurus,poiciloptilus,Botaurus poiciloptilus,Botauruspoiciloptilus,,Australasian Bittern,,,,,,EN,C1,2014,decreasing,,,
54,PELECANIFORMES,ARDEIDAE,Botaurus,stellaris,Botaurus stellaris,Botaurusstellaris,,Eurasian Bittern, Eurasian Bittern, Common Bittern, Bittern,,,LC,,2012,decreasing,,,
55,PELECANIFORMES,ARDEIDAE,Bubulcus,ibis,Bubulcus ibis,Bubulcusibis,Ardea ibis ibis|Ardea ibis ibis|Ardeola ibis ibis,Cattle Egret,,,,,,LC,,2014,increasing,,,
56,PELECANIFORMES,ARDEIDAE,Butorides,striata,Butorides striata,Butoridesstriata,Butorides virescens,Green-backed Heron,,,,,,LC,,2014,decreasing,,,
57,PELECANIFORMES,ARDEIDAE,Calherodius,leuconotus,Calherodius leuconotus,Calherodiusleuconotus,Gorsachius leuconotus,White-backed Night-heron, White-backed Night-Heron, White-backed Night Heron,,,,LC,,2012,stable,,,
58,PELECANIFORMES,ARDEIDAE,Cochlearius,cochlearius,Cochlearius cochlearius,Cochleariuscochlearius,Cochlearius cochlearia cochlearius|Cochlearius cochlearia cochlearius,Boat-billed Heron,,,,,,LC,,2012,unknown,,,
59,PELECANIFORMES,ARDEIDAE,Egretta,ardesiaca,Egretta ardesiaca,Egrettaardesiaca,,Black Heron, Black Egret,,,,,LC,,2012,stable,,,
60,PELECANIFORMES,ARDEIDAE,Egretta,caerulea,Egretta caerulea,Egrettacaerulea,Florida caerulea caerulea,Little Blue Heron,,,,,,LC,,2012,decreasing,,,
61,PELECANIFORMES,ARDEIDAE,Egretta,eulophotes,Egretta eulophotes,Egrettaeulophotes,,Chinese Egret,,,,,,VU,C2a(i),2012,decreasing,,,
62,PELECANIFORMES,ARDEIDAE,Egretta,garzetta,Egretta garzetta,Egrettagarzetta,,Little Egret,,,,,,LC,,2014,increasing,,,
63,PELECANIFORMES,ARDEIDAE,Egretta,gularis,Egretta gularis,Egrettagularis,Egretta dimorpha,Western Reef-egret, Reef Heron,,,,,LC,,2014,stable,,,
64,PELECANIFORMES,ARDEIDAE,Egretta,novaehollandiae,Egretta novaehollandiae,Egrettanovaehollandiae,Ardea novaehollandiae novaehollandiae,White-faced Heron,,,,,,LC,,2012,unknown,,,
65,PELECANIFORMES,ARDEIDAE,Egretta,picata,Egretta picata,Egrettapicata,Ardea picata|Egretta picata picata,Pied Heron,,,,,,LC,,2012,stable,,,
66,PELECANIFORMES,ARDEIDAE,Egretta,rufescens,Egretta rufescens,Egrettarufescens,Hydranassa rufescens rufescens,Reddish Egret,,,,,,NT,,2012,increasing,,,
67,PELECANIFORMES,ARDEIDAE,Egretta,sacra,Egretta sacra,Egrettasacra,,Pacific Reef-egret, Pacific Reef-Egret, Eastern Reef Egret, Pacific Reef Heron, Reef Heron,,LC,,2012,stable,,,
68,PELECANIFORMES,ARDEIDAE,Egretta,thula,Egretta thula,Egrettathula,,Snowy Egret,,,,,,LC,,2012,increasing,,,
69,PELECANIFORMES,ARDEIDAE,Egretta,tricolor,Egretta tricolor,Egrettatricolor,Hydranassa tricolor tricolor,Tricolored Heron, Tricolored Heron,,,,,LC,,2012,stable,,,
