feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
422,Phalacrocoraxranfurlyi,,2.3,2.9,,,2.3,2.9,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NS,OS",,,,,,,,,,,,,,,,,grant,27/06/2016
423,Phalacrocoraxsulcirostris,,0.5,1.2,,,0.5,1.2,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,105,,,,,,,,,,,,,grant,27/06/2016
424,Phalacrocoraxurile,,1.55,2.05,,,1.9,2.27,,,,,,,,,2,4,,,33,32,34,,59,54,64,,,,,,,,,,,,,,,,,,,,,3,,,,"NS,OS",,122,,,,,,,,,,,,,,,grant,27/06/2016
425,Phalacrocoraxvarius,,1.1,1.9,,,1.5,2.9,,,,,,,,,2,4,,,,25,33,,,47,60,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,110,130,,,,,,,,,,,,,grant,27/06/2016
426,Phalacrocoraxverrucosus,,1.7,2,,,1.7,2,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,grant,27/06/2016
427,Pluvianellussocialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
428,Pluvianusaegyptius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
429,Aphrodromabrevirostris,,0.29,0.36,,,0.29,0.36,,,,,,,,1,,,,56,46.51,46,49,,,59,62,,,,,,,,,,0,,,,0.36,,,,,,,,,,,OS,,,80,88,,,,,,,,,,,,,grant,27/06/2016
430,Ardennabulleri,0.41,,,,0.41,,,,,,,,,,1,,,,,51,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,97,99,,,,,,,,,,,,,grant,27/06/2016
431,Ardennacarneipes,,0.58,0.75,,,0.58,0.75,,,,,,,,1,,,,,60,,,,92,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,,"NS,OS",,,99,107,,,,,,,93,94,,,,,grant,27/06/2016
432,Ardennacreatopus,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,grant,27/06/2016
