fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
528,CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus,novaezelandiae,,Himantopus novaezelandiae,Himantopusnovaezelandiae,,Black Stilt,,,,,,CR,D,2013,increasing,,,,,528,Himantopusnovaezelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
558,CHARADRIIFORMES,SCOLOPACIDAE,Calidris,pygmaea,,Calidris pygmaea,Calidrispygmaea,Eurynorhynchus pygmeus,Spoon-billed Sandpiper, Spoonbill Sandpiper,,,,,CR,A2abcd+3bcd+4abcd; C2a(i),2013,decreasing,,,,,558,Calidrispygmaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
597,CHARADRIIFORMES,SCOLOPACIDAE,Numenius,borealis,,Numenius borealis,Numeniusborealis,,Eskimo Curlew,,,,,,CR,D,2013,unknown,,,,,597,Numeniusborealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
602,CHARADRIIFORMES,SCOLOPACIDAE,Numenius,tenuirostris,,Numenius tenuirostris,Numeniustenuirostris,,Slender-billed Curlew,,,,,,CR,"C2a(i,ii);D",2012,decreasing,,,,,602,Numeniustenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
672,PELECANIFORMES,THRESKIORNITHIDAE,Bostrychia,bocagei,,Bostrychia bocagei,Bostrychiabocagei,,Dwarf Ibis, Sao Tome Ibis,,,,,CR,C2a(ii),2013,decreasing,,,,,672,Bostrychiabocagei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
681,PELECANIFORMES,THRESKIORNITHIDAE,Geronticus,eremita,,Geronticus eremita,Geronticuseremita,,Northern Bald Ibis, Waldrapp, Bald Ibis, Hermit Ibis,,,CR,C2a(ii),2013,decreasing,,,,,681,Geronticuseremita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
695,PELECANIFORMES,THRESKIORNITHIDAE,Pseudibis,davisoni,,Pseudibis davisoni,Pseudibisdavisoni,,White-shouldered Ibis, Black Ibis,,,,,CR,A3cd+4cd,2013,decreasing,,,,,695,Pseudibisdavisoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
697,PELECANIFORMES,THRESKIORNITHIDAE,Thaumatibis,gigantea,,Thaumatibis gigantea,Thaumatibisgigantea,Pseudibis gigantea gigantea|Pseudibis gigantea gigantea|Pseudibis gigantea gigantea,Giant Ibis,,,,,,CR,A2cd+3cd+4cd;C2a(i),2013,decreasing,,,,,697,Thaumatibisgigantea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
716,CHARADRIIFORMES,TURNICIDAE,Turnix,novaecaledoniae,,Turnix novaecaledoniae,Turnixnovaecaledoniae,,New Caledonian Buttonquail,,,,,,CR,D,2014,unknown,,,,,716,Turnixnovaecaledoniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
118,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,dealbatus,,Charadrius dealbatus,Charadriusdealbatus,,White-faced Plover,,,,,,DD,,2014,unknown,,,,,118,Charadriusdealbatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
241,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,hornbyi,,Hydrobates hornbyi,Hydrobateshornbyi,Oceanodroma hornbyi,Ringed Storm-petrel, Hornby's Storm-petrel,,,,,DD,,2012,unknown,,STr,,SP,241,Hydrobateshornbyi,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
244,PROCELLARIIFORMES,HYDROBATIDAE,Hydrobates,markhami,,Hydrobates markhami,Hydrobatesmarkhami,Oceanodroma markhami,Markham's Storm-petrel,,,,,,DD,,2012,unknown,,Tr,,SP,244,Hydrobatesmarkhami,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,,,,,,,,,,,,,,,grant,27/06/2016
370,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,gracilis,,Oceanites gracilis,Oceanitesgracilis,,White-vented Storm-petrel, Elliot's Storm-Petrel,,,,,DD,,2012,stable,,"STr,Tr",,SP,370,Oceanitesgracilis,,0.014,,,0.014,,,,11.31 (0.54),30.55 (1.01),52.88 (3.04),,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
376,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,pincoyae,,Oceanites pincoyae,Oceanitespincoyae,,Pincoya Storm-petrel,,,,,,DD,,2014,unknown,,SP,,,376,Oceanitespincoyae,,0.027,,,,0.027,,,136.5  (2.6),31.7 (1.4),57.6 (3.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
