fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
351,CHARADRIIFORMES,LARIDAE,Sternula,antillarum,,Sternula antillarum,Sternulaantillarum,Sterna antillarum,Least Tern,,,,,,LC,,2012,decreasing,,Tm-Tr,O,SP,351,Sternulaantillarum,,0.036,0.057,,,0.036,0.057,,,,,,,,2,2,3,,,22,19,25,,20,17,21,,,,,,,,,,,26,56,,,,,,,,,2,,3,,NS,,51,,,,24,,,,,80,93,,,,,grant,27/06/2016
355,CHARADRIIFORMES,LARIDAE,Sternula,saundersi,,Sternula saundersi,Sternulasaundersi,Sterna saundersi,Saunders's Tern, Saunders' Little Tern,,,,,LC,,2012,decreasing,,,,SP,355,Sternulasaundersi,,0.04,0.05,,,0.04,0.05,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,55,,,,,,,,,,,,,grant,27/06/2016
356,CHARADRIIFORMES,LARIDAE,Sternula,superciliaris,,Sternula superciliaris,Sternulasuperciliaris,Sterna superciliaris,Yellow-billed Tern,,,,,,LC,,2012,stable,,"STr,Tr",O,SP,356,Sternulasuperciliaris,,0.04,0.057,,,0.04,0.057,,,,,,,,1.9,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
357,CHARADRIIFORMES,LARIDAE,Thalasseus,bengalensis,,Thalasseus bengalensis,Thalasseusbengalensis,Sterna bengalensis,Lesser Crested Tern,,,,,,LC,,2012,stable,,"STr,Tr",,SP,357,Thalasseusbengalensis,,0.18,0.24,,,0.18,0.24,,,,,,,,1,,,,,,21,26,,,30,35,,,,,,,,,,90,,,+,,,,,,,,,,,,,,,88,105,,,,,,,,,,,,,grant,27/06/2016
358,CHARADRIIFORMES,LARIDAE,Thalasseus,bergii,,Thalasseus bergii,Thalasseusbergii,Sterna bergii,Greater Crested Tern, Crested Tern, Swift Tern,,,,LC,,2012,stable,,"ST,Tr",,SP,358,Thalasseusbergii,,0.32,0.4,,,0.32,0.4,,,,,,,,,1,2,,,,25,30,,,35,41,,,,,,,,,,80,,,+,,,,,,,,,,,,NS,,,100,130,,,,,,,,,,,,,grant,27/06/2016
361,CHARADRIIFORMES,LARIDAE,Thalasseus,maximus,,Thalasseus maximus,Thalasseusmaximus,Sterna maxima,Royal Tern,,,,,,LC,,2012,stable,,"Tm,STr",,SP,361,Thalasseusmaximus,,0.32,0.5,,,0.32,0.5,,,,,,,,1,,,,,,25,31,,30,,,,,,,,,,,,200,,,+,,,,,86,,,,3,4,,NS,,,100,135,,24,,,,95,,,,,,,grant,27/06/2016
362,CHARADRIIFORMES,LARIDAE,Thalasseus,sandvicensis,acuflavida,Thalasseus sandvicensis acuflavida,Thalasseussandvicensisacuflavida,Sterna sandvicensis,Sandwich Tern,,,,,,LC,,2012,stable,,"STr,Tm",O,SP,362,Thalasseussandvicensisacuflavida,,0.14,0.3,,,0.14,0.3,,,,,,,,1,1,2,,,24,23,29,,28,27,29,,,,,9.8,,,,,,30,120,,,,,,,,,4,3,4,,NS,,,86,105,,23.5,,,,75,,,,,,,grant,27/06/2016
364,CHARADRIIFORMES,LARIDAE,Xema,sabini,,Xema sabini,Xemasabini,Larus sabini |Larus sabini sabini|Larus sabini sabini|Larus sabini sabini,Sabine's Gull,,,,,,LC,,2012,stable,,"P,SP",O,SP,364,Xemasabini,,0.13,0.22,,,0.13,0.22,,,,,,,,2,1,3,,,,2,25,,,25,30,,,83,68,,,,,,,,,yes,,,,,,,,,2,3,,NS,,,81,87,,,,,,,,,,,,,grant,27/06/2016
365,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,grallaria,,Fregetta grallaria,Fregettagrallaria,,White-bellied Storm-petrel,,,,,,LC,,2012,decreasing,,STr,"Cr,Bu",SP,365,Fregettagrallaria,,0.04,0.06,,,0.04,0.06,,,,,,,,1,,,,12,40,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,45,,,,,,,,,,,,,,,grant,27/06/2016
367,PROCELLARIIFORMES,OCEANITIDAE,Fregetta,tropica,,Fregetta tropica,Fregettatropica,,Black-bellied Storm-petrel,,,,,,LC,,2012,decreasing,,"SP,Tm",Cr,SP,367,Fregettatropica,,0.05,0.06,,,0.05,0.06,,,,,,,,1,,,,15,,35,44,,,55,71,,,,,,,,,,0,,,,,,,,,,,,,,,OS,,46,,,,,,,,,,,,,,,grant,27/06/2016
368,PROCELLARIIFORMES,OCEANITIDAE,Garrodia,nereis,,Garrodia nereis,Garrodianereis,Oceanites nereis nereis,Grey-backed Storm-petrel,,,,,,LC,,2012,decreasing,,Tm,Un,SP,368,Garrodianereis,,0.03,0.04,,,0.03,0.04,,,,,,,,1,,,,11,,40,45,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,,39,,,,,,,,,,,,,,,grant,27/06/2016
372,PROCELLARIIFORMES,OCEANITIDAE,Oceanites,oceanicus,,Oceanites oceanicus,Oceanitesoceanicus,,Wilson's Storm-petrel,,,,,,LC,,2012,stable,,"P,SP","Bu,Cr",SP,372,Oceanitesoceanicus,,0.03,0.04,,,0.03,0.04,,,,,,,,1,,,,10,,33,53,,,51,97,,,,,2.8,,,,,0,,,,0.062,,,,,,,4,4,5,,OS,,39,,,,,,,,91,,,,,,,grant,27/06/2016
377,PROCELLARIIFORMES,OCEANITIDAE,Pelagodroma,marina,,Pelagodroma marina,Pelagodromamarina,,White-faced Storm-petrel,,,,,,LC,,2012,decreasing,,STr,Bu,SP,377,Pelagodromamarina,,0.04,0.07,,,0.04,0.07,,,,,,,,1,,,,12,,45,49,,,52,80,,,,,2.2,,,,,0,,,,0.065,,,,,,,,,,,OS,,43,,,,,,,,,,,,,,,grant,27/06/2016
379,PELECANIFORMES,PELECANIDAE,Pelecanus,conspicillatus,,Pelecanus conspicillatus,Pelecanusconspicillatus,,Australian Pelican,,,,,,LC,,2012,stable,,"Tm,STr",O,A,379,Pelecanusconspicillatus,,,4,6.8,,,4,6.8,,,,,,,2,1,4,,,,32,35,,90,,,,,,,,,,,,,,,,,,,,,,,,4,6,,"NS,OS",,,230,260,,,,,,,,,,,,,grant,27/06/2016
381,PELECANIFORMES,PELECANIDAE,Pelecanus,erythrorhynchos,,Pelecanus erythrorhynchos,Pelecanuserythrorhynchos,,American White Pelican,,,,,,LC,,2012,increasing,,Tm,O,,381,Pelecanuserythrorhynchos,,,4,5.9,,,5,7.1,,,,,,,2,1,4,,,30,,,?,60,,,,,,,,,,,,20,,,+,,,,,,,,3,,,,,,,,,,26,,,,,,,,,,,grant,27/06/2016
382,PELECANIFORMES,PELECANIDAE,Pelecanus,occidentalis,,Pelecanus occidentalis,Pelecanusoccidentalis,,Brown Pelican,,,,,,LC,,2012,increasing,,"Tm,STr","O,T",A,382,Pelecanusoccidentalis,Pedionomustorquatus,3.2,,,,3.7,,,,,,,,,2.6,2,3,,,30,,,,79.5,71,88,,,,,115,,,,,,30,84,,,,,,,,,3,2,4,,"NS,OS",,210,,,,28,,,,80,,,ca,,,,grant,27/06/2016
383,PELECANIFORMES,PELECANIDAE,Pelecanus,onocrotalus,,Pelecanus onocrotalus,Pelecanusonocrotalus,,Great White Pelican, White Pelican,,,,,LC,,2012,unknown,,Tm-Tr,O,A,383,Pelecanusonocrotalus,,,6,9,,,9,15,,,,,,,,2,4,,,,29,31,,,65,70,,,,,,,,,,,,,,,,,,,,,,,,,"NS,NS+",,,,,,,,,,,,,,,,,grant,27/06/2016
385,PELECANIFORMES,PELECANIDAE,Pelecanus,rufescens,,Pelecanus rufescens,Pelecanusrufescens,,Pink-backed Pelican,,,,,,LC,,2012,stable,,"STr,Tr","O,T",A,385,Pelecanusrufescens,,,3.9,6.2,,,4.5,7,,,,,,,,1,3,,,,30,35,,,70,75,,,,,,,,,,,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
387,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,aethereus,,Phaethon aethereus,Phaethonaethereus,,Red-billed Tropicbird,,,,,,LC,,2013,decreasing,,"STr,Tr","Un,Cr",SA,387,Phaethonaethereus,,0.7,,,,0.7,,,,,,,,,1,,,,,,42,44,,,80,90,,,,,,,,,,0,,,,,,,,,,71,,4,5,,OS,,,99,106,,,,,,82,,,,,,,grant,27/06/2016
388,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,lepturus,,Phaethon lepturus,Phaethonlepturus,,White-tailed Tropicbird,,,,,,LC,,2012,decreasing,,"STr,Tr","Un,Cr",SA,388,Phaethonlepturus,,0.32,,,,,0.22,0.36,,,,,,,1,,,,,42,40,43,,,70,85,,21 - 37,,,,,,,,0,,,,,,,,,,,4,,,ca,OS,,,90,95,,,,,,,,,,,,,grant,27/06/2016
389,PHAETHONTIFORMES,PHAETHONTIDAE,Phaethon,rubricauda,,Phaethon rubricauda,Phaethonrubricauda,,Red-tailed Tropicbird,,,,,,LC,,2013,stable,,"STr,Tr","Un,Cr",SA,389,Phaethonrubricauda,,,0.5,0.85,,,0.5,0.85,,,,,,,1,,,,,,29,31,,,65,70,,,,,15,,,,,,,,,,,,,,,80,,2,5,,OS,,113,,,,29,,,,90,,,,,,,grant,27/06/2016
390,SULIFORMES,PHALACROCORACIDAE,Microcarbo,africanus,,Microcarbo africanus,Microcarboafricanus,Phalacrocorax africanus,Long-tailed Cormorant, Long-tailed Cormorant,,,,,LC,,2012,decreasing,,"STr,Tr","O,T",A,390,Microcarboafricanus,,0.43,0.6,,,0.5,0.88,,,,,,,,2.3,,4,,,,23,25,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,NS+,,,80,90,,,,,,,,,,,,,grant,27/06/2016
392,SULIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,,Microcarbo melanoleucos,Microcarbomelanoleucos,Microcarbo melanoleucos melanoleucos|Phalacrocorax melanoleucos,Little Pied Cormorant, Little Shag,,,,,LC,,2012,unknown,,"Tm,STr","T,(O)",A,392,Microcarbomelanoleucos,,0.4,0.9,,,0.7,0.9,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ns,,,85,91,,,,,,,,,,,,,grant,27/06/2016
393,SULIFORMES,PHALACROCORACIDAE,Microcarbo,niger,,Microcarbo niger,Microcarboniger,Phalacrocorax niger,Little Cormorant,,,,,,LC,,2012,unknown,,"STr,Tr",T,A,393,Microcarboniger,,0.36,0.53,,,0.36,0.53,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
394,SULIFORMES,PHALACROCORACIDAE,Microcarbo,pygmaeus,,Microcarbo pygmaeus,Microcarbopygmaeus,Halietor pygmeus|Phalacrocorax pygmaeus,Pygmy Cormorant,,,,,,LC,,2012,increasing,,"Tm,STr",T,A,394,Microcarbopygmaeus,,0.56,0.64,,,0.65,0.87,,,,,,,,,4,6,,,,27,30,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,80,90,,,,,,,,,,,,,grant,27/06/2016
397,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,aristotelis,,Phalacrocorax aristotelis,Phalacrocoraxaristotelis,,European Shag, Shag,,,,,LC,,2012,decreasing,,Tm,"Cl,O",A,397,Phalacrocoraxaristotelis,1.6,,,,1.94,,,,,,,,,,3,1,6,,,34,33,36,,53,48,58,,,,,52,,,,,62,,,,,,,,,,,,2,3,,"NS,OS",,,,,,,,,,,80,88,,,,,grant,27/06/2016
398,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,atriceps,,Phalacrocorax atriceps,Phalacrocoraxatriceps,Leucocarbo atriceps ,Imperial Shag,,,,,,LC,,2014,unknown,,SP,"O,Cl",A,398,Phalacrocoraxatriceps,,1.5,2.4,,,1.7,3.5,,,,,,,,2.7,1,3,,,28.8,,,,77.5,75,80,,,,,,,,,,,,,,,,,,,,,,2,4,,NS,,,110,125,,,,,,,,,,,,,grant,27/06/2016
399,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,auritus,,Phalacrocorax auritus,Phalacrocoraxauritus,,Double-crested Cormorant,,,,,,LC,,2012,increasing,,"Tm,STr","O,Cl,T",A,399,Phalacrocoraxauritus,,1.8,2.6,,,2,3,,,,,,,,4,1,7,,,,25,28,,,42,56,,,,,,,,,,28,,,,,,,,,,,2.7,1,4,,NS,,,,,,18,,,,,,,,,,,grant,27/06/2016
401,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,brasilianus,,Phalacrocorax brasilianus,Phalacrocoraxbrasilianus,,Neotropical Cormorant,,,,,,LC,,2012,increasing,,"STr,Tr","T,(O)",A,401,Phalacrocoraxbrasilianus,1.07,,,,1.26,,,,,,,,,,3,2,6,,,24.6,23,26,,63,,,,,,,,,,,,,,,yes,,,,,,,,1,1,3,,NS,,,,,,13,,,,,,,,,,,grant,27/06/2016
404,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,capillatus,,Phalacrocorax capillatus,Phalacrocoraxcapillatus,,Japanese Cormorant,,,,,,LC,,2012,unknown,,STr,Cl,A,404,Phalacrocoraxcapillatus,3.1,,,,3.1,,,,,,,,,,3,,,,,34,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,,,,,,,,,,,,,,,grant,27/06/2016
405,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,carbo,,Phalacrocorax carbo,Phalacrocoraxcarbo,,Great Cormorant, Black shag, Cormorant, White-breasted Cormorant,,,LC,,2012,increasing,,"Tm,STr","O,T,CL",A,405,Phalacrocoraxcarbo,,2,2.5,,,2,2.5,,,,,,,,,3,6,,,30,28,31,,53,49,56,,,,,,,,,,50,,,,,,,,,,,3,2,3,,"NS,OS",,,130,150,,,,,,88,,,,,,,grant,27/06/2016
410,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,fuscescens,,Phalacrocorax fuscescens,Phalacrocoraxfuscescens,,Black-faced Cormorant,,,,,,LC,,2012,unknown,,Tm,"O,Cl",A,410,Phalacrocoraxfuscescens,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,,93,102,,,,,,,,,,,,,grant,27/06/2016
411,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,fuscicollis,,Phalacrocorax fuscicollis,Phalacrocoraxfuscicollis,,Indian Cormorant,,,,,,LC,,2012,unknown,,"STr,Tr",T,A,411,Phalacrocoraxfuscicollis,,0.6,0.79,,,0.6,0.79,,,,,,,,,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
414,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,magellanicus,,Phalacrocorax magellanicus,Phalacrocoraxmagellanicus,,Rock Shag, Magellan Cormorant,,,,,LC,,2012,unknown,,Tm,Cl,A,414,Phalacrocoraxmagellanicus,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,92,,,,,,,,,,,,,,,grant,27/06/2016
418,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,pelagicus,,Phalacrocorax pelagicus,Phalacrocoraxpelagicus,,Pelagic Cormorant, Resplendent cormorant, Baird's cormorant, Pelagic shag, Kenyon's Shag,,LC,,2012,decreasing,,Tm,"O,Cr",A,418,Phalacrocoraxpelagicus,,1.53,1.7,,,1.75,2.03,,,,,,,,3,1,6,,,30,29,31,,45,40,50,,,,,,,,,,,,,weeks,,,,,,,,2,,,,"NS,OS",,95,,,,18,,,,,,,,,,,grant,27/06/2016
419,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,penicillatus,,Phalacrocorax penicillatus,Phalacrocoraxpenicillatus,,Brandt's Cormorant, Townsend's Cormorant, Pencilled Cormorant, Brown Cormorant, Tufted Cormorant,,LC,,2012,decreasing,,"Tm,STr",O,A,419,Phalacrocoraxpenicillatus,,1.4,2.3,,,2.4,2.7,,,,,,,,2.6,2,5,,,29.2,28,32,,,,,,,,,,,,,,,,,yes,,,,,,,,3,2,9,,NS+,,108,,,,18,,,,74,,,,,,,grant,27/06/2016
421,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,punctatus,,Phalacrocorax punctatus,Phalacrocoraxpunctatus,Stictocarbo punctatus punctatus,Spotted Shag,,,,,,LC,,2012,unknown,,Tm,"Cl,Sl",A,421,Phalacrocoraxpunctatus,,0.7,1.6,,,0.9,1.7,,,,,,,,2.7,2,4,,,32,28,35,,62,57,71,,,,,,,,,,,,,,,,,,,,,2,,,,"NS,OS",,,91,99,,,,,,,,,,,,,grant,27/06/2016
423,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,sulcirostris,,Phalacrocorax sulcirostris,Phalacrocoraxsulcirostris,,Little Black Cormorant, Little Black Shag,,,,,LC,,2012,unknown,,"Tm,STr",T,A,423,Phalacrocoraxsulcirostris,,0.5,1.2,,,0.5,1.2,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,105,,,,,,,,,,,,,grant,27/06/2016
424,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,urile,,Phalacrocorax urile,Phalacrocoraxurile,,Red-faced Cormorant,,,,,,LC,,2012,decreasing,,Tm,"Cl,Sl",A,424,Phalacrocoraxurile,,1.55,2.05,,,1.9,2.27,,,,,,,,,2,4,,,33,32,34,,59,54,64,,,,,,,,,,,,,,,,,,,,,3,,,,"NS,OS",,122,,,,,,,,,,,,,,,grant,27/06/2016
425,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,varius,,Phalacrocorax varius,Phalacrocoraxvarius,,Great Pied Cormorant, Pied Cormorant, Australian Pied Cormorant, Pied Shag,,,LC,,2012,unknown,,Tm,O,A,425,Phalacrocoraxvarius,,1.1,1.9,,,1.5,2.9,,,,,,,,,2,4,,,,25,33,,,47,60,,,,,,,,,,,,,,,,,,,,,,,,,OS,,,110,130,,,,,,,,,,,,,grant,27/06/2016
426,SULIFORMES,PHALACROCORACIDAE,Phalacrocorax,verrucosus,,Phalacrocorax verrucosus,Phalacrocoraxverrucosus,,Kerguelen Shag,,,,,,LC,,2014,unknown,,"P,SP",Cl,A,426,Phalacrocoraxverrucosus,,1.7,2,,,1.7,2,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,grant,27/06/2016
428,CHARADRIIFORMES,PLUVIANIDAE,Pluvianus,aegyptius,,Pluvianus aegyptius,Pluvianusaegyptius,,Egyptian Plover, Crocodile-bird,,,,,LC,,2012,decreasing,,,,,428,Pluvianusaegyptius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
429,PROCELLARIIFORMES,PROCELLARIIDAE,Aphrodroma,brevirostris,,Aphrodroma brevirostris,Aphrodromabrevirostris,Aphrodroma brevirostris |Lugensa brevirostris|Pterodroma brevirostris|Pterodroma brevirostris|Pterodroma brevirostris|Pterodroma brevirostris,Kerguelen Petrel,,,,,,LC,,2012,stable,,"Tm,SP",Bu,SP,429,Aphrodromabrevirostris,,0.29,0.36,,,0.29,0.36,,,,,,,,1,,,,56,46.51,46,49,,,59,62,,,,,,,,,,0,,,,0.36,,,,,,,,,,,OS,,,80,88,,,,,,,,,,,,,grant,27/06/2016
431,PROCELLARIIFORMES,PROCELLARIIDAE,Ardenna,carneipes,,Ardenna carneipes,Ardennacarneipes,Ardenna carneipes carneipes|Puffinus carneipes,Flesh-footed Shearwater,,,,,,LC,,2012,stable,,STr,"Bu, Sl",SP,431,Ardennacarneipes,,0.58,0.75,,,0.58,0.75,,,,,,,,1,,,,,60,,,,92,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.4,,"NS,OS",,,99,107,,,,,,,93,94,,,,,grant,27/06/2016
433,PROCELLARIIFORMES,PROCELLARIIDAE,Ardenna,gravis,,Ardenna gravis,Ardennagravis,Ardenna gravis gravis|Puffinus gravis,Great Shearwater, Greater Shearwater,,,,,LC,,2012,stable,,"Tm,STr","Bu,Cr",SP,433,Ardennagravis,,0.72,0.95,,,0.72,0.95,,,,,,,,1,,,,,,53,57,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,118,,,,,,,,,,,,,grant,27/06/2016
435,PROCELLARIIFORMES,PROCELLARIIDAE,Ardenna,pacifica,,Ardenna pacifica,Ardennapacifica,Ardenna pacifica pacifica|Puffinus pacificus,Wedge-tailed Shearwater,,,,,,LC,,2012,decreasing,,"STr,Tr",Bu,SP,435,Ardennapacifica,,0.3,0.57,,,0.3,0.57,,,,,,,,1,,,,,,48,56,,,98,115,,43,,43,10,,,,,0,,,,,,,,,,,,,,,OS,,,97,105,,26,,,,,,,,,,,grant,27/06/2016
436,PROCELLARIIFORMES,PROCELLARIIDAE,Ardenna,tenuirostris,,Ardenna tenuirostris,Ardennatenuirostris,Ardenna tenuirostris tenuirostris|Puffinus tenuirostris,Short-tailed Shearwater,,,,,,LC,,2012,decreasing,,STr,Bu,SP,436,Ardennatenuirostris,,0.47,0.64,,,0.51,0.73,,,,,,,,1,,,,85,,52,55,,94,,,,48,,48,13,,,,,0,,,,,,,,,,,6,5,7,,OS,,93,,,,,,,,,90,94,,,,,grant,27/06/2016
438,PROCELLARIIFORMES,PROCELLARIIDAE,Bulweria,bulwerii,,Bulweria bulwerii,Bulweriabulwerii,,Bulwer's Petrel,,,,,,LC,,2012,stable,,"STr,Tr",Cr,SP,438,Bulweriabulwerii,0.99,,,,0.99,,,,,,,,,,1,,,,,44.2,38,46,,62,57,67,,,,,,,,,,0,,,,,,,,,,,,4,6,,OS,,,65,73,,,,,,94.7,,,,,,,grant,27/06/2016
440,PROCELLARIIFORMES,PROCELLARIIDAE,Calonectris,borealis,,Calonectris borealis,Calonectrisborealis,,Cory's Shearwater,,,,,,LC,,2014,decreasing,,"Tm,STr","Bu,Cr",SP,440,Calonectrisborealis,,0.81,0.82,,,0.88,0.96,,,,,,,,1,,,,,54,,,,97,,,,,51,87,14,,,,,0,,,,0.874,,51-56,7.26,,,,9,,,,OS,,,75,76,,,,,,95.6,,,,,,,grant,27/06/2016
441,PROCELLARIIFORMES,PROCELLARIIDAE,Calonectris,diomedea,,Calonectris diomedea,Calonectrisdiomedea,,Scopoli's Shearwater,,,,,,LC,,2014,decreasing,,"Tm,STr","Bu,Cr",SP,441,Calonectrisdiomedea,0.6,,,,0.71,,,,,,,,,,1,,,,,51,,,,91,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,93,,,,,,,grant,27/06/2016
443,PROCELLARIIFORMES,PROCELLARIIDAE,Calonectris,leucomelas,,Calonectris leucomelas,Calonectrisleucomelas,,Streaked Shearwater,,,,,,LC,,2012,decreasing,,"STr,Tr",,SP,443,Calonectrisleucomelas,,0.44,0.55,,,0.44,0.55,,,,,,,,1,,,,,64,,,,,66,80,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,grant,27/06/2016
444,PROCELLARIIFORMES,PROCELLARIIDAE,Daption,capense,,Daption capense,Daptioncapense,,Cape Petrel, Pintado Petrel, Cape Pigeon,,,,LC,,2012,stable,,"P,SP","Cl,O",SP,444,Daptioncapense,,0.36,0.51,,,0.38,0.55,,,,,,,,1,,,,63,,44,47,,,47,68,,,,,16,,,,,0,,,,0.48,,,,,,,6,4,6,,OS,,87,,,,25,,,,94,,,,,,,grant,27/06/2016
445,PROCELLARIIFORMES,PROCELLARIIDAE,Fulmarus,glacialis,,Fulmarus glacialis,Fulmarusglacialis,,Northern Fulmar, Fulmar,,,,,LC,,2012,increasing,,P-Tm,"O,Cl",SP,445,Fulmarusglacialis,0.58,,,,0.65,,,,,,,330,,,1,,,,101,48.4,,,,53,46,58,,,,,31,,,,,0,,,,0.907,,,,,,,5,5,12,,OS,,,102,112,,31,,,c,,94,97,,,,,grant,27/06/2016
446,PROCELLARIIFORMES,PROCELLARIIDAE,Fulmarus,glacialoides,,Fulmarus glacialoides,Fulmarusglacialoides,,Southern Fulmar, Antarctic Fulmar,,,,,LC,,2012,stable,,"P,SP","Sl,Cl",SP,446,Fulmarusglacialoides,,0.7,1,,,0.7,1,,,,,,,,1,,,,103,,43,50,,,48,56,,,,,32,,,,,,,,,1.2,,,,,,,,9,11,,OS,,106,,,,,,,,,90,95,,,,,grant,27/06/2016
447,PROCELLARIIFORMES,PROCELLARIIDAE,Halobaena,caerulea,,Halobaena caerulea,Halobaenacaerulea,,Blue Petrel,,,,,,LC,,2012,stable,,SP-Tm,"Bu,Sl",SP,447,Halobaenacaerulea,,0.13,0.23,,,0.13,0.23,,,,,,,,1,,,,36,,45,49,,,48,60,,,,,7.2,,,,,,,,,0.29,,,,,,,,,,,NS,,,62,71,,,,,,,,,,,,,grant,27/06/2016
448,PROCELLARIIFORMES,PROCELLARIIDAE,Macronectes,giganteus,,Macronectes giganteus,Macronectesgiganteus,,Southern Giant Petrel, Antarctic Giant-Petrel, Southern Giant Petrel, Southern Giant-Petrel,,,LC,,2012,increasing,,P-Tm,O,SP,448,Macronectesgiganteus,3.94,,,,5.19,,,,,,,,,,1,,,,268,,59,66,,,112,123,,,,,79,,,,,0,,,,6,,,,,,,,4,10,,OS,,,150,210,,,,,,,90,96,,,,,grant,27/06/2016
449,PROCELLARIIFORMES,PROCELLARIIDAE,Macronectes,halli,,Macronectes halli,Macronecteshalli,,Northern Giant Petrel, Hall's Giant-Petrel, Northern Giant Petrel, Northern Giant-Petrel,,,LC,,2012,increasing,,SP,"O,Sl",SP,449,Macronecteshalli,3.8,,,,5,,,,,,,,,,1,,,,268,,57,62,,,106,120,,,,,66,,,,,,,,,5.86,,,,,,,,4,11,,NS,,199,,,,,,,,90,,,,,,,grant,27/06/2016
450,PROCELLARIIFORMES,PROCELLARIIDAE,Pachyptila,belcheri,,Pachyptila belcheri,Pachyptilabelcheri,,Slender-billed Prion, Slender-billed Prion,,,,,LC,,2012,stable,,"SP,Tm",Bu,SP,450,Pachyptilabelcheri,,0.12,0.18,,,0.12,0.18,,,,,,,,1,,,,31,,43,47,,,43,69,,,,,6.5,,,,,,,,,0.235,,,,,,,6.7,,,,NS+,,,56,59,,,,,,,,,,,,,grant,27/06/2016
