,Order,Common Name,Common_Name_2,Common_Name_3,Scientific Name ,,Adult Mass (k):                                Mean:range                       or Mean:female(male)        Female(Male)    ,Culmen  mm,Tarsus mm,Tail mm       (inner or outer),Breeding Distribution,Nest Location,Clutch Size (range),Egg Mass (g) [volume],Egg Mass/Female Mass %,Hatchling Type,Incubation Period (d),Fledging Period (d),Reproductive Success %             (hatching success)[fledging success],Maximum Growth Rate (g/d),Feed/Day,Fledging Mass (or asymptote),Fl Mass/Ad Mass %,BMR kJ/d,RMR  kJ/d/kg  female (male),DEE kJ/d/kg  female (male),Post-Fledging Care (d),Age of First Breeding,Foraging  Distance               in Breeding Season,Migration Distance,Wing Length (mm)  F (M)         wrist to tip (lngst),Wing Span (cm),Wing loading N/m sqd.,Aspect ratio (span sqd./wg.area)            wing+c.body area,Maximum Age,1st Year survival,2nd Year survival,Survival to Breeding (%),Annual Adult Survival %,Mean Ad. Life Expectancy,IUCN Category (FWS category),Total Population (breeding pairs),Index to Literature Cited: from original book edition,Literature refs added after book published
99,PROCELLARIIFORMES,Cory's Shearwater,,,Calonectris borealis,,0.89:   0.82-0.81(0.88-0.96),,,,"Tm,STr","Bu,Cr",1,,,SP,54,"95.7, 97",(51)[87],14,,874,,,,,none,9,OS,,367(380),0.75-0.76,51-56,7.26 (7.558),,,,,95.6,,,,"86, 88, 129","Marchant & Higgins 1990, Hamer unpubl., Hamer in press (a) (Hamer & Hill 1994, Ramos et al. 2003, Ramos et al. 2009)"
,PROCELLARIIFORMES,Cape Verde Shearwater,,,Calonectris edwardsii,,,,,,STr,"Bu,Cr",1,,,SP,,c90,,,,,,,,,none,,,,,,,,,,,,,,,"10,000",,"    -Petry et al. 2000, Hazevoet 1995"
100,PROCELLARIIFORMES,Streaked Shearwater,,,Calonectris leucomelas,,0.44-0.55,,,,"STr,Tr",,1,,,SP,64,66-80,,,,,,,,,,,,,,122,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992"
101,PROCELLARIIFORMES,Wedge-tailed Shearwater,,,Puffinus pacificus,,0.30-0.57,,,,"STr,Tr",Bu,1,,,SP,48-56,98-115,43,10,,,,,,,none,4,OS,,,97-105,,,26,,,,,,,,"14, 69, 129, 222, 229","Floyd & Swanson 1983, Marchant & Higgins 1990, Warham 1990, Whittow 1997, BBL - Cuthbert & Davis 2002"
102,PROCELLARIIFORMES,Buller's Shearwater,,,Puffinus bulleri,,0.41,,,,STr,Bu,1,,,SP,51,100,,,,,,,,,,,OS,,,97-99,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992"
103,PROCELLARIIFORMES,Flesh-footed Shearwater,,,Puffinus carneipes,,0.58-0.75,,,,STr,"Bu, Sl",1,,,SP,60,92,,,,,,,,,,6.2-6.4,"NS,OS",,,99-107,,,,,,,93-94,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992    ***   Barbraud et al. 2014"
104,PROCELLARIIFORMES,Pink-footed Shearwater,,,Puffinus creatopus,,,,,,STr,Bu,1,,,SP,,,,,,,,,,,,,,,,109,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992"
105,PROCELLARIIFORMES,Greater Shearwater,,,Puffinus gravis,,0.72-0.95,,,,"Tm,STr","Bu,Cr",1,,,SP,53-57,105,,,,,,,,,,,,,,100-118,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992"
106,PROCELLARIIFORMES,Sooty Shearwater,,,Puffinus griseus,,0.63-0.95,,,,Tm,Bu,1,93,,SP,52.7,97,63(76)[83],17,,750,,,,,none,5-7,OS,,,103,,,,,,,93-94,,,,"32, 177","Richdale 1963, Croxall & Gaston 1988, Carboneras 1992"
107,PROCELLARIIFORMES,Short-tailed Shearwater,,,Puffinus tenuirostris,,0.47-0.64 (0.51-0.73),,,,STr,Bu,1,85,,SP,52-55,94,48,13,,,,,,,none,6(5-7),OS,,,93,,,,,,,90-94,,,,"41, 89, 192","Serventy 1967, Croxall 1981, Croxall & Gaston 1988, Hamer et al. 1997 - Cuthbert & Davis 2002"
108,PROCELLARIIFORMES,Christmas Shearwater,,,Puffinus nativitatis,,0.32-0.34,,,,"STr,Tr","Cr,Un",1,,,SP,50-54,96,63 Midwy,,,,,,,,,,,,,71-81,,,,,,,,,,,"32, 129, 222","Marchant & Higgins 1990, Warham 1990, Carboneras 1992, Seto et. Al 2001"
109,PROCELLARIIFORMES,Manx Shearwater,,,Puffinus puffinus,,0.35-0.58 (0.30-0.45),,,,"SP,Tm",Bu,1,58,,SP,51.3(47-66),69(62-76),60(69)[88},12,,600,,201,,,none,6,OS,,,79,,,45,,,,88-93,,,,"14, 18, 86, 93, 94, 125   - BTO","Harris 1966 (a)&(b), Brooke 1978, Croxall & Gaston 1988, Lee & Haney 1996, Hamer in press (a), BBL - BTO, Cuthbert & Davis 2002,  Bryant & Furness 1995"
110,PROCELLARIIFORMES,Levantine Shearwater,,,Puffinus yelkouan,,0.34-0.42,,,,Tm,"Cr,Un",1,,,SP,52,72,,,,,,,,,,,NS,,,76-93,,,,,,,,,,,"32, 222","Carboneras 1992, Warham 1990"
111,PROCELLARIIFORMES,Balearic Shearwater,,,Puffinus maurentanicus,,,,,,Tm,"Cr,Un",1,,,SP,c50,c72,,,,,,,,,,,,,,,,,,,,,,,,,32,Carboneras 1992
112,PROCELLARIIFORMES,Townsend's Shearwater,,,Puffinus auricularis,,0.34 (0.32-0.36),,,,Tr,"Bu,Cr",1,,,SP,62(47-66),92.4(88-100),,,,,,,,,none,4-7,OS,,,,,,,,,,,,,,"4, 115","Jehl 1982, Ainley et al. 1997"
113,PROCELLARIIFORMES,Newell's Shearwater,,,Puffinus newelli,,0.39 (0.34-0.43),,,,Tr,"Bu,Cr",1,,,SP,47-66,,,,,,,,,,none,4-7,OS,,,,,,,,,,90,,,,"4, 122","King & Gould 1967, Ainley et al. 1997"
114,PROCELLARIIFORMES,Black-vented Shearwater,,,Puffinus opisthomelas,,0.41,,,,STr,Bu,1,54.5,,SP,"50, 51",69,36(53)[68],57,,354-403,.87-.99,,,,,,NS,,,76-89,,,,,,,,,,,"32, 222","Warham 1990, Carboneras 1992 - Keitt et al. 2003"
115,PROCELLARIIFORMES,Fluttering Shearwater,,,Puffinus gavia,,0.23-0.42,,,,"Tm,STr",Bu,1,,,SP,,,,,,,,,,,,,"NS,OS",,,76,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992 -  Keitt et al. 2003"
116,PROCELLARIIFORMES,Hutton's Shearwater,,,Puffinus huttoni,,0.37,,,,STr,"Sl, Bu",1,,,SP,51(50-60),80,"46.5,27-66 (57)[85]",,,,,,,,,4-6,"NS,OS",,,72-78,,,,,,,93.1,,,"106,000",129,Marchant & Higgins 1990 -Cuthbert & Davis 2002
117,PROCELLARIIFORMES,Audobon's Shearwater,,,Puffinus lherminieri,,0.15-0.23,,,,"STr,Tr",,1,,,SP,49-51,62-75,,,,,,,,,,8?,NS+,,,64-74,,,,,,,93,,,,"32, 97, 129","Harris 1979b, Marchant & Higgins 1990, Carboneras 1992"
118,PROCELLARIIFORMES,Heinroth's Shearwater,,,Puffinus heinrothi,,,,,,Tr,,1,,,SP,,,,,,,,,,,,,,,,,,,,,,,,,,,"32, 222","Warham 1990, Carboneras 1992"
119,PROCELLARIIFORMES,Little Shearwater,,,Puffinus assimilis,,0.18-0.26,,,,"Tm,STr","Bu,Sl",1,,,SP,52-58,70-75,,,,,,,,,,,OS,,,55-67,,,,,,,,,,,"32, 129","Marchant & Higgins 1990, Carboneras 1992"
,PROCELLARIIFORMES,Bryan's Shearwater,,,Puffinus bryani,,smallest,,,,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,few?,discvd. In SI drawer. Midway. P. Pyle.,"     ****  Pyle, P., A. J. Welch, and R. C. Fleischer. 2011."
120,PROCELLARIIFORMES,Peruvian Diving-petrel,,,Pelecanoides garnotii,,,,,,"Tm,STr",Bu,1,,,SP,,,,,,,,,,,,,NS,,,,,,,,,,,,,,"32, 222","Warham 1990, Carboneras 1992"
121,PROCELLARIIFORMES,Magellanic Diving-petrel,,,Pelecanoides magellani,,,,,,Tm,Bu,1,,,SP,,,,,,,,,,,,,NS,,,,,,,,,,,,,,32,Carboneras 1992
122,PROCELLARIIFORMES,Georgian Diving-petrel,,,Pelecanoides georgicus,,0.09-0.15,,,,Tm,Bu,1,17,,SP,44-52,42-60,,4.8,,145,,,,,,2,NS,,,30-38,,,,,,,,,,,"17, 32, 222, 223","Croxall & Gaston 1988, Warham 1990, 1996, Carboneras 1992, J. Bried pers. comm."
123,PROCELLARIIFORMES,Common Diving-petrel,,,Pelecanoides urinatrix,,0.11-0.15,,,,Tm,"Bu,Sl",1,,,SP,53.5,49-55,,4.3,,,,,,,none,2-3,NS,,,43,,,,,,,75-87,,,,"41, 129, 222, 223","Croxall 1981, Marchant & Higgins 1990, Warham 1990, 1996"
,PROCELLARIIFORMES,Kerguelen Common Diving-petrel,,,Pelecanoides urinatrix exsul,,0.134,,,,,,1,19,,SP,54,54,,4.3,,160,,,,,,2,,,,,,,,,,,75,,,,,Croxall & Gaston 1988
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,PELECANIFORMES,White-tailed Tropicbird,,,Phaethon lepturus,,0.32 (0.22-0.36),,,,"STr,Tr","Un,Cr",1,,,SA,42(40-43),70-85,21-37-a,,,,,,,,none,4(est.),OS,,,90-95,,,,,,,,,,,"126, 129, 203","Stonehouse 1962, Marchant & Higgins 1990, Lee & Walsh-McGehee 1998 - Ramos et al. 2005"
145,PELECANIFORMES,Red-billed Tropicbird,,,Phaethon aetherus,,0.70,,,,"STr,Tr","Un,Cr",1,,,SA,42-44,80-90,,,,,,,,,none,4-5,OS,,,99-106,,,,,,71,82,,,,"97, 159, 203","Stonehouse 1962, Harris 1979b, Orta 1992"
146,PELECANIFORMES,Red-tailed Tropicbird,,,Phaethon rubricauda,,0.50-0.85,,,,"STr,Tr","Un,Cr",1,,,SA,45(39-51),85(72-91),,15,,,,,,,none,2-5,OS,,,113,,,29,,,80,90,,,,"14, 68, 129, 187","Fleet 1974, Marchant & Higgins 1990, Schreiber & Schreiber 1993, BBL - Schreiber et al. 2001 - Oikos in press"
147,PELECANIFORMES,Great White Pelican,Eurasian Pelican,,Pelecanus onocrotalus,,6-9 (9-15),,,,Tm-Tr,O,2-4,,,A,29-31,65-70,,,,,,,,,,,"NS,NS+",,,,,,,,,,,,,,"32, 106, 116, 172","Pyrovetsi 1989, Hatziliacou 1992, Carboneras 1992, Johnsgard 1993"
148,PELECANIFORMES,Dalmatian Pelican,,,Pelecanus crispus,,7.25-10 (9.5-12),,,,"Tm,STr",O,1-3,,,A,31-34,85,,,,,,,,,15-20,,NS,,,,,,,,,,,,,,"40, 116","Crivelli 1987, Johnsgard 1993"
149,PELECANIFORMES,Australian Pelican,,,Pelecanus conspicillatus,,4-6.8,,,,"Tm,STr",O,2(1-4),,,A,32-35,90,,,,,,,,,,4-6,"NS,OS",,,230-260,,,,,,,,,,,"116, 129","Marchant & Higgins 1990, Johnsgard 1993"
150,PELECANIFORMES,American White Pelican,,,Pelecanus erythrorhyncous,,4.0-5.9 (5.0-7.1),,,,Tm,O,2(1-4),,,,30?,60,,,,,,,,,20+,3,,,,,,,26,,,,,,,,"64, 116","Evans & Knopf 1993, Johnsgard 1993"
151,PELECANIFORMES,Pink-backed Pelican,,,Pelecanus rufescens,,3.9-6.2 (4.5-7),,,,"STr,Tr","O,T",1-3,,,A,30-35,70-75,,,,,,,,,10-21,,,,,,,,,,,,,,,,"20, 50, 116","Brown & Burke 1970, Din & Eltringham 1974, Johnsgard 1993"
152,PELECANIFORMES,Spot-billed Pelican,,,Pelecanus philippensis,,4.65 (5.1-5.7),,,,"STr,Tr",T,3,,,A,29-31,120?,,,,,,,,,,,,,,,,,,,,,,,,,"116, 146","Nagulu 1984, Johnsgard 1993"
153,PELECANIFORMES,Brown Pelican,,,Pelecanus occidentalis,,3.2 (3.7),,,,"Tm,STr","O,T",2.6(2-3),,,A,30,79.5(71-88),,115,,,,,,,30-84,3(2-4),"NS,OS",,,210,,,28,,,,c80,,,,"116, 163, 190","Schreiber 1976, Pennycuick 1983, Johnsgard 1993"
154,PELECANIFORMES,Ascension Frigatebird,,,Fregata aquila,,1.25,,,,STr,O,1 B,,,A,43-51,180?,,,,,,,,,90-120,,OS,,,196-201,,,,,,,,,,,"159, 205","Orta 1992, Stonehouse & Stonehouse 1963"
155,PELECANIFORMES,Lesser Frigatebird,,,Fregata ariel,,.78-1.11,,,,Tr,T,1 B,,,A,50 +/-,145-179,,,,,,,,,140-180,,OS,,,175-195,,,28,,,,,,,,"14, 48, 129, 185","Diamond 1975, Marchant & Higgins 1990, E. A. Schreiber unpubl., BBL"
156,PELECANIFORMES,Great Frigatebird,,,Fregata minor,,1.10-1.89 (0.90-1.35),,,,Tr,T,1 B,,,A,56(51-60),160-169,,,,,,,,,158-428,3-7,OS,,,198,,,37,,,,,,,,"14, 48, 129","Diamond 1975, Marchant & Higgins 1990, E. A. Schreiber, BBL"
157,PELECANIFORMES,Christmas Island Frigatebird,,,Fregata andrewsi,,1.55 (1.4),,,,Tr,T,1 B,,,A,46-54,177,,,,,,,,,120-200,,"NS,OS",,,205-230,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
158,PELECANIFORMES,Magnificent Frigatebird,,,Fregata magnificens,,1.67 (1.28),,,,Tr,T,1 B,,,A,59(58-60),165,,15,,,,,,,150,5-7,OS,,,229,,,,,,,,,,,"34, 49, 163","Pennycuick 1983, Carmona et al. 1995, Diamond & Schreiber in press"
159,PELECANIFORMES,Australian Gannet,,,Morus serrator,,2.3,,,,Tm,"O,Cl",1,,,A,43.6(37-50),102(95-109),,,,,,,,,none,3-7,OS,,,,,,30+,,,,,,,,"88, 148","Nelson 1978, K. Hamer pers. comm."
160,PELECANIFORMES,Cape Gannet,,,Morus capensis,,2.7,,,,"Tm,STr",O,1,,,A,44,97.2,,,,,,,,,none,3-4,OS,,,171-185,,,30+,,,,,,,,"129, 148","Nelson 1978, Marchant & Higgins 1990"
161,PELECANIFORMES,Northern Gannet,,,Morus bassanus,,3.07 (2.93),,,,Tm,"Cl,O",1,,,A,43.6,91,,80,,,,1079,,,none,4(3-6),OS,,,185,,,30,,,,94,,,,"97, 137, 148","Nelson 1978, Harris 1979b, Montevecchi et al.1984,  - Bryant & Furness 1995"
162,PELECANIFORMES,Abbott's Booby,,,Sula abbotti,,1.46,,,,Tr,T,1 B,,,A,56-57,151-168,,,,,,,,,180-230,,OS,,,,,,30+,,,,,,,,"129, 148","Nelson 1978, Marchant & Higgins 1990"
163,PELECANIFORMES,Peruvian Booby,,,Sula variegata,,1.3,,,,Tm-STr,"Cl,O",1.5(1-2),,,A,42,78,,,,,,,,,62,2-3,"NS,OS",,,,,,20+,,,,,,,,148,Nelson 1978
164,PELECANIFORMES,Blue-footed Booby,,,Sula nebouxii,,1.80 (1.28),,,,Tr,"Cl,O",2(1-3),,,A,41,102,,,,,,,,,56,'2-6,"NS,OS",,,156,,,20+,,,,,,,,"97, 148",Nelson 1978
165,PELECANIFORMES,Masked Booby,,,Sula dactylatra,,2.10 (1.88),,,,"STr,Tr","Cl,O",2(1-2),,,A,43(38-49),130(109-151),,35,,,,,,,50-150,2-4,OS,,,156,,,30+,,,,92.5,,,,"6, 24, 51, 129, 148, 235","Dorward 1962, Woodward 1972, Nelson 1978, Burger 1980, Marchant & Higgins 1990, Anderson 1993"
166,PELECANIFORMES,Nazca Booby,,,Sula granti,,1.75: 1.88 (1.63),,,,Tr,O,1.6,,,A,43,120,,,,,,,,,30-62,3-4,"NS,OS",,,,,,,,,,83-86,,,,"97, 148","Nelson 1978, Harris 1979b"
167,PELECANIFORMES,Brown Booby,,,Sula leucogaster,,0.9-1.8,,,,Tr,"O,Cl",2(1-3),,,A,42.8,95(85-105),,27,,973-1160,,,,,118-259,2-4,"NS,OS",,,148,,,27,,,,90-96,,,,"14, 51, 129, 148, 185","Dorward 1962, Nelson 1978, Marchant & Higgins 1990, E. A. Schreiber unpubl., BBL    - Beadell et al. 2003, Dorward 1962, Ospina-Alvarez 2014"
168,PELECANIFORMES,Red-footed Booby,,,Sula sula,,0.8-1.5,,,,Tr,T,1,,,A,44.5(43-49),101.5(91-139),,20,,,,,,,190,2-4,OS,,,151,,,30+,,,,90,,,,"129, 148, 189","Nelson 1978, Marchant & Higgins 1990, Schreiber et al. 1996"
169,PELECANIFORMES,Long-tailed cormorant,,,Microcarbo africanus,,0.43-0.60 (0.50-0.88),,,,"STr,Tr","O,T","2.3, 3.8",,,A,23-25,35,,,,,,,,,,,NS+,,,80-90,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
170,PELECANIFORMES,Crowned Cormorant,,,Microcarbo coronatus,,0.67-0.78 (0.48-0.88),,,,Tm,"O,T",1-5,,,A,23,30-35,,,,,,,,,,,NS,,,,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
171,PELECANIFORMES,Pygmy Cormorant,,,Microcarbo pygmaeus,,0.56-0.64 (0.65-0.87),,,,"Tm,STr",T,4-6,,,A,27-30,70,,,,,,,,,,,NS,,,80-90,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
172,PELECANIFORMES,Little Cormorant,,,Microcarbo niger,,0.36-0.53,,,,"STr,Tr",T,3-5,,,A,,,,,,,,,,,,,NS,,,,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
173,PELECANIFORMES,Little Pied Cormorant,,,Microcarbo melanoleucos,,0.4-0.9 (0.7-0.9),,,,"Tm,STr","T,(O)",3-5,,,A,,,,,,,,,,,,,NS,,,85-91,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
174,PELECANIFORMES,Brandt's Cormorant,,,Compsohalieus penicillatus,,1.4-2.3 (2.4-2.7),,,,"Tm,STr",O,2.6(2-5),,,A,29.2(28-32),,,,,,,,,,yes,3(2-9),NS+,,,108,,,18,,,,74,,,,"14, 15, 16, 62, 116, 220","Boekelheide & Ainley 1989, Boekelheide et al. 1990, Johnsgard 1993, Erwin 1995, Wallace & Wallace 1998, BBL"
175,PELECANIFORMES,Flightless Cormorant,,,Compsohalieus harrisi ,,2.5-2.9 (3.8-4.1),,,,Tr,O,2-4,,,A,35,60,,,,,,,,,30-90,,NS,,,,,,,,,,87.6,,,,"96, 116, 159","Harris 1979a, Orta 1992, Johnsgard 1993"
176,PELECANIFORMES,Bank Cormorant,,,Compsohalieus neglectus,,1.80,,,,"Tm,STr","O,Cl",2(1-3),,,A,29-30,,,,,,,,,,,,NS,,,132,,,,,,,,,,,159,Orta 1992
177,PELECANIFORMES,Black-faced Cormorant,,,Compsohalieus fuscescens,,,,,,Tm,"O,Cl",2-3,,,A,,,,,,,,,,,,,NS,,,93-102,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
178,PELECANIFORMES,Neotropic Cormorant,,,Hypoleucos brasiliensis,,1.07 (1.26),,,,"STr,Tr","T,(O)",3-4(2-6),,,A,24.6(23-26),63,,,,,,,,,yes,1(1-3),NS,,,,,,13,,,,,,,,"160, 210","Palmer 1962, Telfair & Morrison 1995"
179,PELECANIFORMES,Double-crested Cormorant,,,Hypoleucos auritus,,1.8-2.6 (2.0-3.0),,,,"Tm,STr","O,Cl,T",4(1-7),,,A,25-28,42-56,,,,,,,,,28,2.7(1-4),NS,,,,,,18,,,,,,,,"35, 56, 62,104, 197","Cody 1973, Dunn 1975, Siegel-Causey & Hunt 1986, Erwin 1995, Hatch & Weseloh 1999"
180,PELECANIFORMES,Indian Cormorant,,,Hypoleucos fuscicollis,,0.60-0.79,,,,"STr,Tr",T,3-6,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,159,Orta 1992
181,PELECANIFORMES,Pied Cormorant,,,Hypoleucos varius,,1.1-1.9 (1.5-2.9),,,,Tm,O,2-4,,,A,25-33,47-60,,,,,,,,,,,OS,,,110-130,,,,,,,,,,,129,Marchant & Higgins 1990
182,PELECANIFORMES,Little Black Cormorant,,,Hypoleucos sulcirostris,,0.5-1.2,,,,"Tm,STr",T,4-6,,,A,,,,,,,,,,,,,,,,95-105,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
183,PELECANIFORMES,Great Cormorant,,,Phalacrocorax carbo,,2-2.5,,,,"Tm,STr","O,T,CL",3-6,,,A,30 (28-31),53(49-56),,,,,,,,,50,3(2-3),"NS,OS",,,130-150,,,,,,,88,,,,"35, 70, 116, 129","Cody 1973, Marchant & Higgins 1990, Johnsgard 1993, Frederiksen & Bregnballe 2000"
184,PELECANIFORMES,Japanese Cormorant,,,Phalacrocorax capillatus,,3.1,,,,STr,Cl,3,,,A,34,40,,,,,,,,,,,NS,,,,,,,,,,,,,,116,Johnsgard 1993
185,PELECANIFORMES,Socotra Cormorant,,,Leucocarbo nigrogularis,,,,,,STr,,2-4,,,,,,,,,,,,,,,,NS,,,102-110,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
186,PELECANIFORMES,Cape Cormorant,,,Leucocarbo capensis,,1.16-1.31,,,,STr,"Cl,O,T",2.4(2-3),,,A,22-28,49,,,,,,,,,,3,NS,,,109,,,,,,,,,,,"116, 159","Orta 1992, Johnsgard 1993"
187,PELECANIFORMES,Guanay Cormorant,,,Leucocarbo bougainvilli,,,,,,"Tm,Str","Sl,O",3(2-3),,,A,,,,,,,,,,,,,"NS,OS",,,,,,,,,,,,,,159,Orta 1992
188,PELECANIFORMES,Kerguelen Shag,,,Notocarbo verrucosus,,1.7-2.0,,,,"P,SP",Cl,2-4,,,A,,,,,,,,,,,,,,,,110,,,,,,,,,,,129,Marchant & Higgins 1990
189,PELECANIFORMES,Imperial Shag,,,Notocarbo atriceps,,1.5-2.4 (1.7-3.5),,,,SP,"O,Cl",2.7(1-3),,,A,28.8,77.5(75-80),,,,,,,,,,2-4,NS,,,110-125,,,,,,,,,,,"116, 129","Marchant & Higgins 1990, Johnsgard 1993"
190,PELECANIFORMES,Antarctic Shag,,,Notocarbo bransfieldensis,,2.5-3.0,,,,"P,SP","O,Sl,Cl",2.5(2-3),,,A,,40-45,,,,,,,,,yes,4+,NS,,,,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
191,PELECANIFORMES,South Georgia Shag,,,Notocarbo georgianus,,2.47 (2.88),,,,SP,"O,Sl,Cl","2.3, 2.8",,,A,28-31,65,,,,,,,,,,3+,NS,,,,,,,,,,85-91,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
192,PELECANIFORMES,Campbell Island Shag,,,Nesocarbo campbelli,,2.0 (1.6-1.9),,,,Tm,"O,Cl,Cr",,,,A,,,,,,,,,,,,,"NS,OS",,,105,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
193,PELECANIFORMES,New Zealand King Shag,,,Euleucocarbo carunculatus,,2.5,,,,Tm,"O,Sl",1-3,,,A,,,,,,,,,,,,,NS,,,,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
194,PELECANIFORMES,Stewart Island Shag,,,Euleucocarbo chalconotus,,1.79-3.88,,,,Tm,"O,Sl",2-3,,,A,,,,,,,,,,,,,NS,,,,,,,,,,,,,,159,Orta 1992
195,PELECANIFORMES,Chatham Island Shag,,,Euleucocarbo onslowi,,1.79 (2.4),,,,Tm,"O,Sl,Cl",3,,,A,,,,,,,,,,,,,NS,,,,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
196,PELECANIFORMES,Auckland Island Shag,,,Euleucocarbo colensoi,,,,,,Tm,"O,Cl",3,,,A,26-32,,,,,,,,,,,,"NS,OS",,,105,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
197,PELECANIFORMES,Bounty Island Shag,,,Euleucocarbo ranfurlyi,,2.3-2.9,,,,Tm,Cl,2-3,,,A,,,,,,,,,,,,,"NS,OS",,,,,,,,,,,,,,"129, 159","Marchant & Higgins 1990, Orta 1992"
198,PELECANIFORMES,Rock Cormorant,,,Strictocarbo magellanicus,,,,,,Tm,Cl,3(2-4),,,A,,,,,,,,,,,,,NS,,,92,,,,,,,,,,,159,Orta 1992
199,PELECANIFORMES,Pelagic Cormorant,,,Strictocarbo pelagicus,,1.53-1.70 (1.75-2.03),,,,Tm,"O,Cr",3(1-6),,,A,30 (29-31),45(40-50),,,,,,,,,weeks,2,"NS,OS",,,95,,,18,,,,,,,,"14, 35, 109","Cody 1973, Hobson 1997, BBL"
200,PELECANIFORMES,Red-faced Cormorant,,,Strictocarbo urile,,1.55-2.05 (1.9-2.27),,,,Tm,"Cl,Sl",2-4,,,A,33(32-34),59(54-64),,,,,,,,,,3,"NS,OS",,,122,,,,,,,,,,,"35, 116, 159","Cody 1973, Orta 1992, Johnsgard 1993"
201,PELECANIFORMES,European Shag,,,Strictocarbo aristotelis,,1.60 (1.94),,,,Tm,"Cl,O",3(1-6),,,A,34(33-35),53(48-58),,52,,,,739,,,62,2-3,"NS,OS",,,,,,,,,,80-88,,,,"35, 116, 171","Potts 1969, Cody 1973, Johnsgard 1993, - Bryant & Furness 1995"
