,Order,Common Name,Common_Name_2,Common_Name_3,Scientific Name ,,Adult Mass (k):                                Mean:range                       or Mean:female(male)        Female(Male)    ,Culmen  mm,Tarsus mm,Tail mm       (inner or outer),Breeding Distribution,Nest Location,Clutch Size (range),Egg Mass (g) [volume],Egg Mass/Female Mass %,Hatchling Type,Incubation Period (d),Fledging Period (d),Reproductive Success %             (hatching success)[fledging success],Maximum Growth Rate (g/d),Feed/Day,Fledging Mass (or asymptote),Fl Mass/Ad Mass %,BMR kJ/d,RMR  kJ/d/kg  female (male),DEE kJ/d/kg  female (male),Post-Fledging Care (d),Age of First Breeding,Foraging  Distance               in Breeding Season,Migration Distance,Wing Length (mm)  F (M)         wrist to tip (lngst),Wing Span (cm),Wing loading N/m sqd.,Aspect ratio (span sqd./wg.area)            wing+c.body area,Maximum Age,1st Year survival,2nd Year survival,Survival to Breeding (%),Annual Adult Survival %,Mean Ad. Life Expectancy,IUCN Category (FWS category),Total Population (breeding pairs),Index to Literature Cited: from original book edition,Literature refs added after book published
10,SPHENISCIFORMES,Snares Penguin,,,Eudyptes robustus,,2.8 (3.4),,,,"SP,Tm","O,Cl",1.5(1-2),125,,SA,31-37,75,,,,,,,,,,5,OS,,,,,,,,,,,,,,"129, 232","Croxall & Gaston 1988, Marchant & Higgins 1990, Williams 1995"
11,SPHENISCIFORMES,Erect-crested Penguin,,,Eudyptes sclateri,,2.8-5.4 (3.4-6.3),,,,"Tm,SP",,1.5(1-2),149,,SA,35,75,,,,,,,,,,,OS,,,,,,,,,,,,,,"129, 204","Stonehouse 1975, Marchant & Higgins 1990"
12,SPHENISCIFORMES,Yellow-eyed Penguin,,,Megadyptes antipodes,,5.2,,,,Tm,O,1-2,138,,SA,39-51,106,,67,,6000,,,,,none,2(2-3),NS,,,,,,,48,,,87,,,,"129, 176, 232","Richdale 1957, Croxall & Gaston 1988, Marchant & Williams 1990, Williams 1995"
13,SPHENISCIFORMES,African Penguin,Jackass Penguin,,Spheniscus demersus,,3.10:2.96 (3.30),,,,Tm,Bu,2,,,SA,38,70-80,,35,,,,,,,none,3,NS,,,,,,,,,,62-85,,,,"53, 130, 182, 232","Duffy 1987, Martinez 1992, Sagar & Warham 1993, Williams 1995, Underhill 1999"
14,SPHENISCIFORMES,Humboldt Penguin,,,Spheniscus humboldti,,4.5,,,,"Tm,STr",Cr,2,,,SA,,,,,,,,,,,,,NS,,,,,,,,,,,,,,130,Martinez 1992
15,SPHENISCIFORMES,Magellanic Penguin,,,Spheniscus magellanicus,,2.7-4.1 (2.9-4.8),,,,Tm,Bu,2,,,SA,40,60-100,,,,,,,,,none,2,NS,,,,,,,,,,85,,,,"129, 130, 232","Marchant & Higgins 1990, Martinez 1992, Williams 1995"
16,SPHENISCIFORMES,Galapagos Penguin,,,Spheniscus mendiculus,,2.03:1.87 (2.18),,,,Tr,Bu,2,,,SA,38,60-80,,,,,,,,,none,4-5,NS,,,,,,,,,,85,,,,"130, 232","Boersma 1976, Martinez 1992, Williams 1995"
17,SPHENISCIFORMES,Little Blue Penguin,Blue Penguin,Fairy Penguin,Eudyptula minor,,0.79-2.1 (.75-2.1),,,,Tm,Bu,1-2 D,52,,SA,33-50,54-63,,23,,,,,,,none,2-3,NS,,,,,,,17,71,,75-86,,,,"175, 204, 232","Reilly & Balmford 1974, Stonehouse 1975, Croxall & Gaston 1988, Williams 1995, Sidhu et al. 2007"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
