species_id,nearshore,nsplus,offshore
Esacus magnirostris,,,
Esacus recurvirostris,,,
Anarhynchus frontalis,,,
Charadrius alexandrinus,,,
Charadrius alticola,,,
Charadrius aquilonius,,,
Charadrius asiaticus,,,
Charadrius bicinctus,,,
Charadrius bifrontatus,,,
Charadrius collaris,,,
Charadrius dealbatus,,,
Charadrius dubius,,,
Charadrius falklandicus,,,
Charadrius forbesi,,,
Charadrius hiaticula,,,
Charadrius javanicus,,,
Charadrius leschenaultii,,,
Charadrius marginatus,,,
Charadrius melodus,,,
Charadrius modestus,,,
Charadrius mongolus,,,
Charadrius montanus,,,
Charadrius nivosus,,,
Charadrius obscurus,,,
Charadrius pallidus,,,
Charadrius pecuarius,,,
Charadrius peronii,,,
Charadrius placidus,,,
Charadrius ruficapillus,,,
Charadrius sanctaehelenae,,,
Charadrius semipalmatus,,,
Charadrius thoracicus,,,
Charadrius tricollaris,,,
Charadrius veredus,,,
Charadrius vociferus,,,
Charadrius wilsonia,,,
Elseyornis melanops,,,
Erythrogonys cinctus,,,
Eudromias morinellus,,,
Hoploxypterus cayanus,,,
Oreopholus ruficollis,,,
Peltohyas australis,,,
Phegornis mitchellii,,,
Pluvialis apricaria,,,
Pluvialis dominica,,,
Pluvialis fulva,,,
Pluvialis squatarola,,,
Thinornis cucullatus,,,
Thinornis novaeseelandiae,,,
Vanellus albiceps,,,
Vanellus armatus,,,
Vanellus chilensis,,,
Vanellus cinereus,,,
Vanellus coronatus,,,
Vanellus crassirostris,,,
Vanellus duvaucelii,,,
Vanellus gregarius,,,
Vanellus indicus,,,
Vanellus leucurus,,,
Vanellus lugubris,,,
Vanellus macropterus,,,
Vanellus malarbaricus,,,
Vanellus melanocephalus,,,
Vanellus melanopterus,,,
Vanellus miles,,,
Vanellus novaehollandiae,,,
Vanellus resplendens,,,
Vanellus senegallus,,,
Vanellus spinosus,,,
Vanellus superciliosus,,,
Vanellus tectus,,,
Vanellus tricolor,,,
Vanellus vanellus,,,
Chionis albus,,,
Chionis minor,,,
Diomedea amsterdamensis,,,
Diomedea antipodensis,,,
Diomedea dabbenena,,,
Diomedea epomophora,,,OS
Diomedea exulans,,,OS
Diomedea sanfordi,,,
Phoebastria albatrus,,,
Phoebastria immutabilis,,,OS
Phoebastria irrorata,,,
Phoebastria nigripes,,,OS
Phoebetria fusca,NS,,
Phoebetria palpebrata,,,OS
Thalassarche bulleri,NS,,
Thalassarche carteri,,,OS
Thalassarche cauta,NS,,OS
Thalassarche chlororhynchos,,,OS
Thalassarche chrysostoma,,,OS
Thalassarche eremita,,,
Thalassarche impavida,,,OS
Thalassarche melanophris,NS,,OS
Thalassarche salvini,,,
Thalassarche steadi,,,
Dromas ardeola,,,
Fregata andrewsi,NS,,OS
Fregata aquila,,,OS
Fregata ariel,,,OS
Fregata magnificens,,,OS
Fregata minor,,,OS
Cursorius coromandelicus,,,
Cursorius cursor,,,
Cursorius rufus,,,
Cursorius somalensis,,,
Cursorius temminckii,,,
Glareola cinerea,,,
Glareola lactea,,,
Glareola maldivarum,,,
Glareola nordmanni,,,
Glareola nuchalis,,,
Glareola ocularis,,,
Glareola pratincola,,,
Rhinoptilus bitorquatus,,,
Rhinoptilus chalcopterus,,,
Rhinoptilus cinctus,,,
Smutsornis africanus,,,
Stiltia isabella,,,
Haematopus ater,,,
Haematopus chathamensis,,,
Haematopus fuliginosus,,,
Haematopus leucopodus,,,
Haematopus longirostris,,,
Haematopus meadewaldoi,,,
Haematopus moquini,,,
Haematopus ostralegus,,,
Haematopus palliatus,,,
Haematopus unicolor,,,
Hydrobates castro,,,
Hydrobates furcatus,,,OS
Hydrobates homochroa,NS,,OS
Hydrobates hornbyi,,,OS
Hydrobates leucorhous,,,OS
Hydrobates macrodactylus,,,
Hydrobates markhami,,,OS
Hydrobates matsudairae,,,
Hydrobates melania,,,
Hydrobates microsoma,,,
Hydrobates monorhis,,,
Hydrobates monteiroi,,,
Hydrobates pelagicus,,,OS
Hydrobates tethys,,,OS
Hydrobates tristrami,,,OS
Ibidorhyncha struthersii,,,
Actophilornis africanus,,,
Actophilornis albinucha,,,
Hydrophasianus chirurgus,,,
Irediparra gallinacea,,,
Jacana jacana,,,
Jacana spinosa,,,
Metopidius indicus,,,
Microparra capensis,,,
Anous minutus,,NS+,
Anous stolidus,,NS+,
Anous tenuirostris,,,
Chlidonias albostriatus,,,
