sst_id,feature_id,species_id,cite_id
130,56,Butoridesstriata,citation194
131,57,Calherodiusleuconotus,citation194
132,58,Cochleariuscochlearius,citation194
133,59,Egrettaardesiaca,citation194
134,60,Egrettacaerulea,citation194
135,61,Egrettaeulophotes,citation194
136,62,Egrettagarzetta,citation194
137,63,Egrettagularis,citation194
138,64,Egrettanovaehollandiae,citation194
139,65,Egrettapicata,citation194
140,66,Egrettarufescens,citation194
141,67,Egrettasacra,citation194
142,68,Egrettathula,citation194
143,69,Egrettatricolor,citation194
144,70,Egrettavinaceigula,citation194
145,71,Gorsachiusgoisagi,citation194
146,72,Gorsachiusmagnificus,citation194
147,73,Gorsachiusmelanolophus,citation194
148,74,Ixobrychuscinnamomeus,citation194
149,75,Ixobrychusdubius,citation194
150,76,Ixobrychuseurhythmus,citation194
151,77,Ixobrychusexilis,citation194
152,78,Ixobrychusflavicollis,citation194
153,79,Ixobrychusinvolucris,citation194
154,80,Ixobrychusminutus,citation194
155,81,Ixobrychusnovaezelandiae,citation194
156,82,Ixobrychussinensis,citation194
157,83,Ixobrychussturmii,citation194
158,84,Nyctanassacarcinocatactes,citation194
159,85,Nyctanassaviolacea,citation194
160,86,Nycticoraxcaledonicus,citation194
161,87,Nycticoraxduboisi,citation194
162,88,Nycticoraxmauritianus,citation194
163,89,Nycticoraxmegacephalus,citation194
164,90,Nycticoraxnycticorax,citation194
165,91,Pilherodiuspileatus,citation194
166,92,Syrigmasibilatrix,citation194
167,93,Tigriornisleucolopha,citation194
168,94,Tigrisomafasciatum,citation194
169,95,Tigrisomalineatum,citation194
170,96,Tigrisomamexicanum,citation194
171,97,Zebrilusundulatus,citation194
172,98,Zonerodiusheliosylus,citation194
173,99,Balaenicepsrex,citation194
174,100,Burhinusbistriatus,citation194
175,101,Burhinuscapensis,citation194
176,102,Burhinusgrallarius,citation194
177,103,Burhinusindicus,citation194
178,104,Burhinusoedicnemus,citation194
179,105,Burhinussenegalensis,citation194
180,106,Burhinussuperciliaris,citation194
181,107,Burhinusvermiculatus,citation194
182,108,Esacusmagnirostris,citation194
183,109,Esacusrecurvirostris,citation194
184,110,Anarhynchusfrontalis,citation194
185,111,Charadriusalexandrinus,citation194
186,112,Charadriusalticola,citation194
187,113,Charadriusaquilonius,citation194
188,114,Charadriusasiaticus,citation194
189,115,Charadriusbicinctus,citation194
190,116,Charadriusbifrontatus,citation194
191,117,Charadriuscollaris,citation194
192,118,Charadriusdealbatus,citation194
193,119,Charadriusdubius,citation194
194,120,Charadriusfalklandicus,citation194
195,121,Charadriusforbesi,citation194
196,122,Charadriushiaticula,citation194
197,123,Charadriusjavanicus,citation194
198,124,Charadriusleschenaultii,citation194
199,125,Charadriusmarginatus,citation194
200,126,Charadriusmelodus,citation194
201,127,Charadriusmodestus,citation194
202,128,Charadriusmongolus,citation194
203,129,Charadriusmontanus,citation194
204,130,Charadriusnivosus,citation194
205,131,Charadriusobscurus,citation194
206,132,Charadriuspallidus,citation194
207,133,Charadriuspecuarius,citation194
208,134,Charadriusperonii,citation194
209,135,Charadriusplacidus,citation194
210,136,Charadriusruficapillus,citation194
211,137,Charadriussanctaehelenae,citation194
212,138,Charadriussemipalmatus,citation194
213,139,Charadriusthoracicus,citation194
214,140,Charadriustricollaris,citation194
215,141,Charadriusveredus,citation194
216,142,Charadriusvociferus,citation194
217,143,Charadriuswilsonia,citation194
218,144,Elseyornismelanops,citation194
219,145,Erythrogonyscinctus,citation194
220,146,Eudromiasmorinellus,citation194
221,147,Hoploxypteruscayanus,citation194
222,148,Oreopholusruficollis,citation194
223,149,Peltohyasaustralis,citation194
224,150,Phegornismitchellii,citation194
225,151,Pluvialisapricaria,citation194
226,152,Pluvialisdominica,citation194
227,153,Pluvialisfulva,citation194
228,154,Pluvialissquatarola,citation194
229,155,Thinorniscucullatus,citation194
230,156,Thinornisnovaeseelandiae,citation194
231,157,Vanellusalbiceps,citation194
232,158,Vanellusarmatus,citation194
233,159,Vanelluschilensis,citation194
234,160,Vanelluscinereus,citation194
235,161,Vanelluscoronatus,citation194
236,162,Vanelluscrassirostris,citation194
237,163,Vanellusduvaucelii,citation194
238,164,Vanellusgregarius,citation194
239,165,Vanellusindicus,citation194
240,166,Vanellusleucurus,citation194
241,167,Vanelluslugubris,citation194
242,168,Vanellusmacropterus,citation194
243,169,Vanellusmalarbaricus,citation194
244,170,Vanellusmelanocephalus,citation194
245,171,Vanellusmelanopterus,citation194
246,172,Vanellusmiles,citation194
247,173,Vanellusnovaehollandiae,citation194
248,174,Vanellusresplendens,citation194
249,175,Vanellussenegallus,citation194
250,176,Vanellusspinosus,citation194
251,177,Vanellussuperciliosus,citation194
252,178,Vanellustectus,citation194
253,179,Vanellustricolor,citation194
254,180,Vanellusvanellus,citation194
255,181,Chionisalbus,citation194
256,182,Chionisminor,citation194
257,183,Diomedeaamsterdamensis,citation126
258,183,Diomedeaamsterdamensis,citation48
259,184,Diomedeaantipodensis,citation126
260,185,Diomedeadabbenena,citation126
261,186,Diomedeaepomophora,citation285
262,186,Diomedeaepomophora,citation62
263,186,Diomedeaepomophora,citation165
264,187,Diomedeaexulans,citation285
265,187,Diomedeaexulans,citation63
266,187,Diomedeaexulans,citation62
267,187,Diomedeaexulans,citation165
268,187,Diomedeaexulans,citation261
269,187,Diomedeaexulans,citation16
270,188,Diomedeasanfordi,citation126
271,188,Diomedeasanfordi,citation298
272,189,Phoebastriaalbatrus,citation48
273,190,Phoebastriaimmutabilis,citation90
274,190,Phoebastriaimmutabilis,citation305
275,190,Phoebastriaimmutabilis,citation16
276,191,Phoebastriairrorata,citation120
277,191,Phoebastriairrorata,citation48
278,192,Phoebastrianigripes,citation304
279,192,Phoebastrianigripes,citation240
280,192,Phoebastrianigripes,citation292
281,192,Phoebastrianigripes,citation16
282,193,Phoebetriafusca,citation62
283,193,Phoebetriafusca,citation165
284,193,Phoebetriafusca,citation298
285,194,Phoebetriapalpebrata,citation62
286,194,Phoebetriapalpebrata,citation165
287,194,Phoebetriapalpebrata,citation298
288,195,Thalassarchebulleri,citation165
289,195,Thalassarchebulleri,citation48
290,195,Thalassarchebulleri,citation246
291,195,Thalassarchebulleri,citation247
292,196,Thalassarchecarteri,citation48
293,197,Thalassarchecauta,citation165
294,197,Thalassarchecauta,citation48
295,198,Thalassarchechlororhynchos,citation62
296,198,Thalassarchechlororhynchos,citation165
297,199,Thalassarchechrysostoma,citation60
298,199,Thalassarchechrysostoma,citation63
299,199,Thalassarchechrysostoma,citation62
300,199,Thalassarchechrysostoma,citation165
301,200,Thalassarcheeremita,citation126
302,201,Thalassarcheimpavida,citation165
303,201,Thalassarcheimpavida,citation301
304,202,Thalassarchemelanophris,citation63
305,202,Thalassarchemelanophris,citation60
306,202,Thalassarchemelanophris,citation62
307,203,Thalassarchesalvini,citation126
308,204,Thalassarchesteadi,citation194
309,206,Fregataandrewsi,citation165
310,206,Fregataandrewsi,citation200
311,207,Fregataaquila,citation200
312,207,Fregataaquila,citation276
313,208,Fregataariel,citation70
314,208,Fregataariel,citation165
315,208,Fregataariel,citation253
316,208,Fregataariel,citation16
317,209,Fregatamagnificens,citation206
318,209,Fregatamagnificens,citation50
319,209,Fregatamagnificens,citation71
320,210,Fregataminor,citation70
321,210,Fregataminor,citation165
322,210,Fregataminor,citation253
323,210,Fregataminor,citation16
324,211,Cursoriuscoromandelicus,citation194
325,212,Cursoriuscursor,citation194
326,213,Cursoriusrufus,citation194
327,214,Cursoriussomalensis,citation194
328,215,Cursoriustemminckii,citation194
329,216,Glareolacinerea,citation194
330,217,Glareolalactea,citation194
331,218,Glareolamaldivarum,citation194
332,219,Glareolanordmanni,citation194
333,220,Glareolanuchalis,citation194
334,221,Glareolaocularis,citation194
335,222,Glareolapratincola,citation194
336,223,Rhinoptilusbitorquatus,citation194
337,224,Rhinoptiluschalcopterus,citation194
338,225,Rhinoptiluscinctus,citation194
339,226,Smutsornisafricanus,citation194
340,227,Stiltiaisabella,citation194
341,228,Haematopusater,citation194
342,229,Haematopuschathamensis,citation194
343,230,Haematopusfuliginosus,citation194
344,231,Haematopusleucopodus,citation194
345,232,Haematopuslongirostris,citation194
346,233,Haematopusmeadewaldoi,citation194
347,234,Haematopusmoquini,citation194
348,235,Haematopusostralegus,citation194
349,236,Haematopuspalliatus,citation194
350,237,Haematopusunicolor,citation194
351,238,Hydrobatescastro,citation298
352,238,Hydrobatescastro,citation48
353,239,Hydrobatesfurcatus,citation62
354,239,Hydrobatesfurcatus,citation298
355,239,Hydrobatesfurcatus,citation299
356,239,Hydrobatesfurcatus,citation16
357,240,Hydrobateshomochroa,citation2
358,240,Hydrobateshomochroa,citation298
359,240,Hydrobateshomochroa,citation299
360,240,Hydrobateshomochroa,citation1
361,240,Hydrobateshomochroa,citation16
362,241,Hydrobateshornbyi,citation48
363,242,Hydrobatesleucorhous,citation58
364,242,Hydrobatesleucorhous,citation239
365,242,Hydrobatesleucorhous,citation3
366,242,Hydrobatesleucorhous,citation298
367,242,Hydrobatesleucorhous,citation299
